排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,2,873,31230,48
2,Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,2,840,31177,48
3,Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,2,890,31170,48
4,Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,2,780,31169,48
5,Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,2,754,30742,48
6,Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,48,639,30157,48
7,Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,24,753,14027,24
8,Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,48,612,13576,48
9,Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,24,747,13537,24
10,Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,24,716,13065,24
11,Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,48,418,12110,48
12,Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,14,868,11222,14
13,Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,15,715,11012,15
14,Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,16,281,7587,16
15,Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,12,627,7405,12
16,Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,12,662,7263,12
17,Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,12,675,7147,12
18,Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,12,599,6961,12
19,Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,8,636,4914,8
20,Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,12,461,4387,12
21,Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,6,728,4214,6
22,Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,6,741,4185,6
23,Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,6,726,4174,6
24,Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,6,726,4117,6
25,Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,6,713,4087,6
26,Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,8,593,4057,8
27,Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,6,720,3864,6
28,Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,6,718,3764,6
29,Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,6,705,3759,6
30,Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,8,477,3694,8
31,Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,8,504,3620,8
32,Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,6,679,3599,6
33,Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,4,925,3571,4
