排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,8,910,7717,8
2,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,8,982,7473,8
3,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,6,939,5304,6
4,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,6,877,5018,6
5,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,4,999,3983,4
6,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,4,950,3729,4
7,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,4,935,3703,4
8,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,4,958,3693,4
9,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,4,963,3676,4
10,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,4,909,3608,4
11,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,4,876,3559,4
12,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,4,886,3493,4
13,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,4,877,3492,4
14,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,4,890,3483,4
15,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,4,857,3436,4
16,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,4,838,3426,4
17,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,4,771,3424,4
18,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,4,844,3421,4
19,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,4,806,3404,4
20,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,4,838,3395,4
21,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,4,855,3362,4
22,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,4,879,3294,4
23,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,4,860,3266,4
24,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,4,814,3249,4
25,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,4,763,3233,4
26,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,4,852,3224,4
27,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,4,887,3200,4
28,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,4,812,3160,4
29,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,4,800,3155,4
30,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,4,831,3126,12
31,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,4,860,3091,4
32,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,4,825,2931,4
33,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,4,707,2854,4
34,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,4,704,2815,4
35,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,4,770,2403,4
36,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,4,710,2374,4
37,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,2,981,1915,2
38,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,2,955,1899,2
39,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,2,956,1885,2
40,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,2,950,1880,2
41,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,2,940,1854,2
42,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,2,854,1842,2
43,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,2,892,1823,2
44,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,2,861,1819,2
45,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,2,911,1799,2
46,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,2,925,1799,2
47,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,2,890,1768,2
48,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,2,913,1767,2
49,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,4,684,1681,4
50,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,2,836,1659,2
51,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,2,848,1653,2
52,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,2,831,1632,2
53,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,2,727,1565,2
54,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,2,784,1559,2
55,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,2,805,1529,2
56,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,2,815,1524,2
57,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,2,797,1459,2
58,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,2,778,1403,2
59,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,2,766,1382,2
60,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,2,532,1295,2
61,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,2,674,1271,2
62,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,2,550,1116,2
63,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,2,922,928,2
64,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,2,927,924,2
65,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,2,902,900,2
66,Intel(R) Xeon(R) CPU E5-2699A v4 @ 2.40GHz,2,610,733,2
