排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,88,784,54637,88
2,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,88,784,54581,88
3,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,88,785,54414,88
4,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,88,784,54292,88
5,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,88,784,53673,88
6,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,88,783,53220,88
7,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,88,625,49581,88
8,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,716,49013,88
9,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,32,604,20243,32
10,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,16,812,12810,16
11,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,16,799,12391,16
12,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,16,677,10088,16
13,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,12,763,9083,12
14,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,12,763,9079,12
15,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,16,762,8996,16
16,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,12,727,8634,12
17,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,16,753,8632,16
18,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,12,687,8534,12
19,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,12,753,8461,12
20,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,12,743,8460,12
21,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,12,748,8391,12
22,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,12,735,8299,12
23,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,12,729,8299,12
24,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,12,711,8233,12
25,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,12,706,8161,12
26,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,12,723,8132,12
27,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,12,724,8035,12
28,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,12,700,8031,12
29,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,12,723,8015,12
30,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,16,524,7843,16
31,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,12,643,7779,12
32,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,12,689,7727,12
33,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,12,699,7585,12
34,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,12,671,7527,12
35,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,12,545,7412,12
36,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,12,646,7373,12
37,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,12,681,7370,12
38,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,12,649,7222,12
39,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,8,793,6245,8
40,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,8,770,6112,8
41,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,16,436,6009,16
42,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,16,442,6004,16
43,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,8,764,5892,8
44,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,8,733,5842,8
45,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,16,419,5742,16
