排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,871,1680,2
2,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,869,1596,2
3,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,866,1657,2
4,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,858,1617,2
5,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,842,1678,2
6,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,1,839,839,1
7,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,1,813,813,1
8,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,16,812,12810,16
9,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,1,812,812,1
10,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,4,806,3225,4
11,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,16,799,12391,16
12,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,795,1578,2
13,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,8,793,6245,8
14,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,791,1546,2
15,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,1,789,789,1
16,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,789,1544,2
17,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,1,788,788,1
18,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,1,788,788,1
19,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,1,788,788,1
20,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,787,1557,2
21,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,1,787,787,1
22,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,1,786,786,1
23,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,786,1529,2
24,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,4,785,3113,4
25,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,88,785,54414,88
26,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,88,784,54292,88
27,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,88,784,53673,88
28,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,88,784,54637,88
29,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,1,784,784,1
30,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,88,784,54581,88
31,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,4,784,3077,4
32,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,784,1526,2
33,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,1,784,784,1
34,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,88,783,53220,88
35,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,1,782,782,1
36,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,782,1588,2
37,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,780,1568,2
38,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,779,1556,2
39,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,1,776,776,1
40,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,776,1507,2
41,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,1,775,775,1
42,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,774,1517,2
43,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,1,772,772,1
44,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,8,770,6112,8
45,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,1,769,769,1
46,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,1,768,768,1
47,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,768,1500,2
48,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,768,1536,2
49,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,1,765,765,1
50,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,8,764,5892,8
51,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,1,764,764,1
52,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,4,764,3022,4
