排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) CPU E5-26xx v4,2,1111,2210,2
2,Intel(R) Xeon(R) CPU E5-26xx v4,2,1105,1759,2
3,Intel(R) Xeon(R) CPU E5-26xx v4,2,1076,2160,2
4,Intel(R) Xeon(R) CPU E5-26xx v4,2,1075,2075,2
5,Intel(R) Xeon(R) CPU E5-26xx v4,2,976,1935,2
6,Intel(R) Xeon(R) CPU E5-26xx v4,2,976,1921,2
7,Intel(R) Xeon(R) CPU E5-26xx v4,4,976,2953,4
8,Intel(R) Xeon(R) CPU E5-26xx v4,2,973,1936,2
9,Intel(R) Xeon(R) CPU E5-26xx v4,2,971,1472,2
10,Intel(R) Xeon(R) CPU E5-26xx v4,2,970,1451,2
11,Intel(R) Xeon(R) CPU E5-26xx v4,2,969,1586,2
12,Intel(R) Xeon(R) CPU E5-26xx v4,2,968,1892,2
13,Intel(R) Xeon(R) CPU E5-26xx v4,2,968,1457,2
14,Intel(R) Xeon(R) CPU E5-26xx v4,2,968,1470,2
15,Intel(R) Xeon(R) CPU E5-26xx v4,2,968,1844,2
16,Intel(R) Xeon(R) CPU E5-26xx v4,2,967,1827,2
17,Intel(R) Xeon(R) CPU E5-26xx v4,2,966,1435,2
18,Intel(R) Xeon(R) CPU E5-26xx v4,2,966,1923,2
19,Intel(R) Xeon(R) CPU E5-26xx v4,2,966,1911,2
20,Intel(R) Xeon(R) CPU E5-26xx v4,2,965,1916,2
21,Intel(R) Xeon(R) CPU E5-26xx v4,2,965,1886,2
22,Intel(R) Xeon(R) CPU E5-26xx v4,2,964,1861,2
23,Intel(R) Xeon(R) CPU E5-26xx v4,4,963,3681,4
24,Intel(R) Xeon(R) CPU E5-26xx v4,2,962,1908,2
25,Intel(R) Xeon(R) CPU E5-26xx v4,2,962,1870,2
26,Intel(R) Xeon(R) CPU E5-26xx v4,2,962,1917,2
27,Intel(R) Xeon(R) CPU E5-26xx v4,2,961,1908,2
28,Intel(R) Xeon(R) CPU E5-26xx v4,2,961,1429,2
29,Intel(R) Xeon(R) CPU E5-26xx v4,2,961,1452,2
30,Intel(R) Xeon(R) CPU E5-26xx v4,2,960,1882,2
31,Intel(R) Xeon(R) CPU E5-26xx v4,2,960,1448,2
32,Intel(R) Xeon(R) CPU E5-26xx v4,4,960,2729,4
33,Intel(R) Xeon(R) CPU E5-26xx v4,2,960,1925,2
34,Intel(R) Xeon(R) CPU E5-26xx v4,2,959,1862,2
35,Intel(R) Xeon(R) CPU E5-26xx v4,2,958,1440,2
36,Intel(R) Xeon(R) CPU E5-26xx v4,2,958,1892,2
37,Intel(R) Xeon(R) CPU E5-26xx v4,2,958,1457,2
38,Intel(R) Xeon(R) CPU E5-26xx v4,2,957,1864,2
39,Intel(R) Xeon(R) CPU E5-26xx v4,2,956,1889,2
40,Intel(R) Xeon(R) CPU E5-26xx v4,2,956,1633,2
41,Intel(R) Xeon(R) CPU E5-26xx v4,2,956,1411,2
42,Intel(R) Xeon(R) CPU E5-26xx v4,2,955,1859,2
43,Intel(R) Xeon(R) CPU E5-26xx v4,2,955,1872,2
44,Intel(R) Xeon(R) CPU E5-26xx v4,2,955,1874,2
45,Intel(R) Xeon(R) CPU E5-26xx v4,2,954,1842,2
46,Intel(R) Xeon(R) CPU E5-26xx v4,2,954,1836,2
47,Intel(R) Xeon(R) CPU E5-26xx v4,2,952,1845,2
48,Intel(R) Xeon(R) CPU E5-26xx v4,2,952,1857,2
49,Intel(R) Xeon(R) CPU E5-26xx v4,2,952,1886,2
50,Intel(R) Xeon(R) CPU E5-26xx v4,2,951,1417,2
51,Intel(R) Xeon(R) CPU E5-26xx v4,2,951,1441,2
52,Intel(R) Xeon(R) CPU E5-26xx v4,2,951,1848,2
53,Intel(R) Xeon(R) CPU E5-26xx v4,2,950,1820,2
54,Intel(R) Xeon(R) CPU E5-26xx v4,2,949,1855,2
55,Intel(R) Xeon(R) CPU E5-26xx v4,2,948,1871,2
56,Intel(R) Xeon(R) CPU E5-26xx v4,2,947,1864,2
57,Intel(R) Xeon(R) CPU E5-26xx v4,2,946,1837,2
58,Intel(R) Xeon(R) CPU E5-26xx v4,2,946,1742,2
59,Intel(R) Xeon(R) CPU E5-26xx v4,2,945,1839,2
60,Intel(R) Xeon(R) CPU E5-26xx v4,2,945,1883,2
61,Intel(R) Xeon(R) CPU E5-26xx v4,2,945,1321,2
62,Intel(R) Xeon(R) CPU E5-26xx v4,2,945,1852,2
63,Intel(R) Xeon(R) CPU E5-26xx v4,2,945,1867,2
64,Intel(R) Xeon(R) CPU E5-26xx v4,2,945,1833,2
65,Intel(R) Xeon(R) CPU E5-26xx v4,2,944,1785,2
66,Intel(R) Xeon(R) CPU E5-26xx v4,2,943,1823,2
67,Intel(R) Xeon(R) CPU E5-26xx v4,2,943,1856,2
68,Intel(R) Xeon(R) CPU E5-26xx v4,2,943,1348,2
69,Intel(R) Xeon(R) CPU E5-26xx v4,2,943,1787,2
70,Intel(R) Xeon(R) CPU E5-26xx v4,2,942,1729,2
71,Intel(R) Xeon(R) CPU E5-26xx v4,2,940,1844,2
72,Intel(R) Xeon(R) CPU E5-26xx v4,2,940,1761,2
73,Intel(R) Xeon(R) CPU E5-26xx v4,2,939,1904,2
