排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) CPU L3426 @ 1.87GHz,8,658,3389,8
2,Intel(R) Xeon(R) CPU L3426 @ 1.87GHz,2,632,1204,2
3,Intel(R) Xeon(R) CPU L3426 @ 1.87GHz,8,626,2631,8
4,Intel(R) Xeon(R) CPU L3426 @ 1.87GHz,8,626,2586,8
5,Intel(R) Xeon(R) CPU L3426 @ 1.87GHz,2,623,1235,2
6,Intel(R) Xeon(R) CPU L3426 @ 1.87GHz,1,618,618,1
7,Intel(R) Xeon(R) CPU L3426 @ 1.87GHz,1,597,597,1
8,Intel(R) Xeon(R) CPU L3426 @ 1.87GHz,1,587,587,1
9,Intel(R) Xeon(R) CPU L3426 @ 1.87GHz,1,586,586,1
10,Intel(R) Xeon(R) CPU L3426 @ 1.87GHz,1,555,555,1
11,Intel(R) Xeon(R) CPU L3426 @ 1.87GHz,2,552,560,2
12,Intel(R) Xeon(R) CPU L3426 @ 1.87GHz,1,548,548,1
13,Intel(R) Xeon(R) CPU L3426 @ 1.87GHz,1,544,544,1
14,Intel(R) Xeon(R) CPU L3426 @ 1.87GHz,1,312,312,1
