排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) CPU L5640 @ 2.27GHz,24,682,12718,24
2,Intel(R) Xeon(R) CPU L5640 @ 2.27GHz,24,745,12707,24
3,Intel(R) Xeon(R) CPU L5640 @ 2.27GHz,2,770,12356,24
4,Intel(R) Xeon(R) CPU L5640 @ 2.27GHz,2,704,12019,24
5,Intel(R) Xeon(R) CPU L5640 @ 2.27GHz,2,653,7847,12
6,Intel(R) Xeon(R) CPU L5640 @ 2.27GHz,2,653,7811,12
7,Intel(R) Xeon(R) CPU L5640 @ 2.27GHz,2,653,7811,12
8,Intel(R) Xeon(R) CPU L5640 @ 2.27GHz,2,652,7809,12
9,Intel(R) Xeon(R) CPU L5640 @ 2.27GHz,2,653,7791,12
10,Intel(R) Xeon(R) CPU L5640 @ 2.27GHz,2,653,7786,12
11,Intel(R) Xeon(R) CPU L5640 @ 2.27GHz,2,652,7775,12
12,Intel(R) Xeon(R) CPU L5640 @ 2.27GHz,2,652,7774,12
13,Intel(R) Xeon(R) CPU L5640 @ 2.27GHz,2,652,7554,12
14,Intel(R) Xeon(R) CPU L5640 @ 2.27GHz,2,652,6934,12
15,Intel(R) Xeon(R) CPU L5640 @ 2.27GHz,2,646,6538,12
16,Intel(R) Xeon(R) CPU L5640 @ 2.27GHz,2,650,5499,12
17,Intel(R) Xeon(R) CPU L5640 @ 2.27GHz,4,647,2585,4
18,Intel(R) Xeon(R) CPU L5640 @ 2.27GHz,4,645,2583,4
19,Intel(R) Xeon(R) CPU L5640 @ 2.27GHz,1,647,647,1
20,Intel(R) Xeon(R) CPU L5640 @ 2.27GHz,1,646,646,1
