排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) CPU X5680 @ 3.33GHz,2,1029,2048,2
2,Intel(R) Xeon(R) CPU X5680 @ 3.33GHz,4,1007,3956,4
3,Intel(R) Xeon(R) CPU X5680 @ 3.33GHz,4,999,3981,4
4,Intel(R) Xeon(R) CPU X5680 @ 3.33GHz,4,995,3981,4
5,Intel(R) Xeon(R) CPU X5680 @ 3.33GHz,1,962,962,1
6,Intel(R) Xeon(R) CPU X5680 @ 3.33GHz,1,938,938,1
7,Intel(R) Xeon(R) CPU X5680 @ 3.33GHz,1,761,761,1
8,Intel(R) Xeon(R) CPU X5680 @ 3.33GHz,1,560,560,1
9,Intel(R) Xeon(R) CPU X5680 @ 3.33GHz,1,558,558,1
10,Intel(R) Xeon(R) CPU X5680 @ 3.33GHz,1,542,542,1
11,Intel(R) Xeon(R) CPU X5680 @ 3.33GHz,1,539,539,1
