排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) CPU @ 2.20GHz,20,891,14877,20
2,Intel(R) Xeon(R) CPU @ 2.20GHz,16,1053,12310,16
3,Intel(R) Xeon(R) CPU @ 2.20GHz,16,1037,12295,16
4,Intel(R) Xeon(R) CPU @ 2.20GHz,16,1054,12209,16
5,Intel(R) Xeon(R) CPU @ 2.30GHz,16,890,12001,16
6,Intel(R) Xeon(R) CPU @ 2.20GHz,16,1014,11955,16
7,Intel(R) Xeon(R) CPU @ 2.20GHz,16,999,11635,16
8,Intel(R) Xeon(R) CPU @ 2.20GHz,16,969,11541,16
9,Intel(R) Xeon(R) CPU @ 2.20GHz,16,949,11466,16
10,Intel(R) Xeon(R) CPU @ 2.20GHz,16,958,11465,16
11,Intel(R) Xeon(R) CPU @ 2.20GHz,16,916,11358,16
12,Intel(R) Xeon(R) CPU @ 2.20GHz,16,915,11350,16
13,Intel(R) Xeon(R) CPU @ 2.20GHz,16,915,11344,16
14,Intel(R) Xeon(R) CPU @ 2.20GHz,16,914,11338,16
15,Intel(R) Xeon(R) CPU @ 2.20GHz,16,918,11332,16
16,Intel(R) Xeon(R) CPU @ 2.20GHz,16,917,11331,16
17,Intel(R) Xeon(R) CPU @ 2.20GHz,16,916,11330,16
18,Intel(R) Xeon(R) CPU @ 2.20GHz,16,915,11325,16
19,Intel(R) Xeon(R) CPU @ 2.20GHz,16,961,11324,16
20,Intel(R) Xeon(R) CPU @ 2.20GHz,16,915,11319,16
21,Intel(R) Xeon(R) CPU @ 2.20GHz,16,915,11317,16
22,Intel(R) Xeon(R) CPU @ 2.20GHz,16,916,11307,16
23,Intel(R) Xeon(R) CPU @ 2.20GHz,16,928,11305,16
24,Intel(R) Xeon(R) CPU @ 2.20GHz,16,914,11305,16
25,Intel(R) Xeon(R) CPU @ 2.20GHz,16,930,11299,16
26,Intel(R) Xeon(R) CPU @ 2.20GHz,16,908,11295,16
27,Intel(R) Xeon(R) CPU @ 2.20GHz,16,947,11294,16
28,Intel(R) Xeon(R) CPU @ 2.20GHz,16,925,11291,16
29,Intel(R) Xeon(R) CPU @ 2.20GHz,16,939,11289,16
30,Intel(R) Xeon(R) CPU @ 2.20GHz,16,919,11289,16
31,Intel(R) Xeon(R) CPU @ 2.20GHz,16,908,11276,16
32,Intel(R) Xeon(R) CPU @ 2.20GHz,16,912,11270,16
33,Intel(R) Xeon(R) CPU @ 2.20GHz,16,913,11267,16
34,Intel(R) Xeon(R) CPU @ 2.20GHz,16,913,11264,16
35,Intel(R) Xeon(R) CPU @ 2.20GHz,16,907,11262,16
36,Intel(R) Xeon(R) CPU @ 2.20GHz,16,912,11260,16
37,Intel(R) Xeon(R) CPU @ 2.20GHz,16,912,11260,16
38,Intel(R) Xeon(R) CPU @ 2.20GHz,16,914,11260,16
39,Intel(R) Xeon(R) CPU @ 2.20GHz,16,903,11259,16
40,Intel(R) Xeon(R) CPU @ 2.20GHz,16,914,11255,16
41,Intel(R) Xeon(R) CPU @ 2.20GHz,16,933,11253,16
42,Intel(R) Xeon(R) CPU @ 2.20GHz,16,911,11250,16
43,Intel(R) Xeon(R) CPU @ 2.20GHz,16,911,11245,16
44,Intel(R) Xeon(R) CPU @ 2.20GHz,16,912,11244,16
45,Intel(R) Xeon(R) CPU @ 2.20GHz,16,915,11242,16
46,Intel(R) Xeon(R) CPU @ 2.20GHz,16,907,11240,16
47,Intel(R) Xeon(R) CPU @ 2.20GHz,16,912,11239,16
48,Intel(R) Xeon(R) CPU @ 2.20GHz,16,912,11230,16
49,Intel(R) Xeon(R) CPU @ 2.20GHz,16,914,11224,16
50,Intel(R) Xeon(R) CPU @ 2.20GHz,16,913,11220,16
51,Intel(R) Xeon(R) CPU @ 2.20GHz,16,910,11212,16
52,Intel(R) Xeon(R) CPU @ 2.20GHz,16,905,11209,16
53,Intel(R) Xeon(R) CPU @ 2.20GHz,16,911,11208,16
54,Intel(R) Xeon(R) CPU @ 2.20GHz,16,906,11207,16
55,Intel(R) Xeon(R) CPU @ 2.20GHz,16,911,11201,16
56,Intel(R) Xeon(R) CPU @ 2.20GHz,16,910,11199,16
57,Intel(R) Xeon(R) CPU @ 2.20GHz,16,915,11196,16
58,Intel(R) Xeon(R) CPU @ 2.20GHz,16,912,11195,16
59,Intel(R) Xeon(R) CPU @ 2.20GHz,16,910,11194,16
60,Intel(R) Xeon(R) CPU @ 2.20GHz,16,910,11182,16
61,Intel(R) Xeon(R) CPU @ 2.20GHz,16,908,11173,16
62,Intel(R) Xeon(R) CPU @ 2.20GHz,16,912,11163,16
63,Intel(R) Xeon(R) CPU @ 2.20GHz,16,905,11141,16
64,Intel(R) Xeon(R) CPU @ 2.20GHz,16,911,11141,16
65,Intel(R) Xeon(R) CPU @ 2.20GHz,16,910,11139,16
66,Intel(R) Xeon(R) CPU @ 2.20GHz,16,910,11139,16
