排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) CPU @ 2.60GHz,2,2903,3052,2
2,Intel(R) Xeon(R) CPU @ 2.80GHz,2,2892,3046,2
3,Intel(R) Xeon(R) CPU @ 2.80GHz,32,2885,3788,32
4,Intel(R) Xeon(R) CPU @ 2.80GHz,2,2882,3028,2
5,Intel(R) Xeon(R) CPU @ 2.80GHz,2,2877,3032,2
6,Intel(R) Xeon(R) CPU @ 2.80GHz,2,2873,3039,2
7,Intel(R) Xeon(R) CPU @ 2.80GHz,2,2872,3037,2
8,Intel(R) Xeon(R) CPU @ 2.80GHz,2,2870,3038,2
9,Intel(R) Xeon(R) CPU @ 2.80GHz,4,2866,6068,4
10,Intel(R) Xeon(R) CPU @ 2.80GHz,4,2791,11112,4
11,Intel(R) Xeon(R) CPU @ 2.20GHz,2,2173,2316,2
12,Intel(R) Xeon(R) CPU @ 2.20GHz,2,2016,257,2
13,Intel(R) Xeon(R) CPU @ 2.20GHz,4,1989,3546,4
14,Intel(R) Xeon(R) CPU @ 2.20GHz,2,1679,565,2
15,Intel(R) Xeon(R) CPU @ 2.20GHz,4,1679,6704,4
16,Intel(R) Xeon(R) CPU @ 2.20GHz,4,1678,6704,4
17,Intel(R) Xeon(R) CPU @ 2.20GHz,2,1676,1789,2
18,Intel(R) Xeon(R) CPU @ 2.20GHz,8,1671,7087,8
19,Intel(R) Xeon(R) CPU @ 2.20GHz,2,1670,1773,2
20,Intel(R) Xeon(R) CPU @ 2.20GHz,2,1669,1785,2
21,Intel(R) Xeon(R) CPU @ 2.20GHz,2,1660,1770,2
22,Intel(R) Xeon(R) CPU @ 2.20GHz,2,1656,1733,2
23,Intel(R) Xeon(R) CPU @ 2.20GHz,2,1651,1592,2
24,Intel(R) Xeon(R) CPU @ 2.20GHz,2,1634,1745,2
25,Intel(R) Xeon(R) CPU @ 2.20GHz,2,1618,1326,2
26,Intel(R) Xeon(R) CPU @ 2.20GHz,2,1586,1718,2
27,Intel(R) Xeon(R) CPU @ 2.20GHz,2,1523,1653,2
28,Intel(R) Xeon(R) CPU @ 3.10GHz,8,1276,8622,8
29,Intel(R) Xeon(R) CPU @ 3.10GHz,8,1259,8474,8
30,Intel(R) Xeon(R) CPU @ 3.10GHz,8,1258,8471,8
