排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) E-2236 CPU @ 3.40GHz,1,1613,15484,12
2,Intel(R) Xeon(R) E-2236 CPU @ 3.40GHz,1,1575,15104,12
3,Intel(R) Xeon(R) E-2236 CPU @ 3.40GHz,1,1580,15100,12
4,Intel(R) Xeon(R) E-2236 CPU @ 3.40GHz,1,1584,15095,12
5,Intel(R) Xeon(R) E-2236 CPU @ 3.40GHz,1,1478,14648,12
6,Intel(R) Xeon(R) E-2236 CPU @ 3.40GHz,12,1624,14427,12
7,Intel(R) Xeon(R) E-2236 CPU @ 3.40GHz,1,1626,14407,12
8,Intel(R) Xeon(R) E-2236 CPU @ 3.40GHz,1,1612,14392,12
9,Intel(R) Xeon(R) E-2236 CPU @ 3.40GHz,1,1485,13002,12
10,Intel(R) Xeon(R) E-2236 CPU @ 3.40GHz,1,1141,11547,12
11,Intel(R) Xeon(R) E-2236 CPU @ 3.40GHz,1,1146,11533,12
12,Intel(R) Xeon(R) E-2236 CPU @ 3.40GHz,1,1128,11319,12
13,Intel(R) Xeon(R) E-2236 CPU @ 3.40GHz,1,1126,11164,12
14,Intel(R) Xeon(R) E-2236 CPU @ 3.40GHz,2,1237,2302,2
