排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) E-2236 CPU @ 3.40GHz,1,1626,14407,12
2,Intel(R) Xeon(R) E-2236 CPU @ 3.40GHz,12,1624,14427,12
3,Intel(R) Xeon(R) E-2236 CPU @ 3.40GHz,1,1613,15484,12
4,Intel(R) Xeon(R) E-2236 CPU @ 3.40GHz,1,1612,14392,12
5,Intel(R) Xeon(R) E-2236 CPU @ 3.40GHz,1,1584,15095,12
6,Intel(R) Xeon(R) E-2236 CPU @ 3.40GHz,1,1580,15100,12
7,Intel(R) Xeon(R) E-2236 CPU @ 3.40GHz,1,1575,15104,12
8,Intel(R) Xeon(R) E-2236 CPU @ 3.40GHz,1,1553,1553,1
9,Intel(R) Xeon(R) E-2236 CPU @ 3.40GHz,1,1502,1502,1
10,Intel(R) Xeon(R) E-2236 CPU @ 3.40GHz,1,1497,1497,1
11,Intel(R) Xeon(R) E-2236 CPU @ 3.40GHz,1,1485,13002,12
12,Intel(R) Xeon(R) E-2236 CPU @ 3.40GHz,1,1478,14648,12
13,Intel(R) Xeon(R) E-2236 CPU @ 3.40GHz,1,1472,1472,1
14,Intel(R) Xeon(R) E-2236 CPU @ 3.40GHz,1,1398,1398,1
15,Intel(R) Xeon(R) E-2236 CPU @ 3.40GHz,2,1237,2302,2
16,Intel(R) Xeon(R) E-2236 CPU @ 3.40GHz,1,1146,11533,12
17,Intel(R) Xeon(R) E-2236 CPU @ 3.40GHz,1,1141,11547,12
18,Intel(R) Xeon(R) E-2236 CPU @ 3.40GHz,1,1128,11319,12
19,Intel(R) Xeon(R) E-2236 CPU @ 3.40GHz,1,1126,11164,12
