排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) E-2286G CPU @ 4.00GHz,1,1669,14607,12
2,Intel(R) Xeon(R) E-2286G CPU @ 4.00GHz,1,1646,15835,12
3,Intel(R) Xeon(R) E-2286G CPU @ 4.00GHz,1,1639,14672,12
4,Intel(R) Xeon(R) E-2286G CPU @ 4.00GHz,1,1618,15474,12
5,Intel(R) Xeon(R) E-2286G CPU @ 4.00GHz,1,1618,15632,12
6,Intel(R) Xeon(R) E-2286G CPU @ 4.00GHz,10,1615,13302,10
7,Intel(R) Xeon(R) E-2286G CPU @ 4.00GHz,1,1605,15470,12
8,Intel(R) Xeon(R) E-2286G CPU @ 4.00GHz,8,1580,11093,8
9,Intel(R) Xeon(R) E-2286G CPU @ 4.00GHz,2,1498,2751,2
10,Intel(R) Xeon(R) E-2286G CPU @ 4.00GHz,2,1423,2880,2
