排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) E-2386G CPU @ 3.50GHz,1,4048,25569,12
2,Intel(R) Xeon(R) E-2386G CPU @ 3.50GHz,12,4044,25551,12
3,Intel(R) Xeon(R) E-2386G CPU @ 3.50GHz,1,4042,25530,12
4,Intel(R) Xeon(R) E-2386G CPU @ 3.50GHz,1,4032,25524,12
5,Intel(R) Xeon(R) E-2386G CPU @ 3.50GHz,1,4012,24858,12
6,Intel(R) Xeon(R) E-2386G CPU @ 3.50GHz,2,3815,6310,2
7,Intel(R) Xeon(R) E-2386G CPU @ 3.50GHz,2,3279,6204,2
8,Intel(R) Xeon(R) E-2386G CPU @ 3.50GHz,1,3690,3690,1
9,Intel(R) Xeon(R) E-2386G CPU @ 3.50GHz,1,2192,2192,1
10,Intel(R) Xeon(R) E-2386G CPU @ 3.50GHz,1,1397,1397,1
