排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) E5-2623 v4 CPU @ 2.60GHz,16,1586,25059,16
2,Intel(R) Xeon(R) E5-2623 v4 CPU @ 2.60GHz,16,1543,24709,16
3,Intel(R) Xeon(R) E5-2623 v4 CPU @ 2.60GHz,16,1469,21203,16
4,Intel(R) Xeon(R) E5-2623 v4 CPU @ 2.60GHz,8,1512,10650,8
5,Intel(R) Xeon(R) E5-2623 v4 CPU @ 2.60GHz,1,736,736,1
6,Intel(R) Xeon(R) E5-2623 v4 CPU @ 2.60GHz,1,733,733,1
7,Intel(R) Xeon(R) E5-2623 v4 CPU @ 2.60GHz,1,716,716,1
8,Intel(R) Xeon(R) E5-2623 v4 CPU @ 2.60GHz,1,705,705,1
9,Intel(R) Xeon(R) E5-2623 v4 CPU @ 2.60GHz,1,671,671,1
10,Intel(R) Xeon(R) E5-2623 v4 CPU @ 2.60GHz,1,634,634,1
11,Intel(R) Xeon(R) E5-2623 v4 CPU @ 2.60GHz,1,567,567,1
12,Intel(R) Xeon(R) E5-2623 v4 CPU @ 2.60GHz,1,493,493,1
