排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) E5-26xx v2,8,772,5834,8
2,Intel(R) Xeon(R) E5-26xx v2,4,772,3095,4
3,Intel(R) Xeon(R) E5-26xx v2,2,887,1717,2
4,Intel(R) Xeon(R) E5-26xx v2 @ 2499.998 MHz,2,883,1704,2
5,Intel(R) Xeon(R) E5-26xx v2 @ 2499.998 MHz,2,846,1681,2
6,Intel(R) Xeon(R) E5-26xx v2,2,868,1627,2
7,Intel(R) Xeon(R) E5-26xx v2,2,858,1581,2
8,Intel(R) Xeon(R) E5-26xx v2,2,778,1505,2
9,Intel(R) Xeon(R) E5-26xx v2,2,757,1481,2
10,Intel(R) Xeon(R) E5-26xx v2,2,739,1410,2
11,Intel(R) Xeon(R) E5-26xx v2,2,694,1317,2
12,Intel(R) Xeon(R) E5-26xx v2,2,863,886,2
13,Intel(R) Xeon(R) E5-26xx v2,1,752,752,1
14,Intel(R) Xeon(R) E5-26xx v2,1,709,709,1
15,Intel(R) Xeon(R) E5-26xx v2,1,602,602,1
