排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,96,992,84976,96
2,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,66,995,50654,66
3,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,96,697,36787,96
4,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,32,958,28040,32
5,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,975,3829,4
6,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,972,3822,4
7,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,948,3783,4
8,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,969,3770,4
9,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,966,3751,4
10,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,963,3738,4
11,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,873,3683,4
12,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,931,3670,4
13,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,946,3656,4
14,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,901,3653,4
15,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,936,3652,4
16,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,960,3637,4
17,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,906,3630,4
18,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,871,3606,4
19,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,935,3553,4
20,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,935,3551,4
21,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,900,3533,4
22,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,943,3440,4
23,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,917,3284,4
24,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,909,3148,4
25,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,950,2925,3
26,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,954,2893,3
27,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,947,2871,3
28,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,905,2839,3
29,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,928,2827,4
30,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,926,2813,3
31,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,947,2812,3
32,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,960,2810,3
33,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,939,2809,3
34,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,941,2807,3
35,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,940,2803,3
36,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,921,2797,3
37,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,864,2792,3
38,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,955,2787,3
39,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,952,2786,3
40,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,900,2782,3
41,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,906,2781,3
42,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,939,2777,3
43,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,889,2777,3
44,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,930,2775,3
45,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,962,2775,3
46,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,945,2768,3
