排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1378,2719,2
2,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1378,2714,2
3,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1377,2659,2
4,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1377,2717,2
5,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1373,2647,2
6,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1373,2707,2
7,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1372,2569,2
8,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1367,2062,2
9,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1365,2704,2
10,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1363,2063,2
11,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1360,2608,2
12,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1358,2024,2
13,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1353,2008,2
14,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1342,2687,2
15,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1334,2237,2
16,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1334,2625,2
17,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1332,2610,2
18,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1330,2256,2
19,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1325,2618,2
20,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1325,2613,2
21,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1324,2283,2
22,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1324,2627,2
23,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1323,2614,2
24,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1321,2587,2
25,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1318,2548,2
26,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1316,2590,2
27,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1316,2592,2
28,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1310,2127,2
29,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1310,2226,2
30,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1308,2122,2
31,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1305,2617,2
32,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1303,2182,2
33,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1289,2589,2
34,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1287,2532,2
35,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1287,2530,2
36,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1286,2562,2
37,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1286,2547,2
38,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1284,2480,2
39,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1284,2464,2
40,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1283,2520,2
41,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1281,2505,2
42,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1279,2053,2
43,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1277,2166,2
44,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1277,2157,2
45,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1277,1853,2
46,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1277,2530,2
47,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1275,2164,2
48,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1275,2151,2
49,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1274,1927,2
50,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1273,2463,2
51,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,8,1273,10141,8
52,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1272,2169,2
53,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1271,2158,2
54,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1270,2217,2
55,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1269,2149,2
56,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1265,2144,2
57,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1263,2462,2
58,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1259,2116,2
59,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1259,2108,2
60,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1258,2115,2
61,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1258,2440,2
62,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1255,2131,2
63,Intel(R) Xeon(R) Gold 6146 CPU @ 3.20GHz,2,1252,2560,2
