排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,8,1090,8641,8
2,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,4,1085,4329,4
3,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,4,1075,4271,4
4,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,4,964,3799,4
5,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,2,1119,2234,2
6,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,2,1119,2234,2
7,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,2,1119,2232,2
8,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,2,1114,2230,2
9,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,2,1115,2222,2
10,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,2,1117,2221,2
11,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,2,1115,2218,2
12,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,2,1117,2218,2
13,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,2,1119,2210,2
14,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,2,1117,2205,2
15,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,2,1117,2202,2
16,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,2,1116,2200,2
17,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,2,1117,2199,2
18,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,2,1113,2199,2
19,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,2,1103,2196,2
20,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,2,1113,2192,2
21,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,2,1108,2190,2
22,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,2,1103,2189,2
23,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,2,1117,2187,2
24,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,2,1111,2186,2
25,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,2,1094,2186,2
26,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,2,1094,2185,2
27,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,2,1093,2183,2
28,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,2,1094,2183,2
29,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,2,1093,2182,2
30,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,2,1093,2182,2
31,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,2,1093,2181,2
32,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,2,1085,2180,2
33,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,2,1093,2180,2
34,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,2,1091,2179,2
35,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,2,1091,2179,2
36,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,2,1092,2179,2
37,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,2,1090,2178,2
38,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,2,1105,2178,2
39,Intel(R) Xeon(R) Gold 6151 CPU @ 3.00GHz,2,1091,2178,2
