排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) Gold 6208U CPU @ 2.90GHz,1,1289,32301,32
2,Intel(R) Xeon(R) Gold 6208U CPU @ 2.90GHz,1,1294,32247,32
3,Intel(R) Xeon(R) Gold 6208U CPU @ 2.90GHz,1,1291,32125,32
4,Intel(R) Xeon(R) Gold 6208U CPU @ 2.90GHz,1,1252,31949,32
5,Intel(R) Xeon(R) Gold 6208U CPU @ 2.90GHz,1,1219,31635,32
6,Intel(R) Xeon(R) Gold 6208U CPU @ 2.90GHz,1,1229,30955,32
7,Intel(R) Xeon(R) Gold 6208U CPU @ 2.90GHz,32,1263,9771,32
8,Intel(R) Xeon(R) Gold 6208U CPU @ 2.90GHz,32,1286,9339,32
9,Intel(R) Xeon(R) Gold 6208U CPU @ 2.90GHz,32,1264,8815,32
10,Intel(R) Xeon(R) Gold 6208U CPU @ 2.90GHz,4,1286,4925,4
11,Intel(R) Xeon(R) Gold 6208U CPU @ 2.90GHz,4,1272,4921,4
12,Intel(R) Xeon(R) Gold 6208U CPU @ 2.90GHz,4,1278,4910,4
