排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) Gold 6231C CPU @ 3.20GHz,2,1293,2530,2
2,Intel(R) Xeon(R) Gold 6231C CPU @ 3.20GHz,2,1290,2518,2
3,Intel(R) Xeon(R) Gold 6231C CPU @ 3.20GHz,2,1289,1945,2
4,Intel(R) Xeon(R) Gold 6231C CPU @ 3.20GHz,2,1289,2567,2
5,Intel(R) Xeon(R) Gold 6231C CPU @ 3.20GHz,2,1288,2550,2
6,Intel(R) Xeon(R) Gold 6231C CPU @ 3.20GHz,2,1288,2564,2
7,Intel(R) Xeon(R) Gold 6231C CPU @ 3.20GHz,2,1284,2491,2
8,Intel(R) Xeon(R) Gold 6231C CPU @ 3.20GHz,2,1276,2182,2
9,Intel(R) Xeon(R) Gold 6231C CPU @ 3.20GHz,2,1264,1905,2
10,Intel(R) Xeon(R) Gold 6231C CPU @ 3.20GHz,8,1254,8605,8
11,Intel(R) Xeon(R) Gold 6231C CPU @ 3.20GHz,2,1245,2375,2
12,Intel(R) Xeon(R) Gold 6231C CPU @ 3.20GHz,2,1225,2140,2
13,Intel(R) Xeon(R) Gold 6231C CPU @ 3.20GHz,2,1221,2419,2
14,Intel(R) Xeon(R) Gold 6231C CPU @ 3.20GHz,2,1217,2033,2
15,Intel(R) Xeon(R) Gold 6231C CPU @ 3.20GHz,2,1215,2301,2
16,Intel(R) Xeon(R) Gold 6231C CPU @ 3.20GHz,2,1211,2376,2
17,Intel(R) Xeon(R) Gold 6231C CPU @ 3.20GHz,2,1208,2336,2
18,Intel(R) Xeon(R) Gold 6231C CPU @ 3.20GHz,2,1204,2308,2
19,Intel(R) Xeon(R) Gold 6231C CPU @ 3.20GHz,2,1196,2015,2
20,Intel(R) Xeon(R) Gold 6231C CPU @ 3.20GHz,2,1196,2317,2
21,Intel(R) Xeon(R) Gold 6231C CPU @ 3.20GHz,2,1190,2076,2
22,Intel(R) Xeon(R) Gold 6231C CPU @ 3.20GHz,2,1168,1932,2
23,Intel(R) Xeon(R) Gold 6231C CPU @ 3.20GHz,2,1162,2044,2
24,Intel(R) Xeon(R) Gold 6231C CPU @ 3.20GHz,2,1142,2165,2
25,Intel(R) Xeon(R) Gold 6231C CPU @ 3.20GHz,2,1133,2020,2
26,Intel(R) Xeon(R) Gold 6231C CPU @ 3.20GHz,2,1088,2093,2
27,Intel(R) Xeon(R) Gold 6231C CPU @ 3.20GHz,2,929,1408,2
28,Intel(R) Xeon(R) Gold 6231C CPU @ 3.20GHz,2,858,1762,2
29,Intel(R) Xeon(R) Gold 6231C CPU @ 3.20GHz,2,851,1630,2
30,Intel(R) Xeon(R) Gold 6231C CPU @ 3.20GHz,2,832,1773,2
