排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,1,1138,1138,1
2,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,4,1094,3811,4
3,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,24,1047,25023,24
4,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,8,1045,7011,8
5,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,104,1032,88750,104
6,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,1,1014,1014,1
7,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,1,1013,1013,1
8,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,2,1010,1978,2
9,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,2,992,1983,2
10,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,12,991,11763,12
11,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,2,991,1976,2
12,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,2,990,1984,2
13,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,2,990,1977,2
14,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,2,987,1879,2
15,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,1,987,987,1
16,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,8,986,7784,8
17,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,1,985,985,1
18,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,2,984,1976,2
19,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,1,984,984,1
20,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,1,983,983,1
21,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,2,981,1847,2
22,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,8,981,7730,8
