排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) Platinum 8222L CPU @ 3.00GHz,8,1100,8744,8
2,Intel(R) Xeon(R) Platinum 8222L CPU @ 3.00GHz,8,1100,8744,8
3,Intel(R) Xeon(R) Platinum 8222L CPU @ 3.00GHz,8,940,6890,8
4,Intel(R) Xeon(R) Platinum 8222L CPU @ 3.00GHz,2,1137,2326,2
5,Intel(R) Xeon(R) Platinum 8222L CPU @ 3.00GHz,2,1107,2230,2
6,Intel(R) Xeon(R) Platinum 8222L CPU @ 3.00GHz,2,1101,2209,2
7,Intel(R) Xeon(R) Platinum 8222L CPU @ 3.00GHz,2,1097,1795,2
8,Intel(R) Xeon(R) Platinum 8222L CPU @ 3.00GHz,1,1165,1165,1
9,Intel(R) Xeon(R) Platinum 8222L CPU @ 3.00GHz,1,1161,1161,1
10,Intel(R) Xeon(R) Platinum 8222L CPU @ 3.00GHz,1,1151,1151,1
11,Intel(R) Xeon(R) Platinum 8222L CPU @ 3.00GHz,1,1145,1145,1
12,Intel(R) Xeon(R) Platinum 8222L CPU @ 3.00GHz,1,1142,1142,1
13,Intel(R) Xeon(R) Platinum 8222L CPU @ 3.00GHz,1,1104,1104,1
14,Intel(R) Xeon(R) Platinum 8222L CPU @ 3.00GHz,1,1072,1072,1
15,Intel(R) Xeon(R) Platinum 8222L CPU @ 3.00GHz,1,1067,1067,1
16,Intel(R) Xeon(R) Platinum 8222L CPU @ 3.00GHz,1,997,997,1
17,Intel(R) Xeon(R) Platinum 8222L CPU @ 3.00GHz,1,980,980,1
18,Intel(R) Xeon(R) Platinum 8222L CPU @ 3.00GHz,1,936,936,1
19,Intel(R) Xeon(R) Platinum 8222L CPU @ 3.00GHz,1,915,915,1
20,Intel(R) Xeon(R) Platinum 8222L CPU @ 3.00GHz,1,894,894,1
21,Intel(R) Xeon(R) Platinum 8222L CPU @ 3.00GHz,1,576,576,1
22,Intel(R) Xeon(R) Platinum 8222L CPU @ 3.00GHz,1,508,508,1
23,Intel(R) Xeon(R) Platinum 8222L CPU @ 3.00GHz,1,425,425,1
