排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2,1193,78941,96
2,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,4,1187,4537,4
3,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,96,1186,85832,96
4,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2,1184,1841,2
5,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2,1182,1838,2
6,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,96,1181,85049,96
7,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2,1180,1840,2
8,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2,1174,83460,96
9,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2,1174,83319,96
10,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2,1167,83184,96
11,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2,1166,83148,96
12,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2,1164,1801,2
13,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2,1162,83755,96
14,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2,1162,83139,96
15,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,96,1160,85049,96
16,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,1,1159,42099,48
17,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2,1158,1916,2
18,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,1,1154,39610,48
19,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2,1152,1785,2
20,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2,1151,82036,96
21,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,1,1147,39466,48
22,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,1,1146,42080,48
23,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2,1130,1981,2
24,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2,1123,1749,2
25,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2,1119,1889,2
26,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2,1119,1887,2
27,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2,1118,1731,2
28,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2,1118,1720,2
29,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,1,1117,1126,2
30,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2,1114,1717,2
31,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2,1110,1718,2
32,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2,1109,1816,2
33,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,4,1109,4335,4
34,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2,1103,2013,2
35,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2,1102,1711,2
36,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2,1101,1859,2
37,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2,1100,1710,2
38,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2,1098,1683,2
39,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2,1097,1778,2
40,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2,1096,1691,2
41,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2,1095,1701,2
42,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2,1095,1692,2
43,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2,1095,1752,2
44,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,4,1093,3746,4
45,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,4,1093,4354,4
46,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2,1092,1693,2
