排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,104,1302,88179,104
2,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,104,1299,90793,104
3,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,4,1155,4321,4
4,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,8,1151,9140,8
5,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1122,2086,2
6,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1122,2168,2
7,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1119,2217,2
8,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1119,2197,2
9,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1116,2128,2
10,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1115,2227,2
11,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1114,2192,2
12,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1114,2207,2
13,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1113,2159,2
14,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1107,2171,2
15,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1107,2016,2
16,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,16,1106,1713,16
17,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1106,2150,2
18,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1105,2063,2
19,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,16,1105,17893,16
20,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1104,2081,2
21,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1103,2150,2
22,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1102,1825,2
23,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,4,1101,3271,4
24,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,4,1101,4278,4
25,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1101,2122,2
26,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1101,2187,2
27,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1099,2186,2
28,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,32,1099,24830,32
29,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1099,2194,2
30,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1099,2163,2
31,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1097,2120,2
32,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1097,2188,2
33,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1096,1798,2
34,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1096,2163,2
35,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1096,2145,2
36,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1096,2179,2
37,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1095,2145,2
38,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1095,2155,2
39,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1095,2155,2
40,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1095,2165,2
41,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1095,2142,2
42,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1095,2177,2
43,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1094,1985,2
44,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1094,2181,2
45,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1094,2138,2
46,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,4,1094,3188,4
47,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1094,2092,2
48,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1094,2150,2
49,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1093,2036,2
50,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1093,2164,2
51,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1093,1885,2
52,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1093,2126,2
53,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1093,2068,2
54,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1093,2095,2
55,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1093,2125,2
56,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1093,2095,2
57,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1093,2160,2
58,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1093,2160,2
59,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1093,2111,2
60,Intel(R) Xeon(R) Platinum 8269CY CPU @ 2.50GHz,2,1093,2157,2
