排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) Platinum 8270 CPU @ 2.70GHz,16,909,14220,16
2,Intel(R) Xeon(R) Platinum 8270 CPU @ 2.70GHz,8,854,6546,8
3,Intel(R) Xeon(R) Platinum 8270 CPU @ 2.70GHz,8,801,6517,8
4,Intel(R) Xeon(R) Platinum 8270 CPU @ 2.70GHz,4,868,3385,4
5,Intel(R) Xeon(R) Platinum 8270 CPU @ 2.70GHz,2,965,1890,2
6,Intel(R) Xeon(R) Platinum 8270 CPU @ 2.70GHz,2,900,1764,2
7,Intel(R) Xeon(R) Platinum 8270 CPU @ 2.70GHz,2,887,1741,2
8,Intel(R) Xeon(R) Platinum 8270 CPU @ 2.70GHz,2,886,1727,2
9,Intel(R) Xeon(R) Platinum 8270 CPU @ 2.70GHz,2,875,1720,2
10,Intel(R) Xeon(R) Platinum 8270 CPU @ 2.70GHz,2,872,1673,2
11,Intel(R) Xeon(R) Platinum 8270 CPU @ 2.70GHz,2,842,1652,2
12,Intel(R) Xeon(R) Platinum 8270 CPU @ 2.70GHz,2,865,1623,2
