排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) Platinum 8358P CPU @ 2.60GHz,128,2899,86208,128
2,Intel(R) Xeon(R) Platinum 8358P CPU @ 2.60GHz,6,2605,15443,6
3,Intel(R) Xeon(R) Platinum 8358P CPU @ 2.60GHz,6,2587,15334,6
4,Intel(R) Xeon(R) Platinum 8358P CPU @ 2.60GHz,4,2730,10893,4
5,Intel(R) Xeon(R) Platinum 8358P CPU @ 2.60GHz,2,2703,5376,2
6,Intel(R) Xeon(R) Platinum 8358P CPU @ 2.60GHz,2,2687,5340,2
7,Intel(R) Xeon(R) Platinum 8358P CPU @ 2.60GHz,2,2648,5296,2
8,Intel(R) Xeon(R) Platinum 8358P CPU @ 2.60GHz,2,2703,5259,2
9,Intel(R) Xeon(R) Platinum 8358P CPU @ 2.60GHz,2,2634,4983,2
10,Intel(R) Xeon(R) Platinum 8358P CPU @ 2.60GHz,2,2677,4653,2
11,Intel(R) Xeon(R) Platinum 8358P CPU @ 2.60GHz,1,2672,2672,1
12,Intel(R) Xeon(R) Platinum 8358P CPU @ 2.60GHz,1,2615,2615,1
13,Intel(R) Xeon(R) Platinum 8358P CPU @ 2.60GHz,2,2454,2494,2
14,Intel(R) Xeon(R) Platinum 8358P CPU @ 2.60GHz,1,1075,1075,1
15,Intel(R) Xeon(R) Platinum 8358P CPU @ 2.60GHz,1,1062,1062,1
16,Intel(R) Xeon(R) Platinum 8358P CPU @ 2.60GHz,1,969,969,1
