排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) Platinum 8378A CPU @ 3.00GHz,8,2996,23914,8
2,Intel(R) Xeon(R) Platinum 8378A CPU @ 3.00GHz,2,2995,3122,2
3,Intel(R) Xeon(R) Platinum 8378A CPU @ 3.00GHz,8,2981,23527,8
4,Intel(R) Xeon(R) Platinum 8378A CPU @ 3.00GHz,4,2981,11929,4
5,Intel(R) Xeon(R) Platinum 8378A CPU @ 3.00GHz,8,2977,23839,8
6,Intel(R) Xeon(R) Platinum 8378A CPU @ 3.00GHz,8,2977,23411,8
7,Intel(R) Xeon(R) Platinum 8378A CPU @ 3.00GHz,8,2966,23545,8
8,Intel(R) Xeon(R) Platinum 8378A CPU @ 3.00GHz,8,2961,23499,8
9,Intel(R) Xeon(R) Platinum 8378A CPU @ 3.00GHz,8,2954,23257,8
10,Intel(R) Xeon(R) Platinum 8378A CPU @ 3.00GHz,8,2951,23570,8
11,Intel(R) Xeon(R) Platinum 8378A CPU @ 3.00GHz,2,2941,5786,2
12,Intel(R) Xeon(R) Platinum 8378A CPU @ 3.00GHz,4,2936,6241,4
13,Intel(R) Xeon(R) Platinum 8378A CPU @ 3.00GHz,4,2924,11661,4
14,Intel(R) Xeon(R) Platinum 8378A CPU @ 3.00GHz,8,2920,23194,8
15,Intel(R) Xeon(R) Platinum 8378A CPU @ 3.00GHz,8,2880,23223,8
16,Intel(R) Xeon(R) Platinum 8378A CPU @ 3.00GHz,8,2871,22979,8
17,Intel(R) Xeon(R) Platinum 8378A CPU @ 3.00GHz,4,2818,10718,4
18,Intel(R) Xeon(R) Platinum 8378A CPU @ 3.00GHz,8,79,627,8
