排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) Platinum 8452Y,3,2413,7225,3
2,Intel(R) Xeon(R) Platinum 8452Y,3,2394,7206,3
3,Intel(R) Xeon(R) Platinum 8452Y,3,2384,7151,3
4,Intel(R) Xeon(R) Platinum 8452Y,3,2370,7135,3
5,Intel(R) Xeon(R) Platinum 8452Y,3,2359,7128,3
6,Intel(R) Xeon(R) Platinum 8452Y,3,2373,7125,3
7,Intel(R) Xeon(R) Platinum 8452Y,3,2353,7121,3
8,Intel(R) Xeon(R) Platinum 8452Y,3,2362,7120,3
9,Intel(R) Xeon(R) Platinum 8452Y,3,2384,7107,3
10,Intel(R) Xeon(R) Platinum 8452Y,3,2378,7076,3
11,Intel(R) Xeon(R) Platinum 8452Y,2,2389,4797,2
12,Intel(R) Xeon(R) Platinum 8452Y,2,2404,4792,2
13,Intel(R) Xeon(R) Platinum 8452Y,2,2408,4784,2
14,Intel(R) Xeon(R) Platinum 8452Y,2,2390,4778,2
15,Intel(R) Xeon(R) Platinum 8452Y,2,2415,4773,2
16,Intel(R) Xeon(R) Platinum 8452Y,2,2386,4762,2
17,Intel(R) Xeon(R) Platinum 8452Y,2,2387,4761,2
18,Intel(R) Xeon(R) Platinum 8452Y,2,2414,4754,2
19,Intel(R) Xeon(R) Platinum 8452Y,2,2388,4752,2
20,Intel(R) Xeon(R) Platinum 8452Y,2,2403,4751,2
21,Intel(R) Xeon(R) Platinum 8452Y,2,2382,4750,2
22,Intel(R) Xeon(R) Platinum 8452Y,2,2377,4749,2
23,Intel(R) Xeon(R) Platinum 8452Y,2,2380,4749,2
24,Intel(R) Xeon(R) Platinum 8452Y,2,2380,4748,2
25,Intel(R) Xeon(R) Platinum 8452Y,2,2368,4743,2
26,Intel(R) Xeon(R) Platinum 8452Y,2,2384,4741,2
27,Intel(R) Xeon(R) Platinum 8452Y,2,2366,4738,2
28,Intel(R) Xeon(R) Platinum 8452Y,2,2385,4737,2
29,Intel(R) Xeon(R) Platinum 8452Y,2,2369,4732,2
30,Intel(R) Xeon(R) Platinum 8452Y,2,2382,4731,2
31,Intel(R) Xeon(R) Platinum 8452Y,2,2362,4723,2
32,Intel(R) Xeon(R) Platinum 8452Y,2,2386,4718,2
33,Intel(R) Xeon(R) Platinum 8452Y,2,2276,4717,2
34,Intel(R) Xeon(R) Platinum 8452Y,2,2355,4714,2
35,Intel(R) Xeon(R) Platinum 8452Y,2,2364,4713,2
36,Intel(R) Xeon(R) Platinum 8452Y,2,2378,4712,2
37,Intel(R) Xeon(R) Platinum 8452Y,2,2407,4711,2
38,Intel(R) Xeon(R) Platinum 8452Y,2,2375,4711,2
39,Intel(R) Xeon(R) Platinum 8452Y,2,2393,4711,2
40,Intel(R) Xeon(R) Platinum 8452Y,2,2371,4711,2
41,Intel(R) Xeon(R) Platinum 8452Y,2,2374,4707,2
42,Intel(R) Xeon(R) Platinum 8452Y,2,2327,4704,2
43,Intel(R) Xeon(R) Platinum 8452Y,2,2366,4702,2
44,Intel(R) Xeon(R) Platinum 8452Y,2,2390,4701,2
45,Intel(R) Xeon(R) Platinum 8452Y,2,2374,4699,2
46,Intel(R) Xeon(R) Platinum 8452Y,2,2376,4699,2
47,Intel(R) Xeon(R) Platinum 8452Y,2,2310,4697,2
48,Intel(R) Xeon(R) Platinum 8452Y,2,2369,4697,2
49,Intel(R) Xeon(R) Platinum 8452Y,2,2402,4692,2
50,Intel(R) Xeon(R) Platinum 8452Y,2,2356,4691,2
