排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) Platinum 8468,192,2694,218042,192
2,Intel(R) Xeon(R) Platinum 8468,16,2991,24273,16
3,Intel(R) Xeon(R) Platinum 8468,16,2972,23938,16
4,Intel(R) Xeon(R) Platinum 8468,16,2980,23619,16
5,Intel(R) Xeon(R) Platinum 8468,8,3146,23276,8
6,Intel(R) Xeon(R) Platinum 8468,8,2630,21241,8
7,Intel(R) Xeon(R) Platinum 8468,8,2659,21200,8
8,Intel(R) Xeon(R) Platinum 8468,8,2114,17839,8
9,Intel(R) Xeon(R) Platinum 8468,8,1803,16690,8
10,Intel(R) Xeon(R) Platinum 8468,8,1788,14310,8
