排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) Platinum 8480+,2,2928,293081,224
2,Intel(R) Xeon(R) Platinum 8480+,2,2594,297712,224
3,Intel(R) Xeon(R) Platinum 8480+ @ 800.000 MHz,224,2583,10528,224
4,Intel(R) Xeon(R) Platinum 8480+,8,2426,19645,8
5,Intel(R) Xeon(R) Platinum 8480+,8,2374,20116,8
6,Intel(R) Xeon(R) Platinum 8480+,8,2349,20285,8
7,Intel(R) Xeon(R) Platinum 8480+,8,2286,18237,8
8,Intel(R) Xeon(R) Platinum 8480+,8,2210,19450,8
9,Intel(R) Xeon(R) Platinum 8480+,8,2082,20501,8
10,Intel(R) Xeon(R) Platinum 8480+,35,2022,90193,35
11,Intel(R) Xeon(R) Platinum 8480+,26,1708,44371,26
