排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) Platinum,16,1057,14176,16
2,Intel(R) Xeon(R) Platinum,16,1058,14157,16
3,Intel(R) Xeon(R) Platinum,16,1058,14136,16
4,Intel(R) Xeon(R) Platinum,16,892,11993,16
5,Intel(R) Xeon(R) Platinum,8,1095,8711,8
6,Intel(R) Xeon(R) Platinum,8,1097,7340,8
7,Intel(R) Xeon(R) Platinum,8,1060,7084,8
8,Intel(R) Xeon(R) Platinum,8,1057,7073,8
9,Intel(R) Xeon(R) Platinum,8,1090,6778,8
10,Intel(R) Xeon(R) Platinum,8,1090,6772,8
11,Intel(R) Xeon(R) Platinum,8,1090,6767,8
12,Intel(R) Xeon(R) Platinum,8,1117,6729,8
13,Intel(R) Xeon(R) Platinum,8,1116,6716,8
14,Intel(R) Xeon(R) Platinum,8,896,5985,8
15,Intel(R) Xeon(R) Platinum,4,1092,4323,4
16,Intel(R) Xeon(R) Platinum,4,1083,4267,4
17,Intel(R) Xeon(R) Platinum,4,1079,4238,4
18,Intel(R) Xeon(R) Platinum,4,1087,4154,4
19,Intel(R) Xeon(R) Platinum,4,1086,4140,4
20,Intel(R) Xeon(R) Platinum,4,1051,4122,4
21,Intel(R) Xeon(R) Platinum,4,1082,4120,4
22,Intel(R) Xeon(R) Platinum,4,1058,3956,4
23,Intel(R) Xeon(R) Platinum,4,1013,3921,4
24,Intel(R) Xeon(R) Platinum,4,1059,3831,4
25,Intel(R) Xeon(R) Platinum,4,985,3774,4
26,Intel(R) Xeon(R) Platinum,4,1092,3727,4
27,Intel(R) Xeon(R) Platinum,4,1093,3717,4
28,Intel(R) Xeon(R) Platinum,4,1099,3674,4
29,Intel(R) Xeon(R) Platinum,4,1098,3671,4
30,Intel(R) Xeon(R) Platinum,4,1097,3668,4
31,Intel(R) Xeon(R) Platinum,4,1100,3634,4
32,Intel(R) Xeon(R) Platinum,4,1088,3604,4
33,Intel(R) Xeon(R) Platinum,4,1062,3551,4
34,Intel(R) Xeon(R) Platinum,4,1057,3540,4
35,Intel(R) Xeon(R) Platinum,4,1073,3536,4
36,Intel(R) Xeon(R) Platinum,4,1056,3528,4
37,Intel(R) Xeon(R) Platinum,4,1052,3521,4
38,Intel(R) Xeon(R) Platinum,4,1052,3521,4
39,Intel(R) Xeon(R) Platinum,4,1058,3508,4
40,Intel(R) Xeon(R) Platinum,4,891,3503,4
41,Intel(R) Xeon(R) Platinum,4,1056,3499,4
42,Intel(R) Xeon(R) Platinum,4,1056,3485,4
43,Intel(R) Xeon(R) Platinum,4,880,3470,4
44,Intel(R) Xeon(R) Platinum,4,1027,3460,4
45,Intel(R) Xeon(R) Platinum,4,1097,3399,4
46,Intel(R) Xeon(R) Platinum,4,1010,3398,4
47,Intel(R) Xeon(R) Platinum,4,1087,3388,4
48,Intel(R) Xeon(R) Platinum,4,1009,3365,4
49,Intel(R) Xeon(R) Platinum,4,1112,3362,4
50,Intel(R) Xeon(R) Platinum,4,1119,3351,4
51,Intel(R) Xeon(R) Platinum,4,1077,3351,4
52,Intel(R) Xeon(R) Platinum,4,1115,3351,4
53,Intel(R) Xeon(R) Platinum,4,1116,3342,4
54,Intel(R) Xeon(R) Platinum,4,1115,3325,4
55,Intel(R) Xeon(R) Platinum,4,975,3271,4
56,Intel(R) Xeon(R) Platinum,4,885,3260,4
57,Intel(R) Xeon(R) Platinum,4,1043,3210,4
58,Intel(R) Xeon(R) Platinum,4,894,3158,4
59,Intel(R) Xeon(R) Platinum,4,921,3149,4
60,Intel(R) Xeon(R) Platinum,4,922,3137,4
61,Intel(R) Xeon(R) Platinum,4,919,3122,4
62,Intel(R) Xeon(R) Platinum,4,1032,3027,4
63,Intel(R) Xeon(R) Platinum,4,1046,2927,4
64,Intel(R) Xeon(R) Platinum,4,1019,2892,4
65,Intel(R) Xeon(R) Platinum,4,1091,2877,4
66,Intel(R) Xeon(R) Platinum,4,1069,2648,4
67,Intel(R) Xeon(R) Platinum,2,1116,2217,2
68,Intel(R) Xeon(R) Platinum,2,1111,2202,2
69,Intel(R) Xeon(R) Platinum,2,1113,2201,2
70,Intel(R) Xeon(R) Platinum,2,1100,2198,2
71,Intel(R) Xeon(R) Platinum,2,1085,2196,2
72,Intel(R) Xeon(R) Platinum,2,1111,2194,2
73,Intel(R) Xeon(R) Platinum,2,1116,2189,2
74,Intel(R) Xeon(R) Platinum,2,1106,2187,2
75,Intel(R) Xeon(R) Platinum,2,1093,2187,2
76,Intel(R) Xeon(R) Platinum,2,1088,2186,2
77,Intel(R) Xeon(R) Platinum,2,1097,2185,2
78,Intel(R) Xeon(R) Platinum,2,1087,2185,2
79,Intel(R) Xeon(R) Platinum,2,1080,2184,2
80,Intel(R) Xeon(R) Platinum,2,1096,2183,2
81,Intel(R) Xeon(R) Platinum,2,1098,2182,2
82,Intel(R) Xeon(R) Platinum,2,1088,2181,2
83,Intel(R) Xeon(R) Platinum,2,1087,2181,2
84,Intel(R) Xeon(R) Platinum,2,1076,2180,2
85,Intel(R) Xeon(R) Platinum,2,1080,2180,2
86,Intel(R) Xeon(R) Platinum,2,1088,2179,2
87,Intel(R) Xeon(R) Platinum,2,1079,2179,2
88,Intel(R) Xeon(R) Platinum,2,1069,2179,2
89,Intel(R) Xeon(R) Platinum,2,1081,2177,2
90,Intel(R) Xeon(R) Platinum,2,1096,2177,2
91,Intel(R) Xeon(R) Platinum,2,1091,2177,2
92,Intel(R) Xeon(R) Platinum,2,1091,2176,2
93,Intel(R) Xeon(R) Platinum,2,1066,2176,2
94,Intel(R) Xeon(R) Platinum,2,1091,2176,2
95,Intel(R) Xeon(R) Platinum,2,1097,2176,2
96,Intel(R) Xeon(R) Platinum,2,1091,2175,2
97,Intel(R) Xeon(R) Platinum,2,1087,2175,2
98,Intel(R) Xeon(R) Platinum,2,1085,2175,2
99,Intel(R) Xeon(R) Platinum,2,1074,2174,2
100,Intel(R) Xeon(R) Platinum,2,1084,2174,2
101,Intel(R) Xeon(R) Platinum,2,1092,2173,2
102,Intel(R) Xeon(R) Platinum,2,1108,2173,2
103,Intel(R) Xeon(R) Platinum,2,1094,2173,2
104,Intel(R) Xeon(R) Platinum,2,1087,2172,2
105,Intel(R) Xeon(R) Platinum,2,1088,2172,2
106,Intel(R) Xeon(R) Platinum,2,1091,2171,2
107,Intel(R) Xeon(R) Platinum,2,1090,2171,2
108,Intel(R) Xeon(R) Platinum,2,1096,2171,2
109,Intel(R) Xeon(R) Platinum,2,1063,2171,2
110,Intel(R) Xeon(R) Platinum,2,1089,2171,2
111,Intel(R) Xeon(R) Platinum,2,1091,2170,2
112,Intel(R) Xeon(R) Platinum,2,1016,2170,2
113,Intel(R) Xeon(R) Platinum,2,1081,2169,2
114,Intel(R) Xeon(R) Platinum,2,1092,2169,2
115,Intel(R) Xeon(R) Platinum,2,1089,2169,2
116,Intel(R) Xeon(R) Platinum,2,1092,2169,2
117,Intel(R) Xeon(R) Platinum,2,1082,2169,2
118,Intel(R) Xeon(R) Platinum,2,1088,2169,2
119,Intel(R) Xeon(R) Platinum,2,1003,2169,2
120,Intel(R) Xeon(R) Platinum,2,1088,2168,2
121,Intel(R) Xeon(R) Platinum,2,1084,2168,2
122,Intel(R) Xeon(R) Platinum,2,1088,2168,2
123,Intel(R) Xeon(R) Platinum,2,1084,2168,2
124,Intel(R) Xeon(R) Platinum,2,1083,2168,2
125,Intel(R) Xeon(R) Platinum,2,1062,2168,2
126,Intel(R) Xeon(R) Platinum,2,1090,2168,2
127,Intel(R) Xeon(R) Platinum,2,1084,2167,2
128,Intel(R) Xeon(R) Platinum,2,1094,2167,2
129,Intel(R) Xeon(R) Platinum,2,1088,2167,2
130,Intel(R) Xeon(R) Platinum,2,1071,2167,2
131,Intel(R) Xeon(R) Platinum,2,1098,2167,2
132,Intel(R) Xeon(R) Platinum,2,1085,2166,2
133,Intel(R) Xeon(R) Platinum,2,1085,2166,2
134,Intel(R) Xeon(R) Platinum,2,1064,2166,2
135,Intel(R) Xeon(R) Platinum,2,1043,2166,2
136,Intel(R) Xeon(R) Platinum,2,1077,2166,2
137,Intel(R) Xeon(R) Platinum,2,1087,2165,2
138,Intel(R) Xeon(R) Platinum,2,1090,2165,2
139,Intel(R) Xeon(R) Platinum,2,1048,2165,2
140,Intel(R) Xeon(R) Platinum,2,1078,2164,2
141,Intel(R) Xeon(R) Platinum,2,1091,2164,2
142,Intel(R) Xeon(R) Platinum,2,1089,2164,2
143,Intel(R) Xeon(R) Platinum,2,1067,2164,2
144,Intel(R) Xeon(R) Platinum,2,1069,2163,2
145,Intel(R) Xeon(R) Platinum,2,1079,2163,2
146,Intel(R) Xeon(R) Platinum,2,1032,2163,2
147,Intel(R) Xeon(R) Platinum,2,1087,2163,2
148,Intel(R) Xeon(R) Platinum,2,1081,2162,2
149,Intel(R) Xeon(R) Platinum,2,1066,2162,2
150,Intel(R) Xeon(R) Platinum,2,1089,2162,2
151,Intel(R) Xeon(R) Platinum,2,1056,2161,2
152,Intel(R) Xeon(R) Platinum,2,1097,2161,2
153,Intel(R) Xeon(R) Platinum,2,1080,2161,2
154,Intel(R) Xeon(R) Platinum,2,1092,2160,2
155,Intel(R) Xeon(R) Platinum,2,1085,2160,2
156,Intel(R) Xeon(R) Platinum,2,1091,2160,2
157,Intel(R) Xeon(R) Platinum,2,1088,2160,2
158,Intel(R) Xeon(R) Platinum,2,1087,2160,2
159,Intel(R) Xeon(R) Platinum,2,1091,2159,2
160,Intel(R) Xeon(R) Platinum,2,1093,2159,2
161,Intel(R) Xeon(R) Platinum,2,1082,2158,2
162,Intel(R) Xeon(R) Platinum,2,1088,2158,2
163,Intel(R) Xeon(R) Platinum,2,1079,2158,2
164,Intel(R) Xeon(R) Platinum,2,1082,2158,2
165,Intel(R) Xeon(R) Platinum,2,1084,2157,2
166,Intel(R) Xeon(R) Platinum,2,1023,2157,2
167,Intel(R) Xeon(R) Platinum,2,1087,2157,2
168,Intel(R) Xeon(R) Platinum,2,1051,2156,2
169,Intel(R) Xeon(R) Platinum,2,1062,2156,2
170,Intel(R) Xeon(R) Platinum,2,1091,2156,2
171,Intel(R) Xeon(R) Platinum,2,1075,2155,2
172,Intel(R) Xeon(R) Platinum,2,1084,2155,2
173,Intel(R) Xeon(R) Platinum,2,1089,2155,2
174,Intel(R) Xeon(R) Platinum,2,1089,2155,2
175,Intel(R) Xeon(R) Platinum,2,1053,2155,2
176,Intel(R) Xeon(R) Platinum,2,1090,2155,2
177,Intel(R) Xeon(R) Platinum,2,1034,2155,2
178,Intel(R) Xeon(R) Platinum,2,1100,2154,2
179,Intel(R) Xeon(R) Platinum,2,1039,2154,2
180,Intel(R) Xeon(R) Platinum,2,1093,2154,2
181,Intel(R) Xeon(R) Platinum,2,1095,2154,2
182,Intel(R) Xeon(R) Platinum,2,1090,2154,2
183,Intel(R) Xeon(R) Platinum,2,1082,2154,2
184,Intel(R) Xeon(R) Platinum,2,1086,2154,2
185,Intel(R) Xeon(R) Platinum,2,1016,2153,2
186,Intel(R) Xeon(R) Platinum,2,1076,2153,2
187,Intel(R) Xeon(R) Platinum,2,1083,2152,2
188,Intel(R) Xeon(R) Platinum,2,1039,2152,2
189,Intel(R) Xeon(R) Platinum,2,998,2151,2
190,Intel(R) Xeon(R) Platinum,2,1056,2151,2
191,Intel(R) Xeon(R) Platinum,2,1077,2151,2
192,Intel(R) Xeon(R) Platinum,2,1048,2151,2
193,Intel(R) Xeon(R) Platinum,2,1088,2151,2
194,Intel(R) Xeon(R) Platinum,2,984,2151,2
195,Intel(R) Xeon(R) Platinum,2,1086,2150,2
196,Intel(R) Xeon(R) Platinum,2,1091,2150,2
197,Intel(R) Xeon(R) Platinum,2,1076,2150,2
198,Intel(R) Xeon(R) Platinum,2,1088,2150,2
199,Intel(R) Xeon(R) Platinum,2,1083,2149,2
200,Intel(R) Xeon(R) Platinum,2,1086,2149,2
201,Intel(R) Xeon(R) Platinum,2,1084,2149,2
202,Intel(R) Xeon(R) Platinum,2,1075,2149,2
203,Intel(R) Xeon(R) Platinum,2,1092,2149,2
204,Intel(R) Xeon(R) Platinum,2,1084,2149,2
205,Intel(R) Xeon(R) Platinum,2,1044,2149,2
206,Intel(R) Xeon(R) Platinum,2,1086,2149,2
207,Intel(R) Xeon(R) Platinum,2,1039,2149,2
208,Intel(R) Xeon(R) Platinum,2,1054,2149,2
209,Intel(R) Xeon(R) Platinum,2,1086,2149,2
210,Intel(R) Xeon(R) Platinum,2,1068,2149,2
211,Intel(R) Xeon(R) Platinum,2,1075,2148,2
212,Intel(R) Xeon(R) Platinum,2,1073,2148,2
213,Intel(R) Xeon(R) Platinum,2,1093,2148,2
214,Intel(R) Xeon(R) Platinum,2,1025,2148,2
215,Intel(R) Xeon(R) Platinum,2,1086,2148,2
216,Intel(R) Xeon(R) Platinum,2,1018,2148,2
217,Intel(R) Xeon(R) Platinum,2,1090,2147,2
218,Intel(R) Xeon(R) Platinum,2,1090,2147,2
219,Intel(R) Xeon(R) Platinum,2,1088,2147,2
220,Intel(R) Xeon(R) Platinum,2,1086,2147,2
221,Intel(R) Xeon(R) Platinum,2,1085,2147,2
222,Intel(R) Xeon(R) Platinum,2,1072,2147,2
223,Intel(R) Xeon(R) Platinum,2,1086,2147,2
224,Intel(R) Xeon(R) Platinum,2,1020,2146,2
225,Intel(R) Xeon(R) Platinum,2,1057,2146,2
226,Intel(R) Xeon(R) Platinum,2,990,2146,2
227,Intel(R) Xeon(R) Platinum,2,1065,2146,2
228,Intel(R) Xeon(R) Platinum,2,1091,2146,2
229,Intel(R) Xeon(R) Platinum,2,1088,2146,2
230,Intel(R) Xeon(R) Platinum,2,1087,2145,2
231,Intel(R) Xeon(R) Platinum,2,1092,2145,2
232,Intel(R) Xeon(R) Platinum,2,1092,2145,2
233,Intel(R) Xeon(R) Platinum,2,1075,2145,2
234,Intel(R) Xeon(R) Platinum,2,1031,2145,2
235,Intel(R) Xeon(R) Platinum,2,1087,2144,2
236,Intel(R) Xeon(R) Platinum,2,1117,2144,2
237,Intel(R) Xeon(R) Platinum,2,1064,2144,2
238,Intel(R) Xeon(R) Platinum,2,1083,2144,2
239,Intel(R) Xeon(R) Platinum,2,1094,2144,2
240,Intel(R) Xeon(R) Platinum,2,1072,2144,2
241,Intel(R) Xeon(R) Platinum,2,1050,2143,2
242,Intel(R) Xeon(R) Platinum,2,1081,2143,2
243,Intel(R) Xeon(R) Platinum,2,1080,2143,2
244,Intel(R) Xeon(R) Platinum,2,1095,2143,2
245,Intel(R) Xeon(R) Platinum,2,970,2143,2
246,Intel(R) Xeon(R) Platinum,2,1012,2143,2
247,Intel(R) Xeon(R) Platinum,2,1089,2143,2
248,Intel(R) Xeon(R) Platinum,2,1064,2143,2
249,Intel(R) Xeon(R) Platinum,2,1087,2143,2
250,Intel(R) Xeon(R) Platinum,2,1090,2142,2
251,Intel(R) Xeon(R) Platinum,2,1053,2142,2
252,Intel(R) Xeon(R) Platinum,2,1081,2142,2
253,Intel(R) Xeon(R) Platinum,2,1075,2142,2
254,Intel(R) Xeon(R) Platinum,2,1082,2142,2
255,Intel(R) Xeon(R) Platinum,2,917,2141,2
256,Intel(R) Xeon(R) Platinum,2,1066,2141,2
257,Intel(R) Xeon(R) Platinum,2,1072,2141,2
258,Intel(R) Xeon(R) Platinum,2,1063,2141,2
259,Intel(R) Xeon(R) Platinum,2,1085,2140,2
260,Intel(R) Xeon(R) Platinum,2,1094,2140,2
261,Intel(R) Xeon(R) Platinum,2,1089,2140,2
262,Intel(R) Xeon(R) Platinum,2,1095,2140,2
263,Intel(R) Xeon(R) Platinum,2,1037,2139,2
264,Intel(R) Xeon(R) Platinum,2,1094,2139,2
265,Intel(R) Xeon(R) Platinum,2,1088,2139,2
266,Intel(R) Xeon(R) Platinum,2,1091,2139,2
267,Intel(R) Xeon(R) Platinum,2,1088,2139,2
268,Intel(R) Xeon(R) Platinum,2,994,2139,2
269,Intel(R) Xeon(R) Platinum,2,1085,2138,2
270,Intel(R) Xeon(R) Platinum,2,1088,2138,2
271,Intel(R) Xeon(R) Platinum,2,1076,2138,2
272,Intel(R) Xeon(R) Platinum,2,1078,2138,2
273,Intel(R) Xeon(R) Platinum,2,1032,2137,2
274,Intel(R) Xeon(R) Platinum,2,1075,2137,2
275,Intel(R) Xeon(R) Platinum,2,1085,2137,2
276,Intel(R) Xeon(R) Platinum,2,1096,2137,2
277,Intel(R) Xeon(R) Platinum,2,1053,2137,2
278,Intel(R) Xeon(R) Platinum,2,1012,2136,2
279,Intel(R) Xeon(R) Platinum,2,1081,2136,2
280,Intel(R) Xeon(R) Platinum,2,1068,2136,2
281,Intel(R) Xeon(R) Platinum,2,1097,2135,2
282,Intel(R) Xeon(R) Platinum,2,1067,2135,2
283,Intel(R) Xeon(R) Platinum,2,1022,2135,2
284,Intel(R) Xeon(R) Platinum,2,1084,2135,2
285,Intel(R) Xeon(R) Platinum,2,1104,2134,2
286,Intel(R) Xeon(R) Platinum,2,1069,2134,2
287,Intel(R) Xeon(R) Platinum,2,1079,2134,2
288,Intel(R) Xeon(R) Platinum,2,1018,2134,2
289,Intel(R) Xeon(R) Platinum,2,1041,2134,2
290,Intel(R) Xeon(R) Platinum,2,1088,2133,2
291,Intel(R) Xeon(R) Platinum,2,1079,2133,2
292,Intel(R) Xeon(R) Platinum,2,1038,2133,2
293,Intel(R) Xeon(R) Platinum,2,1087,2133,2
294,Intel(R) Xeon(R) Platinum,2,1033,2133,2
295,Intel(R) Xeon(R) Platinum,2,1078,2133,2
296,Intel(R) Xeon(R) Platinum,2,1085,2132,2
297,Intel(R) Xeon(R) Platinum,2,1071,2132,2
298,Intel(R) Xeon(R) Platinum,2,1070,2132,2
299,Intel(R) Xeon(R) Platinum,2,1079,2132,2
300,Intel(R) Xeon(R) Platinum,2,1089,2132,2
301,Intel(R) Xeon(R) Platinum,2,1086,2132,2
302,Intel(R) Xeon(R) Platinum,2,1073,2132,2
303,Intel(R) Xeon(R) Platinum,2,1094,2131,2
304,Intel(R) Xeon(R) Platinum,2,1081,2131,2
305,Intel(R) Xeon(R) Platinum,2,1073,2131,2
306,Intel(R) Xeon(R) Platinum,2,1038,2131,2
307,Intel(R) Xeon(R) Platinum,2,1066,2131,2
308,Intel(R) Xeon(R) Platinum,2,1069,2131,2
309,Intel(R) Xeon(R) Platinum,2,1055,2131,2
310,Intel(R) Xeon(R) Platinum,2,1088,2131,2
311,Intel(R) Xeon(R) Platinum,2,1091,2131,2
312,Intel(R) Xeon(R) Platinum,2,1041,2130,2
313,Intel(R) Xeon(R) Platinum,2,1093,2130,2
