排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) Platinum,1,2982,2982,1
2,Intel(R) Xeon(R) Platinum,2,2911,3130,2
3,Intel(R) Xeon(R) Platinum,2,1304,2031,2
4,Intel(R) Xeon(R) Platinum,2,1299,2031,2
5,Intel(R) Xeon(R) Platinum,2,1255,2079,2
6,Intel(R) Xeon(R) Platinum,2,1129,1685,2
7,Intel(R) Xeon(R) Platinum,2,1124,1695,2
8,Intel(R) Xeon(R) Platinum,2,1123,1694,2
9,Intel(R) Xeon(R) Platinum,1,1123,1123,1
10,Intel(R) Xeon(R) Platinum,2,1123,1691,2
11,Intel(R) Xeon(R) Platinum,2,1123,1692,2
12,Intel(R) Xeon(R) Platinum,2,1122,1691,2
13,Intel(R) Xeon(R) Platinum,1,1122,1122,1
14,Intel(R) Xeon(R) Platinum,2,1122,1693,2
15,Intel(R) Xeon(R) Platinum,2,1122,1689,2
16,Intel(R) Xeon(R) Platinum,1,1122,1122,1
17,Intel(R) Xeon(R) Platinum,2,1121,1689,2
18,Intel(R) Xeon(R) Platinum,2,1121,1691,2
19,Intel(R) Xeon(R) Platinum,1,1121,1121,1
20,Intel(R) Xeon(R) Platinum,2,1121,1687,2
21,Intel(R) Xeon(R) Platinum,2,1121,1697,2
22,Intel(R) Xeon(R) Platinum,2,1120,1688,2
23,Intel(R) Xeon(R) Platinum,1,1120,1120,1
24,Intel(R) Xeon(R) Platinum,1,1120,1120,1
25,Intel(R) Xeon(R) Platinum,2,1120,1685,2
26,Intel(R) Xeon(R) Platinum,2,1120,1673,2
27,Intel(R) Xeon(R) Platinum,2,1120,1686,2
28,Intel(R) Xeon(R) Platinum,2,1120,1689,2
29,Intel(R) Xeon(R) Platinum,2,1120,1688,2
30,Intel(R) Xeon(R) Platinum,2,1120,1691,2
31,Intel(R) Xeon(R) Platinum,2,1120,1685,2
32,Intel(R) Xeon(R) Platinum,2,1120,1686,2
33,Intel(R) Xeon(R) Platinum,2,1120,1690,2
34,Intel(R) Xeon(R) Platinum,2,1120,1692,2
35,Intel(R) Xeon(R) Platinum,1,1119,1119,1
36,Intel(R) Xeon(R) Platinum,1,1119,1119,1
37,Intel(R) Xeon(R) Platinum,1,1119,1119,1
38,Intel(R) Xeon(R) Platinum,2,1119,1687,2
39,Intel(R) Xeon(R) Platinum @ 2500.002 MHz,1,1119,1119,1
40,Intel(R) Xeon(R) Platinum,4,1119,3351,4
41,Intel(R) Xeon(R) Platinum,2,1119,1689,2
42,Intel(R) Xeon(R) Platinum,2,1119,1687,2
43,Intel(R) Xeon(R) Platinum,2,1119,1682,2
44,Intel(R) Xeon(R) Platinum,2,1119,1682,2
45,Intel(R) Xeon(R) Platinum,2,1119,1687,2
46,Intel(R) Xeon(R) Platinum,1,1119,1119,1
47,Intel(R) Xeon(R) Platinum,2,1119,1687,2
48,Intel(R) Xeon(R) Platinum,2,1119,1685,2
49,Intel(R) Xeon(R) Platinum,1,1118,1118,1
50,Intel(R) Xeon(R) Platinum,1,1118,1118,1
51,Intel(R) Xeon(R) Platinum,1,1118,1118,1
52,Intel(R) Xeon(R) Platinum,2,1118,1686,2
53,Intel(R) Xeon(R) Platinum,1,1118,1118,1
54,Intel(R) Xeon(R) Platinum,2,1118,1680,2
55,Intel(R) Xeon(R) Platinum,2,1118,1684,2
56,Intel(R) Xeon(R) Platinum,2,1118,1685,2
57,Intel(R) Xeon(R) Platinum,2,1118,1688,2
58,Intel(R) Xeon(R) Platinum,2,1118,1694,2
59,Intel(R) Xeon(R) Platinum,2,1118,1683,2
60,Intel(R) Xeon(R) Platinum,2,1118,1684,2
61,Intel(R) Xeon(R) Platinum @ 2500.002 MHz,2,1117,1688,2
62,Intel(R) Xeon(R) Platinum,2,1117,1688,2
63,Intel(R) Xeon(R) Platinum,8,1117,6729,8
64,Intel(R) Xeon(R) Platinum,2,1117,1691,2
65,Intel(R) Xeon(R) Platinum,2,1117,2144,2
66,Intel(R) Xeon(R) Platinum,1,1117,1117,1
67,Intel(R) Xeon(R) Platinum,2,1117,1688,2
68,Intel(R) Xeon(R) Platinum,2,1117,1678,2
69,Intel(R) Xeon(R) Platinum,1,1117,1117,1
70,Intel(R) Xeon(R) Platinum,2,1117,1684,2
71,Intel(R) Xeon(R) Platinum,2,1117,1694,2
72,Intel(R) Xeon(R) Platinum,2,1117,1684,2
73,Intel(R) Xeon(R) Platinum,1,1117,1117,1
74,Intel(R) Xeon(R) Platinum,2,1117,1686,2
75,Intel(R) Xeon(R) Platinum,1,1117,1117,1
76,Intel(R) Xeon(R) Platinum,2,1117,1683,2
77,Intel(R) Xeon(R) Platinum,1,1117,1117,1
78,Intel(R) Xeon(R) Platinum,2,1117,1693,2
79,Intel(R) Xeon(R) Platinum,2,1117,1685,2
80,Intel(R) Xeon(R) Platinum,2,1117,1679,2
81,Intel(R) Xeon(R) Platinum,2,1117,1686,2
82,Intel(R) Xeon(R) Platinum,2,1116,1681,2
83,Intel(R) Xeon(R) Platinum,2,1116,1689,2
84,Intel(R) Xeon(R) Platinum,2,1116,2217,2
85,Intel(R) Xeon(R) Platinum,2,1116,1686,2
86,Intel(R) Xeon(R) Platinum,2,1116,1680,2
87,Intel(R) Xeon(R) Platinum,4,1116,3342,4
88,Intel(R) Xeon(R) Platinum @2499.998 MHz,2,1116,1680,2
89,Intel(R) Xeon(R) Platinum,2,1116,1674,2
90,Intel(R) Xeon(R) Platinum,1,1116,1116,1
91,Intel(R) Xeon(R) Platinum,2,1116,2189,2
92,Intel(R) Xeon(R) Platinum,2,1116,1684,2
93,Intel(R) Xeon(R) Platinum,2,1116,1683,2
94,Intel(R) Xeon(R) Platinum,1,1116,1116,1
95,Intel(R) Xeon(R) Platinum,2,1116,1687,2
96,Intel(R) Xeon(R) Platinum,2,1116,1684,2
97,Intel(R) Xeon(R) Platinum,2,1116,1688,2
98,Intel(R) Xeon(R) Platinum,1,1116,1116,1
99,Intel(R) Xeon(R) Platinum,1,1116,1116,1
100,Intel(R) Xeon(R) Platinum,8,1116,6716,8
101,Intel(R) Xeon(R) Platinum,1,1116,1116,1
102,Intel(R) Xeon(R) Platinum,2,1116,1683,2
103,Intel(R) Xeon(R) Platinum,1,1116,1116,1
104,Intel(R) Xeon(R) Platinum,1,1116,1116,1
105,Intel(R) Xeon(R) Platinum,2,1116,1686,2
106,Intel(R) Xeon(R) Platinum,2,1116,1685,2
107,Intel(R) Xeon(R) Platinum,2,1116,1689,2
108,Intel(R) Xeon(R) Platinum,2,1115,1684,2
109,Intel(R) Xeon(R) Platinum,2,1115,1680,2
110,Intel(R) Xeon(R) Platinum,2,1115,1683,2
111,Intel(R) Xeon(R) Platinum,2,1115,1115,1
112,Intel(R) Xeon(R) Platinum,2,1115,1685,2
113,Intel(R) Xeon(R) Platinum @2499.998 MHz,2,1115,1686,2
114,Intel(R) Xeon(R) Platinum,2,1115,1664,2
115,Intel(R) Xeon(R) Platinum,1,1115,1115,1
116,Intel(R) Xeon(R) Platinum,2,1115,1691,2
117,Intel(R) Xeon(R) Platinum,2,1115,1682,2
118,Intel(R) Xeon(R) Platinum,2,1115,1681,2
119,Intel(R) Xeon(R) Platinum,2,1115,1673,2
120,Intel(R) Xeon(R) Platinum,2,1115,1681,2
121,Intel(R) Xeon(R) Platinum,4,1115,3351,4
122,Intel(R) Xeon(R) Platinum,4,1115,3325,4
123,Intel(R) Xeon(R) Platinum,1,1115,1115,1
124,Intel(R) Xeon(R) Platinum,2,1115,1690,2
125,Intel(R) Xeon(R) Platinum,1,1115,1115,1
126,Intel(R) Xeon(R) Platinum,2,1115,1682,2
127,Intel(R) Xeon(R) Platinum,1,1115,1115,1
128,Intel(R) Xeon(R) Platinum,2,1114,1677,2
129,Intel(R) Xeon(R) Platinum,2,1114,1683,2
130,Intel(R) Xeon(R) Platinum @ 2500.000 MHz,1,1114,1114,1
131,Intel(R) Xeon(R) Platinum,2,1114,1681,2
132,Intel(R) Xeon(R) Platinum,2,1114,1685,2
133,Intel(R) Xeon(R) Platinum,2,1114,1679,2
134,Intel(R) Xeon(R) Platinum,2,1114,1680,2
135,Intel(R) Xeon(R) Platinum,2,1114,1683,2
136,Intel(R) Xeon(R) Platinum,2,1114,1679,2
137,Intel(R) Xeon(R) Platinum,2,1114,1673,2
138,Intel(R) Xeon(R) Platinum,2,1114,1679,2
139,Intel(R) Xeon(R) Platinum,2,1114,1685,2
