排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,1,963,10214,16
2,Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,12,914,9491,12
3,Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,16,839,12416,16
4,Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,1,796,10744,16
5,Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,8,796,6338,8
6,Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,1,796,10741,16
7,Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,4,785,3100,4
8,Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,32,683,679,32
9,Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,1,676,683,16
10,Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,1,668,659,16
11,Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,1,667,672,16
12,Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,1,663,659,16
13,Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,1,612,614,16
