排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,40,1006,27399,40
2,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,2,822,25536,40
3,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,2,821,25381,40
4,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,40,661,17989,40
5,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,20,997,16381,20
6,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,20,893,14710,20
7,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,8,1008,8001,8
8,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,8,1002,7999,8
9,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,20,930,7108,20
10,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,4,1008,4024,4
11,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,4,958,3824,4
12,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,4,966,3804,4
13,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,4,935,3761,4
14,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,20,934,3738,20
15,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,20,930,3698,20
16,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,4,906,3523,4
17,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,4,758,3084,4
18,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,4,741,2851,4
19,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,2,1024,1956,2
20,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,2,959,1917,2
21,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,2,936,1817,2
22,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,1,922,922,1
23,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,1,906,906,1
24,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,1,904,904,1
25,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,1,904,904,1
26,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,1,901,901,1
27,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,1,891,891,1
28,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,1,887,887,1
29,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,1,879,879,1
30,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,1,876,876,1
31,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,1,871,871,1
32,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,1,856,856,1
33,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,1,853,853,1
34,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,1,832,832,1
35,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,1,827,827,1
36,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,1,823,823,1
37,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,1,822,822,1
38,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,1,822,822,1
39,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,1,809,809,1
40,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,1,807,807,1
41,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,1,796,796,1
42,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,1,794,794,1
43,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,1,784,784,1
44,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,1,745,745,1
45,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,1,720,720,1
46,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,1,591,591,1
