排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1417,30524,32
2,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1416,30333,32
3,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1416,30316,32
4,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1415,30281,32
5,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1415,30464,32
6,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1415,30352,32
7,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1415,30385,32
8,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1415,30578,32
9,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1414,30457,32
10,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1414,30182,32
11,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1414,29378,32
12,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1414,30366,32
13,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1414,30325,32
14,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1414,30353,32
15,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1414,30427,32
16,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1414,30333,32
17,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1414,30456,32
18,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1414,30269,32
19,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1413,30313,32
20,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1413,30528,32
21,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1413,30390,32
22,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1413,30192,32
23,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1413,30238,32
24,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1413,30143,32
25,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1413,30504,32
26,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1413,30355,32
27,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1413,30398,32
28,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1413,30379,32
29,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1413,30332,32
30,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1413,30194,32
31,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1413,29956,32
32,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1413,30113,32
33,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1413,30544,32
34,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1413,30355,32
35,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1413,30542,32
36,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1413,30342,32
37,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1413,30283,32
38,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1413,30264,32
39,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1412,30348,32
40,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1412,30509,32
41,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1412,29584,32
42,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1412,29856,32
43,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1412,30300,32
44,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1412,30499,32
45,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1412,30360,32
46,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1412,30231,32
47,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1412,30432,32
48,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1412,29264,32
49,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1412,30285,32
50,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1412,30368,32
51,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1412,30319,32
52,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1411,30217,32
53,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1411,30380,32
54,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1411,30405,32
55,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1411,30444,32
56,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1411,30275,32
57,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1411,30319,32
58,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1411,30559,32
59,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1411,30299,32
60,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1410,30449,32
61,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1410,30299,32
62,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1410,30350,32
63,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1410,30364,32
64,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1409,30358,32
65,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1409,30282,32
66,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1409,30275,32
67,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1408,30481,32
68,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1408,30459,32
69,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1408,30479,32
70,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1408,30469,32
71,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1408,30289,32
72,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1408,29986,32
73,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1408,30157,32
74,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1407,30375,32
75,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1407,30273,32
76,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1407,30210,32
77,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1406,30212,32
78,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1406,30473,32
79,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1405,30468,32
80,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1404,30469,32
81,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1403,30462,32
82,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1401,30210,32
83,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1401,29775,32
84,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1399,30216,32
85,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1399,30456,32
86,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1399,30530,32
87,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1398,30288,32
88,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1398,30235,32
89,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1396,30393,32
90,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1389,30465,32
91,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1388,30601,32
92,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1388,30231,32
93,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1387,29831,32
94,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1385,29862,32
95,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1383,29891,32
96,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1382,30419,32
97,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1381,30527,32
98,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1380,30056,32
99,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1380,29831,32
100,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1377,29914,32
101,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1376,30481,32
102,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,32,1373,30251,32
103,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,2,1365,30673,32
104,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,2,1364,30578,32
