排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) Silver 4416+,2,2863,5548,2
2,Intel(R) Xeon(R) Silver 4416+,2,2452,4934,2
3,Intel(R) Xeon(R) Silver 4416+,2,2439,4827,2
4,Intel(R) Xeon(R) Silver 4416+,2,2377,4763,2
5,Intel(R) Xeon(R) Silver 4416+,1,2501,2501,1
6,Intel(R) Xeon(R) Silver 4416+,1,2483,2483,1
7,Intel(R) Xeon(R) Silver 4416+,1,2479,2479,1
8,Intel(R) Xeon(R) Silver 4416+,1,2478,2478,1
9,Intel(R) Xeon(R) Silver 4416+,1,2474,2474,1
10,Intel(R) Xeon(R) Silver 4416+,1,2466,2466,1
11,Intel(R) Xeon(R) Silver 4416+,1,2459,2459,1
12,Intel(R) Xeon(R) Silver 4416+,1,2455,2455,1
13,Intel(R) Xeon(R) Silver 4416+,1,2449,2449,1
14,Intel(R) Xeon(R) Silver 4416+ @2000.000 MHz,1,2437,2437,1
15,Intel(R) Xeon(R) Silver 4416+,1,2437,2437,1
16,Intel(R) Xeon(R) Silver 4416+,1,2406,2406,1
17,Intel(R) Xeon(R) Silver 4416+,1,2399,2399,1
18,Intel(R) Xeon(R) Silver 4416+,1,2286,2286,1
19,Intel(R) Xeon(R) Silver 4416+,1,2103,2103,1
