排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,1,1475,19145,16
2,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,2,1421,2845,2
3,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,4,1416,5646,4
4,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,1,1391,1391,1
5,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,1,1365,1365,1
6,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,4,1358,5389,4
7,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,4,1349,5265,4
8,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,1,1336,1336,1
9,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,4,1336,5187,4
10,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,1,1331,1331,1
11,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,4,1325,5118,4
12,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,1,1316,1316,1
13,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,2,1287,2670,2
14,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,1,1278,1278,1
15,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,1,1265,1265,1
16,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,1,1256,1256,1
17,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,1,1251,1251,1
18,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,1,1248,1248,1
19,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,1,1234,1234,1
20,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,4,1211,3995,4
21,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,1,1183,1183,1
22,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,4,1170,3705,4
23,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,4,1170,4491,4
24,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,1,1156,1156,1
25,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,1,1143,1143,1
26,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,4,1124,3494,4
27,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,1,1120,1120,1
28,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,1,1110,1110,1
29,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,1,1103,1103,1
30,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,1,1091,1091,1
31,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,4,1049,3988,4
32,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,2,1038,1043,2
33,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,4,945,2050,4
34,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,1,930,930,1
35,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,4,850,1415,4
36,Intel(R) Xeon(R) W-2145 CPU @ 3.70GHz,4,825,2007,4
