排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel Atom Processor (SnowRidge),4,3886,14592,4
2,Intel Atom Processor (SnowRidge),1,3862,3862,1
3,Intel Atom Processor (SnowRidge),2,2801,3727,2
4,Intel Atom Processor (SnowRidge),1,3509,3509,1
5,Intel Atom Processor (SnowRidge),1,3493,3493,1
6,Intel Atom Processor (SnowRidge),1,3490,3490,1
7,Intel Atom Processor (SnowRidge),1,3450,3450,1
8,Intel Atom Processor (SnowRidge),1,3422,3422,1
9,Intel Atom Processor (SnowRidge),1,3409,3409,1
10,Intel Atom Processor (SnowRidge),1,3311,3311,1
11,Intel Atom Processor (SnowRidge),1,3303,3303,1
12,Intel Atom Processor (SnowRidge),1,3228,3228,1
13,Intel Atom Processor (SnowRidge),1,3224,3224,1
14,Intel Atom Processor (SnowRidge),1,3197,3197,1
15,Intel Atom Processor (SnowRidge),1,3175,3175,1
16,Intel Atom Processor (SnowRidge),1,3175,3175,1
17,Intel Atom Processor (SnowRidge),1,3165,3165,1
18,Intel Atom Processor (SnowRidge),1,3130,3130,1
19,Intel Atom Processor (SnowRidge),1,3051,3051,1
20,Intel Atom Processor (SnowRidge),1,3036,3036,1
21,Intel Atom Processor (SnowRidge),1,3020,3020,1
22,Intel Atom Processor (SnowRidge),1,3007,3007,1
23,Intel Atom Processor (SnowRidge),1,2997,2997,1
24,Intel Atom Processor (SnowRidge),1,2990,2990,1
25,Intel Atom Processor (SnowRidge),1,2959,2959,1
26,Intel Atom Processor (SnowRidge),1,2946,2946,1
27,Intel Atom Processor (SnowRidge),1,2924,2924,1
28,Intel Atom Processor (SnowRidge),1,2920,2920,1
29,Intel Atom Processor (SnowRidge),1,2903,2903,1
30,Intel Atom Processor (SnowRidge),1,2885,2885,1
31,Intel Atom Processor (SnowRidge),1,2824,2824,1
32,Intel Atom Processor (SnowRidge),1,2786,2786,1
33,Intel Atom Processor (SnowRidge),1,2764,2764,1
34,Intel Atom Processor (SnowRidge),1,2744,2744,1
35,Intel Atom Processor (SnowRidge),1,2722,2722,1
36,Intel Atom Processor (SnowRidge),1,2672,2672,1
37,Intel Atom Processor (SnowRidge),1,2612,2612,1
38,Intel Atom Processor (SnowRidge),1,2595,2595,1
39,Intel Atom Processor (SnowRidge),1,2588,2588,1
40,Intel Atom Processor (SnowRidge),1,2515,2515,1
41,Intel Atom Processor (SnowRidge),1,2434,2434,1
42,Intel Atom Processor (SnowRidge),1,2426,2426,1
43,Intel Atom Processor (SnowRidge),1,2360,2360,1
44,Intel Atom Processor (SnowRidge),1,2351,2351,1
45,Intel Atom Processor (SnowRidge),1,2257,2257,1
46,Intel Atom Processor (SnowRidge),1,2186,2186,1
47,Intel Atom Processor (SnowRidge),1,2177,2177,1
48,Intel Atom Processor (SnowRidge),1,2161,2161,1
49,Intel Atom Processor (SnowRidge),1,2043,2043,1
50,Intel Atom Processor (SnowRidge),1,2008,2008,1
51,Intel Atom Processor (SnowRidge),1,1933,1933,1
52,Intel Atom Processor (SnowRidge),1,1929,1929,1
53,Intel Atom Processor (SnowRidge),1,1843,1843,1
54,Intel Atom Processor (SnowRidge),1,1811,1811,1
55,Intel Atom Processor (SnowRidge),1,1766,1766,1
56,Intel Atom Processor (SnowRidge),1,1760,1760,1
57,Intel Atom Processor (SnowRidge),1,1727,1727,1
58,Intel Atom Processor (SnowRidge),1,1502,1502,1
59,Intel Atom Processor (SnowRidge),1,1436,1436,1
60,Intel Atom Processor (SnowRidge),1,1342,1342,1
61,Intel Atom Processor (SnowRidge),1,1305,1305,1
62,Intel Atom Processor (SnowRidge),1,1206,1206,1
63,Intel Atom Processor (SnowRidge),1,1082,1082,1
64,Intel Atom Processor (SnowRidge),1,861,861,1
