排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel Core Processor (Broadwell),8,2377,16632,8
2,Intel Core Processor (Broadwell),12,992,11762,12
3,Intel Core Processor (Broadwell),6,817,4904,6
4,Intel Core Processor (Broadwell),4,979,3865,4
5,Intel Core Processor (Broadwell),4,907,3851,4
6,Intel Core Processor (Broadwell),4,983,3819,4
7,Intel Core Processor (Broadwell),4,932,3726,4
8,Intel Core Processor (Broadwell),4,930,3724,4
9,Intel Core Processor (Broadwell),4,927,3723,4
10,Intel Core Processor (Broadwell),4,933,3720,4
11,Intel Core Processor (Broadwell),4,926,3719,4
12,Intel Core Processor (Broadwell),4,933,3712,4
13,Intel Core Processor (Broadwell),4,929,3706,4
14,Intel Core Processor (Broadwell),4,737,3340,4
15,Intel Core Processor (Broadwell),4,822,3326,4
16,Intel Core Processor (Broadwell),4,837,3307,4
17,Intel Core Processor (Broadwell),4,797,3141,4
18,Intel Core Processor (Broadwell),4,790,3118,4
19,Intel Core Processor (Broadwell),4,825,3113,4
20,Intel Core Processor (Broadwell),3,1050,3016,3
21,Intel Core Processor (Broadwell),3,1003,2988,3
22,Intel Core Processor (Broadwell),3,1001,2982,3
23,Intel Core Processor (Broadwell),3,986,2965,3
24,Intel Core Processor (Broadwell),3,992,2942,3
25,Intel Core Processor (Broadwell),3,945,2913,3
26,Intel Core Processor (Broadwell),3,762,2892,3
27,Intel Core Processor (Broadwell),3,941,2872,3
28,Intel Core Processor (Broadwell),3,983,2868,3
29,Intel Core Processor (Broadwell),3,967,2861,3
30,Intel Core Processor (Broadwell),3,909,2856,3
31,Intel Core Processor (Broadwell),3,958,2831,3
32,Intel Core Processor (Broadwell),3,936,2828,3
33,Intel Core Processor (Broadwell),3,916,2789,3
34,Intel Core Processor (Broadwell),3,923,2780,3
35,Intel Core Processor (Broadwell),3,891,2773,3
36,Intel Core Processor (Broadwell),3,917,2762,3
37,Intel Core Processor (Broadwell),3,936,2755,3
38,Intel Core Processor (Broadwell),3,912,2753,3
39,Intel Core Processor (Broadwell),3,917,2744,3
40,Intel Core Processor (Broadwell),3,896,2725,3
41,Intel Core Processor (Broadwell),3,895,2717,3
42,Intel Core Processor (Broadwell),3,907,2717,3
43,Intel Core Processor (Broadwell),3,892,2698,3
44,Intel Core Processor (Broadwell),3,901,2695,3
45,Intel Core Processor (Broadwell),3,896,2694,3
46,Intel Core Processor (Broadwell),3,882,2694,3
47,Intel Core Processor (Broadwell),3,875,2672,3
48,Intel Core Processor (Broadwell),3,820,2670,3
49,Intel Core Processor (Broadwell),3,913,2663,3
50,Intel Core Processor (Broadwell),3,870,2657,3
51,Intel Core Processor (Broadwell),3,878,2654,3
52,Intel Core Processor (Broadwell),3,884,2630,3
53,Intel Core Processor (Broadwell),3,875,2622,3
54,Intel Core Processor (Broadwell),3,907,2620,3
55,Intel Core Processor (Broadwell),3,902,2617,3
56,Intel Core Processor (Broadwell),3,860,2616,3
57,Intel Core Processor (Broadwell),3,848,2609,3
58,Intel Core Processor (Broadwell),3,859,2603,3
59,Intel Core Processor (Broadwell),3,822,2598,3
60,Intel Core Processor (Broadwell),3,913,2585,3
61,Intel Core Processor (Broadwell),3,806,2582,3
62,Intel Core Processor (Broadwell),3,820,2571,3
63,Intel Core Processor (Broadwell),3,793,2570,3
64,Intel Core Processor (Broadwell),3,830,2566,3
65,Intel Core Processor (Broadwell),3,835,2560,3
66,Intel Core Processor (Broadwell),3,868,2557,3
67,Intel Core Processor (Broadwell),3,841,2555,3
68,Intel Core Processor (Broadwell),3,901,2550,3
69,Intel Core Processor (Broadwell),3,807,2550,3
70,Intel Core Processor (Broadwell),3,851,2547,3
71,Intel Core Processor (Broadwell),3,843,2529,3
72,Intel Core Processor (Broadwell),3,874,2527,3
