排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,"Intel Core Processor (Broadwell, IBRS)",32,771,23255,32
2,"Intel Core Processor (Broadwell, IBRS)",20,875,17445,20
3,"Intel Core Processor (Broadwell, IBRS)",20,875,17265,20
4,"Intel Core Processor (Broadwell, IBRS)",20,888,16980,20
5,"Intel Core Processor (Broadwell, IBRS)",20,873,16966,20
6,"Intel Core Processor (Broadwell, IBRS)",16,1127,16874,16
7,"Intel Core Processor (Broadwell, IBRS)",20,829,15668,20
8,"Intel Core Processor (Broadwell, IBRS)",20,753,14648,20
9,"Intel Core Processor (Broadwell, IBRS)",20,904,14575,20
10,"Intel Core Processor (Broadwell, IBRS)",16,914,13981,16
11,"Intel Core Processor (Broadwell, IBRS)",20,775,13936,20
12,"Intel Core Processor (Broadwell, IBRS)",20,671,13810,20
13,"Intel Core Processor (Broadwell, IBRS)",16,840,13495,16
14,"Intel Core Processor (Broadwell, IBRS)",16,853,13474,16
15,"Intel Core Processor (Broadwell, IBRS)",16,831,13468,16
16,"Intel Core Processor (Broadwell, IBRS)",16,832,13455,16
17,"Intel Core Processor (Broadwell, IBRS)",16,838,13416,16
18,"Intel Core Processor (Broadwell, IBRS)",16,850,13406,16
19,"Intel Core Processor (Broadwell, IBRS)",20,760,13371,20
20,"Intel Core Processor (Broadwell, IBRS)",16,835,13367,16
21,"Intel Core Processor (Broadwell, IBRS)",16,850,13351,16
22,"Intel Core Processor (Broadwell, IBRS)",20,753,13281,20
23,"Intel Core Processor (Broadwell, IBRS)",16,824,13258,16
24,"Intel Core Processor (Broadwell, IBRS)",20,730,13127,20
25,"Intel Core Processor (Broadwell, IBRS)",20,721,13074,20
26,"Intel Core Processor (Broadwell, IBRS)",16,825,12985,16
27,"Intel Core Processor (Broadwell, IBRS)",20,764,12844,20
28,"Intel Core Processor (Broadwell, IBRS)",20,729,12831,20
29,"Intel Core Processor (Broadwell, IBRS)",16,807,12697,16
30,"Intel Core Processor (Broadwell, IBRS)",16,857,12679,16
31,"Intel Core Processor (Broadwell, IBRS)",16,800,12621,16
32,"Intel Core Processor (Broadwell, IBRS)",16,797,12592,16
33,"Intel Core Processor (Broadwell, IBRS)",16,789,12339,16
34,"Intel Core Processor (Broadwell, IBRS)",16,801,12298,16
35,"Intel Core Processor (Broadwell, IBRS)",16,800,12264,16
36,"Intel Core Processor (Broadwell, IBRS)",16,769,12179,16
37,"Intel Core Processor (Broadwell, IBRS)",16,767,12135,16
38,"Intel Core Processor (Broadwell, IBRS)",16,801,12099,16
39,"Intel Core Processor (Broadwell, IBRS)",16,746,12009,16
40,"Intel Core Processor (Broadwell, IBRS)",20,631,11994,20
41,"Intel Core Processor (Broadwell, IBRS)",16,803,11986,16
42,"Intel Core Processor (Broadwell, IBRS)",16,763,11957,16
43,"Intel Core Processor (Broadwell, IBRS)",16,754,11928,16
44,"Intel Core Processor (Broadwell, IBRS)",16,804,11924,16
45,"Intel Core Processor (Broadwell, IBRS)",16,753,11844,16
46,"Intel Core Processor (Broadwell, IBRS)",16,758,11786,16
47,"Intel Core Processor (Broadwell, IBRS)",16,758,11778,16
48,"Intel Core Processor (Broadwell, IBRS)",16,754,11698,16
49,"Intel Core Processor (Broadwell, IBRS)",16,759,11669,16
50,"Intel Core Processor (Broadwell, IBRS)",16,853,11634,16
51,"Intel Core Processor (Broadwell, IBRS)",16,779,11444,16
52,"Intel Core Processor (Broadwell, IBRS)",16,740,11283,16
53,"Intel Core Processor (Broadwell, IBRS)",20,648,11247,20
54,"Intel Core Processor (Broadwell, IBRS)",16,731,11193,16
55,"Intel Core Processor (Broadwell, IBRS)",16,754,11165,16
56,"Intel Core Processor (Broadwell, IBRS)",16,748,11156,16
57,"Intel Core Processor (Broadwell, IBRS)",16,736,11128,16
58,"Intel Core Processor (Broadwell, IBRS)",20,655,11126,20
59,"Intel Core Processor (Broadwell, IBRS)",16,757,11061,16
60,"Intel Core Processor (Broadwell, IBRS)",16,766,11031,16
61,"Intel Core Processor (Broadwell, IBRS)",16,758,10974,16
62,"Intel Core Processor (Broadwell, IBRS)",16,726,10900,16
63,"Intel Core Processor (Broadwell, IBRS)",16,639,10887,16
64,"Intel Core Processor (Broadwell, IBRS)",20,649,10868,20
65,"Intel Core Processor (Broadwell, IBRS)",16,693,10861,16
66,"Intel Core Processor (Broadwell, IBRS)",16,731,10795,16
67,"Intel Core Processor (Broadwell, IBRS)",16,724,10784,16
68,"Intel Core Processor (Broadwell, IBRS)",16,739,10783,16
69,"Intel Core Processor (Broadwell, IBRS)",16,619,10769,16
70,"Intel Core Processor (Broadwell, IBRS)",16,752,10766,16
71,"Intel Core Processor (Broadwell, IBRS)",16,647,10764,16
72,"Intel Core Processor (Broadwell, IBRS)",16,609,10758,16
73,"Intel Core Processor (Broadwell, IBRS)",16,637,10744,16
74,"Intel Core Processor (Broadwell, IBRS)",16,646,10714,16
75,"Intel Core Processor (Broadwell, IBRS)",16,723,10687,16
76,"Intel Core Processor (Broadwell, IBRS)",12,882,10634,12
77,"Intel Core Processor (Broadwell, IBRS)",12,871,10546,12
78,"Intel Core Processor (Broadwell, IBRS)",20,755,10545,20
79,"Intel Core Processor (Broadwell, IBRS)",16,660,10532,16
80,"Intel Core Processor (Broadwell, IBRS)",16,694,10517,16
81,"Intel Core Processor (Broadwell, IBRS)",12,910,10502,12
82,"Intel Core Processor (Broadwell, IBRS)",16,615,10481,16
83,"Intel Core Processor (Broadwell, IBRS)",16,683,10466,16
84,"Intel Core Processor (Broadwell, IBRS)",16,636,10397,16
85,"Intel Core Processor (Broadwell, IBRS)",16,733,10237,16
86,"Intel Core Processor (Broadwell, IBRS)",12,895,10219,12
87,"Intel Core Processor (Broadwell, IBRS)",16,646,10187,16
88,"Intel Core Processor (Broadwell, IBRS)",12,873,10174,12
89,"Intel Core Processor (Broadwell, IBRS)",12,831,10165,12
90,"Intel Core Processor (Broadwell, IBRS)",12,866,10148,12
91,"Intel Core Processor (Broadwell, IBRS)",12,895,10112,12
92,"Intel Core Processor (Broadwell, IBRS)",12,822,10090,12
93,"Intel Core Processor (Broadwell, IBRS)",16,682,10089,16
94,"Intel Core Processor (Broadwell, IBRS)",16,671,10081,16
95,"Intel Core Processor (Broadwell, IBRS)",12,827,10074,12
96,"Intel Core Processor (Broadwell, IBRS)",12,843,10065,12
97,"Intel Core Processor (Broadwell, IBRS)",12,824,10054,12
98,"Intel Core Processor (Broadwell, IBRS)",12,843,10042,12
99,"Intel Core Processor (Broadwell, IBRS)",12,809,10030,12
100,"Intel Core Processor (Broadwell, IBRS)",16,734,10003,16
101,"Intel Core Processor (Broadwell, IBRS)",16,623,10001,16
102,"Intel Core Processor (Broadwell, IBRS)",12,826,9995,12
103,"Intel Core Processor (Broadwell, IBRS)",12,847,9901,12
104,"Intel Core Processor (Broadwell, IBRS)",16,726,9852,16
105,"Intel Core Processor (Broadwell, IBRS)",16,725,9775,16
106,"Intel Core Processor (Broadwell, IBRS)",16,737,9651,16
107,"Intel Core Processor (Broadwell, IBRS)",12,859,9647,12
108,"Intel Core Processor (Broadwell, IBRS)",16,596,9566,16
109,"Intel Core Processor (Broadwell, IBRS)",16,681,9532,16
110,"Intel Core Processor (Broadwell, IBRS)",16,639,9501,16
111,"Intel Core Processor (Broadwell, IBRS)",24,775,9431,24
112,"Intel Core Processor (Broadwell, IBRS)",20,711,9404,20
113,"Intel Core Processor (Broadwell, IBRS)",12,780,9350,12
114,"Intel Core Processor (Broadwell, IBRS)",12,792,9341,12
115,"Intel Core Processor (Broadwell, IBRS)",16,709,9288,16
116,"Intel Core Processor (Broadwell, IBRS)",16,753,9270,16
117,"Intel Core Processor (Broadwell, IBRS)",12,800,9165,12
118,"Intel Core Processor (Broadwell, IBRS)",16,656,9156,16
119,"Intel Core Processor (Broadwell, IBRS)",16,681,9147,16
120,"Intel Core Processor (Broadwell, IBRS)",12,760,9055,12
121,"Intel Core Processor (Broadwell, IBRS)",16,602,9034,16
122,"Intel Core Processor (Broadwell, IBRS)",12,749,8990,12
123,"Intel Core Processor (Broadwell, IBRS)",12,714,8981,12
124,"Intel Core Processor (Broadwell, IBRS)",16,665,8964,16
125,"Intel Core Processor (Broadwell, IBRS)",16,570,8946,16
126,"Intel Core Processor (Broadwell, IBRS)",12,758,8862,12
127,"Intel Core Processor (Broadwell, IBRS)",16,641,8837,16
128,"Intel Core Processor (Broadwell, IBRS)",16,683,8800,16
129,"Intel Core Processor (Broadwell, IBRS)",12,790,8741,12
130,"Intel Core Processor (Broadwell, IBRS)",16,633,8717,16
131,"Intel Core Processor (Broadwell, IBRS)",16,660,8674,16
132,"Intel Core Processor (Broadwell, IBRS)",8,1095,8529,8
133,"Intel Core Processor (Broadwell, IBRS)",16,659,8446,16
134,"Intel Core Processor (Broadwell, IBRS)",16,649,8426,16
135,"Intel Core Processor (Broadwell, IBRS)",12,740,8412,12
136,"Intel Core Processor (Broadwell, IBRS)",12,717,8405,12
