排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,"Intel Core Processor (Broadwell, IBRS)",4,1176,4287,4
2,"Intel Core Processor (Broadwell, IBRS)",3,1171,3322,3
3,"Intel Core Processor (Broadwell, IBRS)",1,1164,1164,1
4,"Intel Core Processor (Broadwell, IBRS)",2,1136,2229,2
5,"Intel Core Processor (Broadwell, IBRS)",1,1127,1127,1
6,"Intel Core Processor (Broadwell, IBRS)",16,1127,16874,16
7,"Intel Core Processor (Broadwell, IBRS)",1,1107,1107,1
8,"Intel Core Processor (Broadwell, IBRS)",8,1095,8529,8
9,"Intel Core Processor (Broadwell, IBRS)",1,1093,1093,1
10,"Intel Core Processor (Broadwell, IBRS)",2,1091,2207,2
11,"Intel Core Processor (Broadwell, IBRS)",4,1090,4129,4
12,"Intel Core Processor (Broadwell, IBRS) @ 2596.990 MHz",2,1089,2169,2
13,"Intel Core Processor (Broadwell, IBRS)",1,1089,1089,1
14,"Intel Core Processor (Broadwell, IBRS)",1,1088,1088,1
15,"Intel Core Processor (Broadwell, IBRS)",1,1080,1080,1
16,"Intel Core Processor (Broadwell, IBRS)",2,1080,2071,2
17,"Intel Core Processor (Broadwell, IBRS)",1,1080,1080,1
18,"Intel Core Processor (Broadwell, IBRS)",1,1078,1078,1
19,"Intel Core Processor (Broadwell, IBRS)",1,1074,1074,1
20,"Intel Core Processor (Broadwell, IBRS)",1,1070,1070,1
21,"Intel Core Processor (Broadwell, IBRS)",4,1070,4077,4
22,"Intel Core Processor (Broadwell, IBRS)",1,1067,1067,1
23,"Intel Core Processor (Broadwell, IBRS)",1,1063,1063,1
24,"Intel Core Processor (Broadwell, IBRS)",2,1062,2101,2
25,"Intel Core Processor (Broadwell, IBRS)",1,1062,1062,1
26,"Intel Core Processor (Broadwell, IBRS)",1,1062,1062,1
27,"Intel Core Processor (Broadwell, IBRS)",1,1060,1060,1
28,"Intel Core Processor (Broadwell, IBRS)",2,1057,2072,2
29,"Intel Core Processor (Broadwell, IBRS)",1,1057,1057,1
30,"Intel Core Processor (Broadwell, IBRS)",2,1055,2069,2
31,"Intel Core Processor (Broadwell, IBRS)",8,1054,7263,8
32,"Intel Core Processor (Broadwell, IBRS)",1,1054,1054,1
33,"Intel Core Processor (Broadwell, IBRS)",1,1054,1054,1
34,"Intel Core Processor (Broadwell, IBRS)",2,1052,2086,2
35,"Intel Core Processor (Broadwell, IBRS)",1,1051,1051,1
36,"Intel Core Processor (Broadwell, IBRS)",2,1050,2107,2
37,"Intel Core Processor (Broadwell, IBRS)",3,1048,3134,3
38,"Intel Core Processor (Broadwell, IBRS)",1,1048,1048,1
39,"Intel Core Processor (Broadwell, IBRS)",3,1048,3168,3
40,"Intel Core Processor (Broadwell, IBRS)",1,1048,1048,1
41,"Intel Core Processor (Broadwell, IBRS)",1,1047,1047,1
42,"Intel Core Processor (Broadwell, IBRS)",2,1046,2023,2
43,"Intel Core Processor (Broadwell, IBRS)",1,1044,1044,1
44,"Intel Core Processor (Broadwell, IBRS)",1,1044,1044,1
45,"Intel Core Processor (Broadwell, IBRS)",1,1044,1044,1
46,"Intel Core Processor (Broadwell, IBRS)",1,1041,1041,1
47,"Intel Core Processor (Broadwell, IBRS)",2,1041,2080,2
48,"Intel Core Processor (Broadwell, IBRS)",1,1040,1040,1
49,"Intel Core Processor (Broadwell, IBRS)",1,1040,1040,1
50,"Intel Core Processor (Broadwell, IBRS)",1,1040,1040,1
51,"Intel Core Processor (Broadwell, IBRS)",2,1039,2049,2
52,"Intel Core Processor (Broadwell, IBRS)",2,1039,2068,2
53,"Intel Core Processor (Broadwell, IBRS)",1,1039,1039,1
54,"Intel Core Processor (Broadwell, IBRS)",1,1038,1038,1
55,"Intel Core Processor (Broadwell, IBRS)",1,1038,1038,1
56,"Intel Core Processor (Broadwell, IBRS)",2,1038,2033,2
57,"Intel Core Processor (Broadwell, IBRS)",1,1038,1038,1
58,"Intel Core Processor (Broadwell, IBRS)",2,1038,2026,2
59,"Intel Core Processor (Broadwell, IBRS)",1,1038,1038,1
60,"Intel Core Processor (Broadwell, IBRS)",2,1037,1995,2
61,"Intel Core Processor (Broadwell, IBRS)",1,1037,1037,1
62,"Intel Core Processor (Broadwell, IBRS)",1,1037,1037,1
63,"Intel Core Processor (Broadwell, IBRS)",1,1036,1036,1
64,"Intel Core Processor (Broadwell, IBRS)",2,1036,2088,2
65,"Intel Core Processor (Broadwell, IBRS) @ 2593.992 MHz",2,1035,2074,2
66,"Intel Core Processor (Broadwell, IBRS)",1,1035,1035,1
67,"Intel Core Processor (Broadwell, IBRS)",1,1035,1035,1
68,"Intel Core Processor (Broadwell, IBRS)",1,1035,1035,1
69,"Intel Core Processor (Broadwell, IBRS) @ 2593.992 MHz",1,1035,1035,1
70,"Intel Core Processor (Broadwell, IBRS)",1,1035,1035,1
71,"Intel Core Processor (Broadwell, IBRS)",1,1034,1034,1
72,"Intel Core Processor (Broadwell, IBRS)",1,1033,1033,1
73,"Intel Core Processor (Broadwell, IBRS)",2,1032,2044,2
74,"Intel Core Processor (Broadwell, IBRS)",1,1032,1032,1
75,"Intel Core Processor (Broadwell, IBRS)",3,1032,3049,3
76,"Intel Core Processor (Broadwell, IBRS)",1,1032,1032,1
77,"Intel Core Processor (Broadwell, IBRS)",1,1031,1031,1
78,"Intel Core Processor (Broadwell, IBRS)",1,1031,1031,1
79,"Intel Core Processor (Broadwell, IBRS)",1,1031,1031,1
80,"Intel Core Processor (Broadwell, IBRS)",2,1030,1974,2
81,"Intel Core Processor (Broadwell, IBRS)",1,1030,1030,1
82,"Intel Core Processor (Broadwell, IBRS)",3,1030,3080,3
83,"Intel Core Processor (Broadwell, IBRS)",1,1028,1028,1
84,"Intel Core Processor (Broadwell, IBRS)",1,1028,1028,1
85,"Intel Core Processor (Broadwell, IBRS)",1,1028,1028,1
86,"Intel Core Processor (Broadwell, IBRS) @2593.992 MHz",1,1027,1027,1
87,"Intel Core Processor (Broadwell, IBRS)",2,1027,2024,2
88,"Intel Core Processor (Broadwell, IBRS)",3,1026,3136,3
89,"Intel Core Processor (Broadwell, IBRS)",2,1026,2046,2
90,"Intel Core Processor (Broadwell, IBRS)",1,1026,1026,1
91,"Intel Core Processor (Broadwell, IBRS)",2,1026,1985,2
92,"Intel Core Processor (Broadwell, IBRS)",1,1026,1026,1
93,"Intel Core Processor (Broadwell, IBRS)",1,1025,1025,1
94,"Intel Core Processor (Broadwell, IBRS)",2,1025,2011,2
95,"Intel Core Processor (Broadwell, IBRS)",1,1024,1024,1
96,"Intel Core Processor (Broadwell, IBRS)",1,1023,1023,1
97,"Intel Core Processor (Broadwell, IBRS)",2,1022,2025,2
98,"Intel Core Processor (Broadwell, IBRS)",2,1022,1964,2
