排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,"Intel Core Processor (Broadwell, no TSX)",8,835,6660,8
2,"Intel Core Processor (Broadwell, no TSX)",8,834,6608,8
3,"Intel Core Processor (Broadwell, no TSX)",8,831,6570,8
4,"Intel Core Processor (Broadwell, no TSX)",8,830,6550,8
5,"Intel Core Processor (Broadwell, no TSX)",8,827,5623,8
6,"Intel Core Processor (Broadwell, no TSX)",4,833,3327,4
7,"Intel Core Processor (Broadwell, no TSX)",4,640,2709,4
8,"Intel Core Processor (Broadwell, no TSX)",4,601,2130,4
9,"Intel Core Processor (Broadwell, no TSX)",2,817,1672,2
10,"Intel Core Processor (Broadwell, no TSX)",2,852,1672,2
11,"Intel Core Processor (Broadwell, no TSX)",2,837,1670,2
12,"Intel Core Processor (Broadwell, no TSX)",2,832,1669,2
13,"Intel Core Processor (Broadwell, no TSX)",2,831,1667,2
14,"Intel Core Processor (Broadwell, no TSX)",2,820,1667,2
15,"Intel Core Processor (Broadwell, no TSX)",2,819,1666,2
16,"Intel Core Processor (Broadwell, no TSX)",2,836,1665,2
17,"Intel Core Processor (Broadwell, no TSX)",2,816,1664,2
18,"Intel Core Processor (Broadwell, no TSX)",2,847,1663,2
19,"Intel Core Processor (Broadwell, no TSX)",2,827,1663,2
20,"Intel Core Processor (Broadwell, no TSX)",2,826,1662,2
21,"Intel Core Processor (Broadwell, no TSX)",2,838,1659,2
22,"Intel Core Processor (Broadwell, no TSX)",2,841,1653,2
23,"Intel Core Processor (Broadwell, no TSX)",2,833,1651,2
24,"Intel Core Processor (Broadwell, no TSX)",2,836,1651,2
25,"Intel Core Processor (Broadwell, no TSX)",2,816,1645,2
26,"Intel Core Processor (Broadwell, no TSX)",2,828,1642,2
27,"Intel Core Processor (Broadwell, no TSX)",2,840,1642,2
28,"Intel Core Processor (Broadwell, no TSX)",2,828,1637,2
29,"Intel Core Processor (Broadwell, no TSX)",2,826,1634,2
30,"Intel Core Processor (Broadwell, no TSX)",2,831,1633,2
31,"Intel Core Processor (Broadwell, no TSX)",2,819,1632,2
32,"Intel Core Processor (Broadwell, no TSX)",2,839,1632,2
33,"Intel Core Processor (Broadwell, no TSX)",2,807,1630,2
34,"Intel Core Processor (Broadwell, no TSX)",2,836,1630,2
35,"Intel Core Processor (Broadwell, no TSX)",2,830,1628,2
36,"Intel Core Processor (Broadwell, no TSX)",2,825,1624,2
37,"Intel Core Processor (Broadwell, no TSX)",2,831,1621,2
38,"Intel Core Processor (Broadwell, no TSX)",2,818,1621,2
39,"Intel Core Processor (Broadwell, no TSX)",2,830,1619,2
40,"Intel Core Processor (Broadwell, no TSX)",2,822,1615,2
41,"Intel Core Processor (Broadwell, no TSX)",2,813,1612,2
42,"Intel Core Processor (Broadwell, no TSX)",2,848,1611,2
43,"Intel Core Processor (Broadwell, no TSX)",2,839,1610,2
44,"Intel Core Processor (Broadwell, no TSX)",2,809,1610,2
45,"Intel Core Processor (Broadwell, no TSX)",2,825,1604,2
46,"Intel Core Processor (Broadwell, no TSX)",2,797,1603,2
47,"Intel Core Processor (Broadwell, no TSX)",2,797,1602,2
48,"Intel Core Processor (Broadwell, no TSX)",2,793,1600,2
49,"Intel Core Processor (Broadwell, no TSX)",2,800,1600,2
50,"Intel Core Processor (Broadwell, no TSX)",2,816,1600,2
51,"Intel Core Processor (Broadwell, no TSX)",2,796,1599,2
52,"Intel Core Processor (Broadwell, no TSX)",2,792,1598,2
53,"Intel Core Processor (Broadwell, no TSX)",2,825,1597,2
54,"Intel Core Processor (Broadwell, no TSX)",2,814,1597,2
55,"Intel Core Processor (Broadwell, no TSX)",2,793,1596,2
56,"Intel Core Processor (Broadwell, no TSX)",2,798,1594,2
57,"Intel Core Processor (Broadwell, no TSX)",2,794,1593,2
58,"Intel Core Processor (Broadwell, no TSX)",2,792,1588,2
59,"Intel Core Processor (Broadwell, no TSX)",2,785,1588,2
60,"Intel Core Processor (Broadwell, no TSX)",2,803,1584,2
61,"Intel Core Processor (Broadwell, no TSX)",2,808,1584,2
62,"Intel Core Processor (Broadwell, no TSX)",2,797,1583,2
63,"Intel Core Processor (Broadwell, no TSX)",2,791,1582,2
64,"Intel Core Processor (Broadwell, no TSX)",2,797,1581,2
65,"Intel Core Processor (Broadwell, no TSX)",2,798,1580,2
66,"Intel Core Processor (Broadwell, no TSX)",2,793,1576,2
67,"Intel Core Processor (Broadwell, no TSX)",2,791,1573,2
68,"Intel Core Processor (Broadwell, no TSX)",2,796,1573,2
69,"Intel Core Processor (Broadwell, no TSX)",2,792,1572,2
70,"Intel Core Processor (Broadwell, no TSX)",2,779,1571,2
71,"Intel Core Processor (Broadwell, no TSX)",2,811,1570,2
72,"Intel Core Processor (Broadwell, no TSX)",2,796,1568,2
73,"Intel Core Processor (Broadwell, no TSX)",2,807,1565,2
74,"Intel Core Processor (Broadwell, no TSX)",2,793,1563,2
75,"Intel Core Processor (Broadwell, no TSX)",2,785,1561,2
76,"Intel Core Processor (Broadwell, no TSX)",2,777,1560,2
77,"Intel Core Processor (Broadwell, no TSX)",2,765,1559,2
78,"Intel Core Processor (Broadwell, no TSX)",2,777,1553,2
79,"Intel Core Processor (Broadwell, no TSX)",2,791,1552,2
80,"Intel Core Processor (Broadwell, no TSX)",2,792,1550,2
81,"Intel Core Processor (Broadwell, no TSX)",2,796,1548,2
82,"Intel Core Processor (Broadwell, no TSX)",2,763,1544,2
83,"Intel Core Processor (Broadwell, no TSX)",2,793,1543,2
84,"Intel Core Processor (Broadwell, no TSX)",2,786,1541,2
85,"Intel Core Processor (Broadwell, no TSX)",2,772,1539,2
86,"Intel Core Processor (Broadwell, no TSX)",2,773,1532,2
87,"Intel Core Processor (Broadwell, no TSX)",2,760,1529,2
88,"Intel Core Processor (Broadwell, no TSX)",2,795,1527,2
89,"Intel Core Processor (Broadwell, no TSX)",2,780,1516,2
90,"Intel Core Processor (Broadwell, no TSX)",2,832,1509,2
91,"Intel Core Processor (Broadwell, no TSX)",2,801,1475,2
92,"Intel Core Processor (Broadwell, no TSX)",2,746,1450,2
93,"Intel Core Processor (Broadwell, no TSX)",2,830,1446,2
94,"Intel Core Processor (Broadwell, no TSX)",2,719,1307,2
95,"Intel Core Processor (Broadwell, no TSX)",2,725,1303,2
96,"Intel Core Processor (Broadwell, no TSX)",2,815,986,2
97,"Intel Core Processor (Broadwell, no TSX)",2,750,759,2
98,"Intel Core Processor (Broadwell, no TSX)",1,725,720,8
99,"Intel Core Processor (Broadwell, no TSX)",1,655,642,8
100,"Intel Core Processor (Broadwell, no TSX)",2,406,434,2
