排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,"Intel Core Processor (Broadwell, no TSX)",1,1090,1090,1
2,"Intel Core Processor (Broadwell, no TSX) @ 2095.008 MHz",1,918,918,1
3,"Intel Core Processor (Broadwell, no TSX)",1,906,906,1
4,"Intel Core Processor (Broadwell, no TSX)",1,893,893,1
5,"Intel Core Processor (Broadwell, no TSX)",1,887,887,1
6,"Intel Core Processor (Broadwell, no TSX)",1,884,884,1
7,"Intel Core Processor (Broadwell, no TSX)",1,883,883,1
8,"Intel Core Processor (Broadwell, no TSX)",1,879,879,1
9,"Intel Core Processor (Broadwell, no TSX)",1,876,876,1
10,"Intel Core Processor (Broadwell, no TSX)",1,872,872,1
11,"Intel Core Processor (Broadwell, no TSX)",1,871,871,1
12,"Intel Core Processor (Broadwell, no TSX)",1,869,869,1
13,"Intel Core Processor (Broadwell, no TSX)",1,869,869,1
14,"Intel Core Processor (Broadwell, no TSX)",1,868,868,1
15,"Intel Core Processor (Broadwell, no TSX)",1,863,863,1
16,"Intel Core Processor (Broadwell, no TSX) @ 2095.076 MHz",2,860,1606,2
17,"Intel Core Processor (Broadwell, no TSX)",1,860,860,1
18,"Intel Core Processor (Broadwell, no TSX)",1,859,859,1
19,"Intel Core Processor (Broadwell, no TSX)",1,857,857,1
20,"Intel Core Processor (Broadwell, no TSX)",1,856,856,1
21,"Intel Core Processor (Broadwell, no TSX)",1,855,855,1
22,"Intel Core Processor (Broadwell, no TSX)",1,852,852,1
23,"Intel Core Processor (Broadwell, no TSX)",2,852,1672,2
24,"Intel Core Processor (Broadwell, no TSX)",1,852,852,1
25,"Intel Core Processor (Broadwell, no TSX)",1,852,852,1
26,"Intel Core Processor (Broadwell, no TSX)",1,851,851,1
27,"Intel Core Processor (Broadwell, no TSX)",1,851,851,1
28,"Intel Core Processor (Broadwell, no TSX)",1,850,850,1
29,"Intel Core Processor (Broadwell, no TSX)",1,850,850,1
30,"Intel Core Processor (Broadwell, no TSX)",2,848,1611,2
31,"Intel Core Processor (Broadwell, no TSX)",1,848,848,1
32,"Intel Core Processor (Broadwell, no TSX)",1,848,848,1
33,"Intel Core Processor (Broadwell, no TSX)",2,847,1663,2
34,"Intel Core Processor (Broadwell, no TSX)",1,844,844,1
35,"Intel Core Processor (Broadwell, no TSX)",1,842,842,1
36,"Intel Core Processor (Broadwell, no TSX)",1,841,841,1
37,"Intel Core Processor (Broadwell, no TSX)",1,841,841,1
38,"Intel Core Processor (Broadwell, no TSX)",2,841,1653,2
39,"Intel Core Processor (Broadwell, no TSX)",2,840,1642,2
40,"Intel Core Processor (Broadwell, no TSX)",2,839,1610,2
41,"Intel Core Processor (Broadwell, no TSX)",1,839,839,1
42,"Intel Core Processor (Broadwell, no TSX)",1,839,839,1
43,"Intel Core Processor (Broadwell, no TSX)",2,839,1632,2
44,"Intel Core Processor (Broadwell, no TSX)",2,838,1659,2
45,"Intel Core Processor (Broadwell, no TSX)",2,837,1670,2
46,"Intel Core Processor (Broadwell, no TSX)",1,836,836,1
47,"Intel Core Processor (Broadwell, no TSX)",2,836,1630,2
48,"Intel Core Processor (Broadwell, no TSX)",2,836,1651,2
49,"Intel Core Processor (Broadwell, no TSX)",2,836,1665,2
50,"Intel Core Processor (Broadwell, no TSX)",1,835,835,1
51,"Intel Core Processor (Broadwell, no TSX)",1,835,835,1
52,"Intel Core Processor (Broadwell, no TSX)",8,835,6660,8
53,"Intel Core Processor (Broadwell, no TSX)",8,834,6608,8
54,"Intel Core Processor (Broadwell, no TSX)",2,833,1651,2
55,"Intel Core Processor (Broadwell, no TSX) @ 2194.916 MHz",2,833,1631,2
56,"Intel Core Processor (Broadwell, no TSX)",4,833,3327,4
57,"Intel Core Processor (Broadwell, no TSX)",2,832,1509,2
58,"Intel Core Processor (Broadwell, no TSX)",2,832,1669,2
59,"Intel Core Processor (Broadwell, no TSX)",2,831,1667,2
60,"Intel Core Processor (Broadwell, no TSX)",2,831,1621,2
61,"Intel Core Processor (Broadwell, no TSX)",8,831,6570,8
62,"Intel Core Processor (Broadwell, no TSX)",2,831,1633,2
63,"Intel Core Processor (Broadwell, no TSX)",2,830,1446,2
64,"Intel Core Processor (Broadwell, no TSX)",8,830,6550,8
65,"Intel Core Processor (Broadwell, no TSX)",2,830,1628,2
66,"Intel Core Processor (Broadwell, no TSX)",2,830,1619,2
67,"Intel Core Processor (Broadwell, no TSX)",1,829,829,1
