排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,3978,3978,1
2,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,2301,2301,1
3,"Intel Core Processor (Broadwell, no TSX, IBRS) @ 2299.998 MHz",1,2261,2261,1
4,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,2019,2019,1
5,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,1040,1040,1
6,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,1025,1025,1
7,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,1005,1005,1
8,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,997,997,1
9,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,996,996,1
10,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,971,971,1
11,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,954,954,1
12,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,948,948,1
13,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,942,942,1
14,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,941,941,1
15,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,939,939,1
16,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,879,879,1
17,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,875,875,1
18,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,872,872,1
19,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,868,868,1
20,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,868,868,1
21,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,866,866,1
22,"Intel Core Processor (Broadwell, no TSX, IBRS)",4,865,3299,4
23,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,865,865,1
24,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,864,864,1
25,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,864,864,1
26,"Intel Core Processor (Broadwell, no TSX, IBRS)",2,863,1548,2
27,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,863,863,1
28,"Intel Core Processor (Broadwell, no TSX, IBRS) @2399.996 MHz",1,862,862,1
29,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,862,862,1
30,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,862,862,1
31,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,861,861,1
32,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,861,861,1
33,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,861,861,1
34,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,860,860,1
35,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,859,859,1
36,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,858,858,1
37,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,857,857,1
38,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,857,857,1
39,"Intel Core Processor (Broadwell, no TSX, IBRS) @ 2394.454 MHz",1,856,856,1
40,"Intel Core Processor (Broadwell, no TSX, IBRS) @2394.454 MHz",1,855,855,1
41,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,855,855,1
42,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,855,855,1
43,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,855,855,1
44,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,854,854,1
45,"Intel Core Processor (Broadwell, no TSX, IBRS) @2399.996 MHz",1,854,854,1
46,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,853,853,1
47,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,853,853,1
48,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,851,851,1
49,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,850,850,1
50,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,850,850,1
51,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,847,847,1
52,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,844,844,1
53,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,842,842,1
54,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,839,839,1
55,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,839,839,1
56,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,837,837,1
57,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,836,836,1
58,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,836,836,1
59,"Intel Core Processor (Broadwell, no TSX, IBRS) @ 2394.454 MHz",1,836,836,1
60,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,835,835,1
61,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,834,834,1
62,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,833,833,1
63,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,833,833,1
64,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,832,832,1
65,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,832,832,1
66,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,832,832,1
67,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,831,831,1
68,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,830,830,1
69,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,830,830,1
70,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,830,830,1
71,"Intel Core Processor (Broadwell, no TSX, IBRS) @ 2394.454 MHz",1,830,830,1
72,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,830,830,1
73,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,829,829,1
74,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,829,829,1
75,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,829,829,1
76,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,829,829,1
77,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,828,828,1
78,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,827,827,1
79,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,826,826,1
80,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,826,826,1
81,"Intel Core Processor (Broadwell, no TSX, IBRS) @ 2394.454 MHz",1,826,826,1
82,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,826,826,1
83,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,825,825,1
84,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,825,825,1
85,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,825,825,1
86,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,824,824,1
87,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,824,824,1
88,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,824,824,1
89,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,824,824,1
90,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,824,824,1
91,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,823,823,1
92,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,823,823,1
93,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,823,823,1
94,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,823,823,1
95,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,823,823,1
96,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,822,822,1
97,"Intel Core Processor (Broadwell, no TSX, IBRS) @2394.454 MHz",1,822,822,1
98,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,822,822,1
99,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,822,822,1
100,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,822,822,1
101,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,821,821,1
102,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,821,821,1
103,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,821,821,1
104,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,821,821,1
105,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,821,821,1
106,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,820,820,1
107,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,820,820,1
108,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,820,820,1
109,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,820,820,1
110,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,820,820,1
111,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,820,820,1
112,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,819,819,1
113,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,819,819,1
114,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,819,819,1
115,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,819,819,1
116,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,819,819,1
117,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,818,818,1
118,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,818,818,1
119,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,818,818,1
120,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,818,818,1
121,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,818,818,1
122,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,818,818,1
123,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,817,817,1
124,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,817,817,1
125,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,817,817,1
126,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,817,817,1
127,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,816,816,1
128,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,816,816,1
129,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,816,816,1
130,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,816,816,1
131,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,816,816,1
132,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,815,815,1
133,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,815,815,1
134,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,815,815,1
135,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,814,814,1
136,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,813,813,1
137,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,813,813,1
138,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,812,812,1
139,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,812,812,1
140,"Intel Core Processor (Broadwell, no TSX, IBRS)",1,812,812,1
