排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,"Intel Core Processor (Haswell, no TSX)",8,892,7144,8
2,"Intel Core Processor (Haswell, no TSX)",8,832,6394,8
3,"Intel Core Processor (Haswell, no TSX)",8,844,6340,8
4,"Intel Core Processor (Haswell, no TSX)",8,803,6161,8
5,"Intel Core Processor (Haswell, no TSX)",8,682,5149,8
6,"Intel Core Processor (Haswell, no TSX)",16,772,5126,16
7,"Intel Core Processor (Haswell, no TSX)",8,600,5075,8
8,"Intel Core Processor (Haswell, no TSX)",4,1211,4866,4
9,"Intel Core Processor (Haswell, no TSX)",8,664,3639,8
10,"Intel Core Processor (Haswell, no TSX)",4,946,3638,4
11,"Intel Core Processor (Haswell, no TSX)",4,823,3061,4
12,"Intel Core Processor (Haswell, no TSX)",4,759,3059,4
13,"Intel Core Processor (Haswell, no TSX)",4,804,3057,4
14,"Intel Core Processor (Haswell, no TSX)",4,768,3025,4
15,"Intel Core Processor (Haswell, no TSX)",4,780,3024,4
16,"Intel Core Processor (Haswell, no TSX)",4,779,2996,4
17,"Intel Core Processor (Haswell, no TSX)",4,786,2965,4
18,"Intel Core Processor (Haswell, no TSX)",4,775,2915,4
19,"Intel Core Processor (Haswell, no TSX)",4,672,2779,4
20,"Intel Core Processor (Haswell, no TSX)",4,679,2706,4
21,"Intel Core Processor (Haswell, no TSX)",4,772,2516,4
22,"Intel Core Processor (Haswell, no TSX)",4,769,2180,4
23,"Intel Core Processor (Haswell, no TSX)",4,734,1848,4
24,"Intel Core Processor (Haswell, no TSX)",4,750,1847,4
25,"Intel Core Processor (Haswell, no TSX)",2,879,1789,2
26,"Intel Core Processor (Haswell, no TSX)",2,909,1726,2
27,"Intel Core Processor (Haswell, no TSX)",2,815,1678,2
28,"Intel Core Processor (Haswell, no TSX)",8,826,1669,8
29,"Intel Core Processor (Haswell, no TSX)",8,821,1613,8
30,"Intel Core Processor (Haswell, no TSX)",2,787,1565,2
31,"Intel Core Processor (Haswell, no TSX)",2,780,1529,2
32,"Intel Core Processor (Haswell, no TSX)",8,835,1521,8
33,"Intel Core Processor (Haswell, no TSX)",2,754,1497,2
34,"Intel Core Processor (Haswell, no TSX)",2,715,1433,2
35,"Intel Core Processor (Haswell, no TSX)",2,703,1392,2
36,"Intel Core Processor (Haswell, no TSX)",2,692,1389,2
37,"Intel Core Processor (Haswell, no TSX)",2,701,1387,2
38,"Intel Core Processor (Haswell, no TSX)",2,670,1329,2
39,"Intel Core Processor (Haswell, no TSX)",8,786,1306,8
40,"Intel Core Processor (Haswell, no TSX)",1,759,702,8
41,"Intel Core Processor (Haswell, no TSX)",1,699,686,8
42,"Intel Core Processor (Haswell, no TSX)",2,263,485,2
43,"Intel Core Processor (Haswell, no TSX)",8,808,283,8
44,"Intel Core Processor (Haswell, no TSX)",2,50,60,2
