排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,"Intel Core Processor (Haswell, no TSX)",4,1211,4866,4
2,"Intel Core Processor (Haswell, no TSX)",1,974,974,1
3,"Intel Core Processor (Haswell, no TSX)",4,946,3638,4
4,"Intel Core Processor (Haswell, no TSX)",1,918,918,1
5,"Intel Core Processor (Haswell, no TSX)",1,917,917,1
6,"Intel Core Processor (Haswell, no TSX)",2,909,1726,2
7,"Intel Core Processor (Haswell, no TSX)",8,892,7144,8
8,"Intel Core Processor (Haswell, no TSX)",1,888,888,1
9,"Intel Core Processor (Haswell, no TSX)",2,879,1789,2
10,"Intel Core Processor (Haswell, no TSX)",1,858,858,1
11,"Intel Core Processor (Haswell, no TSX)",8,844,6340,8
12,"Intel Core Processor (Haswell, no TSX) @2299.996 MHz",1,843,843,1
13,"Intel Core Processor (Haswell, no TSX)",1,842,842,1
14,"Intel Core Processor (Haswell, no TSX)",1,841,841,1
15,"Intel Core Processor (Haswell, no TSX)",1,839,839,1
16,"Intel Core Processor (Haswell, no TSX) @2299.996 MHz",1,838,838,1
17,"Intel Core Processor (Haswell, no TSX)",8,835,1521,8
18,"Intel Core Processor (Haswell, no TSX)",1,834,834,1
19,"Intel Core Processor (Haswell, no TSX)",8,832,6394,8
20,"Intel Core Processor (Haswell, no TSX)",1,829,829,1
21,"Intel Core Processor (Haswell, no TSX)",1,828,828,1
22,"Intel Core Processor (Haswell, no TSX)",1,826,826,1
23,"Intel Core Processor (Haswell, no TSX)",8,826,1669,8
24,"Intel Core Processor (Haswell, no TSX)",4,823,3061,4
25,"Intel Core Processor (Haswell, no TSX)",8,821,1613,8
26,"Intel Core Processor (Haswell, no TSX)",1,818,818,1
27,"Intel Core Processor (Haswell, no TSX)",2,815,1678,2
28,"Intel Core Processor (Haswell, no TSX)",1,811,811,1
29,"Intel Core Processor (Haswell, no TSX)",8,808,283,8
30,"Intel Core Processor (Haswell, no TSX)",1,804,804,1
31,"Intel Core Processor (Haswell, no TSX)",4,804,3057,4
