排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,"Intel Core Processor (Haswell, no TSX, IBRS)",8,2104,2624,8
2,"Intel Core Processor (Haswell, no TSX, IBRS)",4,1179,4635,4
3,"Intel Core Processor (Haswell, no TSX, IBRS)",4,1178,4421,4
4,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1120,2195,2
5,"Intel Core Processor (Haswell, no TSX, IBRS)",4,1118,4181,4
6,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1115,2078,2
7,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1111,2215,2
8,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1110,2170,2
9,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1103,2214,2
10,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1103,2211,2
11,"Intel Core Processor (Haswell, no TSX, IBRS)",4,1102,4209,4
12,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1098,2161,2
13,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1097,3151,3
14,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1096,2142,2
15,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1094,3151,3
16,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1093,2183,2
17,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1093,2129,2
18,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1090,2162,2
19,"Intel Core Processor (Haswell, no TSX, IBRS)",4,1088,4192,4
20,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1083,2168,2
21,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1080,2155,2
22,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1079,2105,2
23,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1079,2093,2
24,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1079,2156,2
25,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1078,2144,2
26,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1078,2072,2
27,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1074,3115,3
28,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1073,2030,2
29,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1072,2126,2
30,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1072,2105,2
31,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1071,3117,3
32,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1070,3122,3
33,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1069,3102,3
34,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1068,2095,2
35,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1068,2105,2
36,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1068,3156,3
37,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1068,2119,2
38,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1066,3110,3
39,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1066,3008,3
40,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1065,2118,2
41,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1063,2078,2
42,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1061,2107,2
43,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1061,3168,3
44,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1060,3059,3
45,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1059,1477,2
46,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1058,3128,3
47,"Intel Core Processor (Haswell, no TSX, IBRS)",4,1054,4154,4
48,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1053,3033,3
49,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1053,2057,2
50,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1053,2036,2
51,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1051,2136,2
52,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1051,2083,2
53,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1050,1981,2
54,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1050,2077,2
55,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1050,2990,3
56,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1049,2048,2
57,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1049,2002,2
58,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1048,2044,2
59,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1048,2039,2
60,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1047,3083,3
61,"Intel Core Processor (Haswell, no TSX, IBRS)",4,1044,4186,4
62,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1043,3110,3
63,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1042,2856,3
64,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1042,2045,2
65,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1042,2067,2
66,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1041,2036,2
67,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1039,2096,2
68,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1039,2016,2
69,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1037,2058,2
