排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel Core Processor (Skylake) @ 1796.044 MHz,2,540,545,2
2,Intel Core Processor (Skylake),2,515,730,2
3,Intel Core Processor (Skylake) @ 1795.894 MHz,2,510,1020,2
4,Intel Core Processor (Skylake),16,507,430,16
5,Intel Core Processor (Skylake),2,493,983,2
6,Intel Core Processor (Skylake),1,463,463,1
7,Intel Core Processor (Skylake),1,413,413,1
8,Intel Core Processor (Skylake),1,411,411,1
9,Intel Core Processor (Skylake),1,409,409,1
10,Intel Core Processor (Skylake),16,250,220,16
