排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,"Intel Core Processor (Skylake, IBRS)",32,991,26317,32
2,"Intel Core Processor (Skylake, IBRS)",12,2643,21416,12
3,"Intel Core Processor (Skylake, IBRS)",4,4056,15523,4
4,"Intel Core Processor (Skylake, IBRS)",8,1269,8438,8
5,"Intel Core Processor (Skylake, IBRS)",6,1391,8010,6
6,"Intel Core Processor (Skylake, IBRS)",3,2691,7973,3
7,"Intel Core Processor (Skylake, IBRS)",6,1365,7009,6
8,"Intel Core Processor (Skylake, IBRS)",2,3339,6596,2
9,"Intel Core Processor (Skylake, IBRS)",2,3098,6151,2
10,"Intel Core Processor (Skylake, IBRS)",4,1578,6124,4
11,"Intel Core Processor (Skylake, IBRS)",4,1401,5667,4
12,"Intel Core Processor (Skylake, IBRS)",4,1392,5632,4
13,"Intel Core Processor (Skylake, IBRS)",4,1392,5619,4
14,"Intel Core Processor (Skylake, IBRS)",4,1385,5273,4
15,"Intel Core Processor (Skylake, IBRS)",2,2651,5272,2
16,"Intel Core Processor (Skylake, IBRS)",4,1408,4884,4
17,"Intel Core Processor (Skylake, IBRS)",4,1218,4860,4
18,"Intel Core Processor (Skylake, IBRS)",4,1269,4773,4
19,"Intel Core Processor (Skylake, IBRS)",3,1597,4763,3
20,"Intel Core Processor (Skylake, IBRS)",10,764,4396,10
21,"Intel Core Processor (Skylake, IBRS)",10,747,4370,10
22,"Intel Core Processor (Skylake, IBRS)",3,1466,4287,3
23,"Intel Core Processor (Skylake, IBRS)",10,710,3917,10
24,"Intel Core Processor (Skylake, IBRS)",3,1278,3807,3
25,"Intel Core Processor (Skylake, IBRS)",3,1268,3805,3
26,"Intel Core Processor (Skylake, IBRS)",3,1250,3785,3
27,"Intel Core Processor (Skylake, IBRS)",4,1019,3746,4
28,"Intel Core Processor (Skylake, IBRS)",4,1370,3699,4
29,"Intel Core Processor (Skylake, IBRS)",2,3214,3291,2
30,"Intel Core Processor (Skylake, IBRS)",2,1606,3204,2
31,"Intel Core Processor (Skylake, IBRS)",2,1599,3143,2
32,"Intel Core Processor (Skylake, IBRS)",2,1602,3122,2
33,"Intel Core Processor (Skylake, IBRS)",2,1561,3109,2
34,"Intel Core Processor (Skylake, IBRS)",2,1580,3104,2
35,"Intel Core Processor (Skylake, IBRS)",2,1573,3081,2
36,"Intel Core Processor (Skylake, IBRS)",2,1505,3004,2
37,"Intel Core Processor (Skylake, IBRS)",2,1499,2986,2
38,"Intel Core Processor (Skylake, IBRS)",3,1038,2966,3
39,"Intel Core Processor (Skylake, IBRS)",2,1485,2887,2
40,"Intel Core Processor (Skylake, IBRS)",2,1411,2820,2
41,"Intel Core Processor (Skylake, IBRS)",10,738,2797,10
42,"Intel Core Processor (Skylake, IBRS)",16,601,2738,16
43,"Intel Core Processor (Skylake, IBRS)",2,1403,2713,2
44,"Intel Core Processor (Skylake, IBRS)",3,1113,2699,3
45,"Intel Core Processor (Skylake, IBRS)",2,1314,2615,2
46,"Intel Core Processor (Skylake, IBRS)",2,1291,2514,2
47,"Intel Core Processor (Skylake, IBRS)",2,1222,2509,2
48,"Intel Core Processor (Skylake, IBRS)",2,1296,2478,2
49,"Intel Core Processor (Skylake, IBRS)",2,1224,2452,2
50,"Intel Core Processor (Skylake, IBRS)",3,836,2438,3
51,"Intel Core Processor (Skylake, IBRS)",2,1237,2436,2
52,"Intel Core Processor (Skylake, IBRS)",3,832,2415,3
53,"Intel Core Processor (Skylake, IBRS)",2,1255,2336,2
54,"Intel Core Processor (Skylake, IBRS)",2,1180,2335,2
55,"Intel Core Processor (Skylake, IBRS)",2,1278,2335,2
56,"Intel Core Processor (Skylake, IBRS)",3,705,2298,3
57,"Intel Core Processor (Skylake, IBRS)",2,1232,2263,2
58,"Intel Core Processor (Skylake, IBRS)",2,1219,2249,2
59,"Intel Core Processor (Skylake, IBRS)",3,723,2210,3
60,"Intel Core Processor (Skylake, IBRS)",2,1121,2197,2
61,"Intel Core Processor (Skylake, IBRS)",2,1194,2195,2
62,"Intel Core Processor (Skylake, IBRS)",10,565,2195,10
63,"Intel Core Processor (Skylake, IBRS)",2,1143,2143,2
64,"Intel Core Processor (Skylake, IBRS)",2,1168,2135,2
65,"Intel Core Processor (Skylake, IBRS)",3,721,2115,3
66,"Intel Core Processor (Skylake, IBRS)",2,1126,2093,2
67,"Intel Core Processor (Skylake, IBRS)",2,1237,2084,2
