排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,"Intel Core i7 9xx (Nehalem Core i7, IBRS update)",2,642,1256,2
2,"Intel Core i7 9xx (Nehalem Core i7, IBRS update)",2,623,1013,2
3,"Intel Core i7 9xx (Nehalem Core i7, IBRS update)",2,613,1102,2
4,"Intel Core i7 9xx (Nehalem Core i7, IBRS update)",8,613,2608,8
5,"Intel Core i7 9xx (Nehalem Core i7, IBRS update)",2,613,1200,2
6,"Intel Core i7 9xx (Nehalem Core i7, IBRS update)",2,605,1154,2
7,"Intel Core i7 9xx (Nehalem Core i7, IBRS update)",2,577,1041,2
8,"Intel Core i7 9xx (Nehalem Core i7, IBRS update)",2,571,1083,2
9,"Intel Core i7 9xx (Nehalem Core i7, IBRS update)",8,559,1983,8
10,"Intel Core i7 9xx (Nehalem Core i7, IBRS update)",2,552,930,2
11,"Intel Core i7 9xx (Nehalem Core i7, IBRS update)",2,545,1046,2
12,"Intel Core i7 9xx (Nehalem Core i7, IBRS update)",2,505,1023,2
13,"Intel Core i7 9xx (Nehalem Core i7, IBRS update)",2,381,728,2
14,"Intel Core i7 9xx (Nehalem Core i7, IBRS update)",2,360,697,2
15,"Intel Core i7 9xx (Nehalem Core i7, IBRS update)",2,288,464,2
