排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel Xeon E3-12xx v2 (Ivy Bridge),4,945,3551,4
2,Intel Xeon E3-12xx v2 (Ivy Bridge),4,943,3743,4
3,Intel Xeon E3-12xx v2 (Ivy Bridge),4,943,3623,4
4,Intel Xeon E3-12xx v2 (Ivy Bridge),4,909,3589,4
5,Intel Xeon E3-12xx v2 (Ivy Bridge),2,899,1784,2
6,Intel Xeon E3-12xx v2 (Ivy Bridge),2,889,1734,2
7,Intel Xeon E3-12xx v2 (Ivy Bridge),4,865,3381,4
8,Intel Xeon E3-12xx v2 (Ivy Bridge),2,861,1812,2
9,Intel Xeon E3-12xx v2 (Ivy Bridge),4,857,3332,4
10,Intel Xeon E3-12xx v2 (Ivy Bridge),2,856,1677,2
11,Intel Xeon E3-12xx v2 (Ivy Bridge),2,851,1868,2
12,Intel Xeon E3-12xx v2 (Ivy Bridge),4,851,3260,4
13,Intel Xeon E3-12xx v2 (Ivy Bridge),4,843,3257,4
14,Intel Xeon E3-12xx v2 (Ivy Bridge),2,838,1681,2
15,Intel Xeon E3-12xx v2 (Ivy Bridge),4,832,3369,4
16,Intel Xeon E3-12xx v2 (Ivy Bridge),2,824,1658,2
17,Intel Xeon E3-12xx v2 (Ivy Bridge),2,821,1643,2
18,Intel Xeon E3-12xx v2 (Ivy Bridge),2,819,1594,2
19,Intel Xeon E3-12xx v2 (Ivy Bridge),2,814,1619,2
20,Intel Xeon E3-12xx v2 (Ivy Bridge),4,812,3134,4
21,Intel Xeon E3-12xx v2 (Ivy Bridge),2,808,1595,2
22,Intel Xeon E3-12xx v2 (Ivy Bridge),4,807,2982,4
23,Intel Xeon E3-12xx v2 (Ivy Bridge),2,804,1542,2
24,Intel Xeon E3-12xx v2 (Ivy Bridge),2,802,1584,2
25,Intel Xeon E3-12xx v2 (Ivy Bridge),2,800,1538,2
26,Intel Xeon E3-12xx v2 (Ivy Bridge),2,798,1386,2
27,Intel Xeon E3-12xx v2 (Ivy Bridge),2,798,1525,2
28,Intel Xeon E3-12xx v2 (Ivy Bridge),2,797,1558,2
29,Intel Xeon E3-12xx v2 (Ivy Bridge),2,796,935,2
30,Intel Xeon E3-12xx v2 (Ivy Bridge),4,795,3085,4
31,Intel Xeon E3-12xx v2 (Ivy Bridge),2,793,1516,2
32,Intel Xeon E3-12xx v2 (Ivy Bridge),2,793,1517,2
33,Intel Xeon E3-12xx v2 (Ivy Bridge),2,790,1440,2
34,Intel Xeon E3-12xx v2 (Ivy Bridge),2,789,1564,2
35,Intel Xeon E3-12xx v2 (Ivy Bridge),2,788,807,2
36,Intel Xeon E3-12xx v2 (Ivy Bridge),2,777,1555,2
37,Intel Xeon E3-12xx v2 (Ivy Bridge),2,775,1558,2
38,Intel Xeon E3-12xx v2 (Ivy Bridge),3,773,2264,3
39,Intel Xeon E3-12xx v2 (Ivy Bridge),3,772,2197,3
40,Intel Xeon E3-12xx v2 (Ivy Bridge),4,770,3226,4
41,Intel Xeon E3-12xx v2 (Ivy Bridge),4,755,2675,4
42,Intel Xeon E3-12xx v2 (Ivy Bridge),2,751,1495,2
43,Intel Xeon E3-12xx v2 (Ivy Bridge),2,750,1497,2
44,Intel Xeon E3-12xx v2 (Ivy Bridge),2,749,1491,2
45,Intel Xeon E3-12xx v2 (Ivy Bridge),2,747,1392,2
46,Intel Xeon E3-12xx v2 (Ivy Bridge),2,739,1472,2
47,Intel Xeon E3-12xx v2 (Ivy Bridge),2,737,1372,2
48,Intel Xeon E3-12xx v2 (Ivy Bridge),2,734,1455,2
49,Intel Xeon E3-12xx v2 (Ivy Bridge),2,720,1442,2
50,Intel Xeon E3-12xx v2 (Ivy Bridge),4,717,2852,4
51,Intel Xeon E3-12xx v2 (Ivy Bridge),4,707,2729,4
52,Intel Xeon E3-12xx v2 (Ivy Bridge),2,706,1378,2
53,Intel Xeon E3-12xx v2 (Ivy Bridge),4,703,2762,4
54,Intel Xeon E3-12xx v2 (Ivy Bridge),2,698,1378,2
55,Intel Xeon E3-12xx v2 (Ivy Bridge),4,692,2957,4
56,Intel Xeon E3-12xx v2 (Ivy Bridge),4,691,2576,4
57,Intel Xeon E3-12xx v2 (Ivy Bridge),2,690,1388,2
58,Intel Xeon E3-12xx v2 (Ivy Bridge),2,685,1354,2
59,Intel Xeon E3-12xx v2 (Ivy Bridge),4,683,2915,4
60,Intel Xeon E3-12xx v2 (Ivy Bridge),4,680,2666,4
61,Intel Xeon E3-12xx v2 (Ivy Bridge),4,677,2835,4
62,Intel Xeon E3-12xx v2 (Ivy Bridge),16,661,9676,16
63,Intel Xeon E3-12xx v2 (Ivy Bridge),2,628,1201,2
64,Intel Xeon E3-12xx v2 (Ivy Bridge),2,620,1231,2
65,Intel Xeon E3-12xx v2 (Ivy Bridge),2,619,1226,2
66,Intel Xeon E3-12xx v2 (Ivy Bridge),2,617,1234,2
67,Intel Xeon E3-12xx v2 (Ivy Bridge),2,614,1205,2
68,Intel Xeon E3-12xx v2 (Ivy Bridge),2,613,1227,2
69,Intel Xeon E3-12xx v2 (Ivy Bridge),2,612,1114,2
