排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",24,783,15864,24
2,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",8,1021,7855,8
3,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",8,820,6427,8
4,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",16,484,6398,16
5,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",16,470,6327,16
6,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",16,529,6215,16
7,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",12,416,6073,12
8,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",16,390,5911,16
9,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",16,492,5847,16
10,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",8,739,5845,8
11,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",16,401,5811,16
12,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",16,393,5795,16
13,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",16,419,5793,16
14,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",8,811,5732,8
15,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",8,810,5725,8
16,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",12,464,5172,12
17,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",12,537,4924,12
18,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",8,671,4815,8
19,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",12,444,4741,12
20,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",12,523,4688,12
21,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",12,447,4609,12
22,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",12,411,4601,12
23,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",12,475,4579,12
24,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",12,430,4541,12
25,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",12,485,4249,12
26,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",8,486,3971,8
27,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",8,499,3492,8
28,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",4,838,3413,4
29,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",4,845,3412,4
30,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",8,481,3412,8
31,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",8,461,3391,8
32,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",8,462,3376,8
33,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",8,524,3356,8
34,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",8,402,3330,8
35,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",4,816,3322,4
36,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",12,433,3321,12
37,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",8,370,3305,8
38,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",4,862,3296,4
39,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",4,786,3278,4
40,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",8,475,3277,8
41,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",8,440,3274,8
42,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",8,444,3266,8
43,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",4,802,3256,4
44,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",4,806,3247,4
45,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",8,474,3221,8
46,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",4,826,3212,4
47,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",8,478,3197,8
48,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",4,780,3182,4
49,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",4,860,3175,4
50,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",4,784,3170,4
51,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",4,779,3168,4
52,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",8,419,3168,8
53,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",4,934,3163,4
54,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",4,779,3154,4
55,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",8,407,3145,8
56,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",8,416,3125,8
57,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",4,775,3120,4
58,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",4,780,3115,4
59,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",4,776,3112,4
60,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",4,777,3110,4
61,"Intel Xeon E3-12xx v2 (Ivy Bridge, IBRS)",4,775,3102,4
