排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel Xeon E312xx (Sandy Bridge),1,2755,2755,1
2,Intel Xeon E312xx (Sandy Bridge),1,2732,2732,1
3,Intel Xeon E312xx (Sandy Bridge),1,2629,2629,1
4,Intel Xeon E312xx (Sandy Bridge),1,2619,2619,1
5,Intel Xeon E312xx (Sandy Bridge),1,2455,2455,1
6,Intel Xeon E312xx (Sandy Bridge),1,2445,2445,1
7,Intel Xeon E312xx (Sandy Bridge),1,2441,2441,1
8,Intel Xeon E312xx (Sandy Bridge),1,2441,2441,1
9,Intel Xeon E312xx (Sandy Bridge),1,2436,2436,1
10,Intel Xeon E312xx (Sandy Bridge),1,2425,2425,1
11,Intel Xeon E312xx (Sandy Bridge),1,2424,2424,1
12,Intel Xeon E312xx (Sandy Bridge),1,2404,2404,1
13,Intel Xeon E312xx (Sandy Bridge),1,2388,2388,1
14,Intel Xeon E312xx (Sandy Bridge),1,2382,2382,1
15,Intel Xeon E312xx (Sandy Bridge),1,2379,2379,1
16,Intel Xeon E312xx (Sandy Bridge) @2394.368 MHz,1,2379,2379,1
17,Intel Xeon E312xx (Sandy Bridge),1,2376,2376,1
18,Intel Xeon E312xx (Sandy Bridge),1,2360,2360,1
19,Intel Xeon E312xx (Sandy Bridge),1,2335,2335,1
20,Intel Xeon E312xx (Sandy Bridge),1,2310,2310,1
21,Intel Xeon E312xx (Sandy Bridge),1,2232,2232,1
22,Intel Xeon E312xx (Sandy Bridge),1,2221,2221,1
23,Intel Xeon E312xx (Sandy Bridge),1,2213,2213,1
24,Intel Xeon E312xx (Sandy Bridge),1,2202,2202,1
25,Intel Xeon E312xx (Sandy Bridge),1,2195,2195,1
26,Intel Xeon E312xx (Sandy Bridge),1,2194,2194,1
27,Intel Xeon E312xx (Sandy Bridge),1,2177,2177,1
28,Intel Xeon E312xx (Sandy Bridge),1,2173,2173,1
29,Intel Xeon E312xx (Sandy Bridge),1,2151,2151,1
30,Intel Xeon E312xx (Sandy Bridge),1,2134,2134,1
31,Intel Xeon E312xx (Sandy Bridge),1,2130,2130,1
32,Intel Xeon E312xx (Sandy Bridge),1,2106,2106,1
33,Intel Xeon E312xx (Sandy Bridge),1,2101,2101,1
34,Intel Xeon E312xx (Sandy Bridge),1,2094,2094,1
35,Intel Xeon E312xx (Sandy Bridge),1,2093,2093,1
36,Intel Xeon E312xx (Sandy Bridge),1,2092,2092,1
37,Intel Xeon E312xx (Sandy Bridge),1,2091,2091,1
38,Intel Xeon E312xx (Sandy Bridge),1,2055,2055,1
39,Intel Xeon E312xx (Sandy Bridge),1,2050,2050,1
40,Intel Xeon E312xx (Sandy Bridge),1,2044,2044,1
41,Intel Xeon E312xx (Sandy Bridge),1,1780,1780,1
42,Intel Xeon E312xx (Sandy Bridge),1,1769,1769,1
43,Intel Xeon E312xx (Sandy Bridge),1,1681,1681,1
44,Intel Xeon E312xx (Sandy Bridge),1,1639,1639,1
45,Intel Xeon E312xx (Sandy Bridge),1,1251,1251,1
