排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",8,890,6647,8
2,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",8,767,5799,8
3,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",6,751,5503,6
4,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",5,882,4347,5
5,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",5,892,4333,5
6,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",5,846,3994,5
7,"Intel Xeon E312xx (Sandy Bridge, IBRS update) @ 3504.000 MHz",1,3901,3901,1
8,"Intel Xeon E312xx (Sandy Bridge, IBRS update) @3504.000 MHz",1,3891,3891,1
9,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",4,899,3563,4
10,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",4,870,3420,4
11,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",4,889,3414,4
12,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",1,3410,3410,1
13,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",4,886,3397,4
14,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",4,816,3298,4
15,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",1,3262,3262,1
16,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",4,830,3080,4
17,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",4,769,3075,4
18,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",4,714,2950,4
19,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",4,716,2836,4
20,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",4,705,2602,4
21,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",3,848,2541,3
22,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",3,837,2523,3
23,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",3,834,2482,3
24,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",3,825,2481,3
25,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",3,840,2458,3
26,"Intel Xeon E312xx (Sandy Bridge, IBRS update) @ 2199.998 MHz",3,812,2393,3
27,"Intel Xeon E312xx (Sandy Bridge, IBRS update) @ 2199.998 MHz",3,773,2370,3
28,"Intel Xeon E312xx (Sandy Bridge, IBRS update) @ 2199.998 MHz",3,795,2352,3
29,"Intel Xeon E312xx (Sandy Bridge, IBRS update) @3504.000 MHz",1,2309,2309,1
30,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",8,289,2139,8
31,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",3,669,2064,3
32,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",2,996,1936,2
33,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",2,939,1858,2
34,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",2,948,1762,2
35,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",2,856,1722,2
36,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",2,876,1699,2
37,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",2,832,1696,2
38,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",2,819,1691,2
39,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",2,836,1673,2
40,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",2,833,1666,2
41,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",2,892,1655,2
42,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",2,839,1635,2
43,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",2,822,1612,2
44,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",2,829,1584,2
45,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",2,820,1584,2
46,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",2,806,1540,2
47,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",2,711,1484,2
48,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",2,709,1442,2
49,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",2,736,1370,2
50,"Intel Xeon E312xx (Sandy Bridge, IBRS update) @ 2199.998 MHz",2,673,1358,2
51,"Intel Xeon E312xx (Sandy Bridge, IBRS update) @ 2199.998 MHz",2,665,1336,2
52,"Intel Xeon E312xx (Sandy Bridge, IBRS update) @ 2199.998 MHz",2,675,1327,2
53,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",2,648,1264,2
54,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",2,632,1233,2
55,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",2,653,1191,2
56,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",2,619,1186,2
57,"Intel Xeon E312xx (Sandy Bridge, IBRS update) @1999.998 MHz",2,585,1179,2
58,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",2,512,1156,2
59,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",2,586,1141,2
60,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",2,654,1140,2
61,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",2,583,1139,2
62,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",2,586,1116,2
63,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",2,595,1114,2
64,"Intel Xeon E312xx (Sandy Bridge, IBRS update) @ 1999.999 MHz",2,579,1098,2
65,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",2,582,1055,2
66,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",2,553,1044,2
67,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",2,550,1013,2
68,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",1,966,966,1
69,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",1,920,920,1
70,"Intel Xeon E312xx (Sandy Bridge, IBRS update) @2199.998 MHz",1,892,892,1
71,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",1,884,884,1
72,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",1,881,881,1
73,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",1,879,879,1
74,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",1,878,878,1
75,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",1,874,874,1
76,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",1,874,874,1
77,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",1,871,871,1
78,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",1,871,871,1
79,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",1,863,863,1
80,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",1,850,850,1
81,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",1,849,849,1
82,"Intel Xeon E312xx (Sandy Bridge, IBRS update) @ 2394.454 MHz",1,844,844,1
83,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",1,844,844,1
84,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",1,841,841,1
85,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",1,840,840,1
86,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",1,839,839,1
87,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",1,836,836,1
88,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",1,835,835,1
89,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",1,834,834,1
90,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",1,833,833,1
91,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",1,828,828,1
