排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel Xeon Processor (Icelake),4,3657,12863,4
2,Intel Xeon Processor (Icelake),1,3064,3064,1
3,Intel Xeon Processor (Icelake),8,3014,24020,8
4,Intel Xeon Processor (Icelake),4,3009,11991,4
5,Intel Xeon Processor (Icelake) @ 2799.998 MHz,4,2998,6252,4
6,Intel Xeon Processor (Icelake) @ 2799.998 MHz,4,2995,6239,4
7,Intel Xeon Processor (Icelake) @ 2799.998 MHz,4,2994,6252,4
8,Intel Xeon Processor (Icelake),12,2985,18737,12
9,Intel Xeon Processor (Icelake),12,2979,18725,12
10,Intel Xeon Processor (Icelake),12,2977,18728,12
11,Intel Xeon Processor (Icelake) @2799.998 MHz,4,2975,11891,4
12,Intel Xeon Processor (Icelake) @2799.976 MHz,8,2939,23424,8
13,Intel Xeon Processor (Icelake),1,2939,2939,1
14,Intel Xeon Processor (Icelake) @2799.998 MHz,4,2926,11590,4
15,Intel Xeon Processor (Icelake) @2799.998 MHz,4,2902,11349,4
16,Intel Xeon Processor (Icelake),8,2896,23309,8
17,Intel Xeon Processor (Icelake),4,2869,11350,4
18,Intel Xeon Processor (Icelake),4,2869,11439,4
19,Intel Xeon Processor (Icelake),16,2856,44773,16
20,Intel Xeon Processor (Icelake),16,2848,44626,16
21,Intel Xeon Processor (Icelake),1,2824,2824,1
22,Intel Xeon Processor (Icelake),1,2782,2782,1
23,Intel Xeon Processor (Icelake),8,2771,18452,8
24,Intel Xeon Processor (Icelake),2,2734,5459,2
25,Intel Xeon Processor (Icelake),1,2477,2477,1
26,Intel Xeon Processor (Icelake),1,2476,2476,1
27,Intel Xeon Processor (Icelake),1,2476,2476,1
28,Intel Xeon Processor (Icelake),2,2471,4935,2
29,Intel Xeon Processor (Icelake),1,2471,2471,1
30,Intel Xeon Processor (Icelake),2,2468,4887,2
31,Intel Xeon Processor (Icelake),16,2468,39263,16
32,Intel Xeon Processor (Icelake),2,2464,4838,2
33,Intel Xeon Processor (Icelake),2,2464,4874,2
34,Intel Xeon Processor (Icelake),1,2463,2463,1
35,Intel Xeon Processor (Icelake),1,2462,2462,1
36,Intel Xeon Processor (Icelake),2,2456,4877,2
37,Intel Xeon Processor (Icelake),1,2454,2454,1
38,Intel Xeon Processor (Icelake),1,2452,2452,1
39,Intel Xeon Processor (Icelake) @ 2000.000 MHz,1,2444,2444,1
40,Intel Xeon Processor (Icelake),3,2443,7353,3
41,Intel Xeon Processor (Icelake) @ 2000.000 MHz,1,2436,2436,1
42,Intel Xeon Processor (Icelake),16,2435,37524,16
43,Intel Xeon Processor (Icelake),1,2431,2431,1
44,Intel Xeon Processor (Icelake),1,2420,2420,1
45,Intel Xeon Processor (Icelake),1,2407,2407,1
46,Intel Xeon Processor (Icelake),1,2407,2407,1
47,Intel Xeon Processor (Icelake),2,2406,4728,2
48,Intel Xeon Processor (Icelake),4,2400,9598,4
49,Intel Xeon Processor (Icelake),1,2397,2397,1
50,Intel Xeon Processor (Icelake),1,2394,2394,1
51,Intel Xeon Processor (Icelake),1,2393,2393,1
52,Intel Xeon Processor (Icelake),1,2382,2382,1
53,Intel Xeon Processor (Icelake),1,2380,2380,1
54,Intel Xeon Processor (Icelake),1,2378,2378,1
55,Intel Xeon Processor (Icelake),1,2369,2369,1
56,Intel Xeon Processor (Icelake),6,2369,12812,6
57,Intel Xeon Processor (Icelake),1,2364,2364,1
58,Intel Xeon Processor (Icelake),1,2363,2363,1
59,Intel Xeon Processor (Icelake),1,2361,2361,1
60,Intel Xeon Processor (Icelake),2,2350,4461,2
61,Intel Xeon Processor (Icelake),1,2336,2336,1
62,Intel Xeon Processor (Icelake),1,2335,2335,1
63,Intel Xeon Processor (Icelake),1,2328,2328,1
64,Intel Xeon Processor (Icelake),1,2322,2322,1
65,Intel Xeon Processor (Icelake),1,2306,2306,1
66,Intel Xeon Processor (Icelake),1,2293,2293,1
67,Intel Xeon Processor (Icelake),1,2287,2287,1
68,Intel Xeon Processor (Icelake),1,2284,2284,1
69,Intel Xeon Processor (Icelake),4,2282,10112,4
70,Intel Xeon Processor (Icelake),1,2269,2269,1
71,Intel Xeon Processor (Icelake),1,2264,2264,1
72,Intel Xeon Processor (Icelake),3,2207,6570,3
73,Intel Xeon Processor (Icelake),60,2186,124758,60
74,Intel Xeon Processor (Icelake),3,2186,6530,3
75,Intel Xeon Processor (Icelake),4,2178,8426,4
76,Intel Xeon Processor (Icelake),8,2176,16939,8
77,Intel Xeon Processor (Icelake),2,2173,4308,2
78,Intel Xeon Processor (Icelake),8,2165,17070,8
79,Intel Xeon Processor (Icelake),2,2148,4199,2
80,Intel Xeon Processor (Icelake),32,2126,65724,32
81,Intel Xeon Processor (Icelake),1,2111,2111,1
82,Intel Xeon Processor (Icelake) @ 2095.078 MHz,2,2071,4193,2
83,Intel Xeon Processor (Icelake) @ 1995.312 MHz,64,2068,119183,64
84,Intel Xeon Processor (Icelake),1,2024,2024,1
85,Intel Xeon Processor (Icelake),1,2009,2009,1
86,Intel Xeon Processor (Icelake),1,1965,1965,1
87,Intel Xeon Processor (Icelake),1,1962,1962,1
88,Intel Xeon Processor (Icelake),1,1962,1962,1
89,Intel Xeon Processor (Icelake),1,1960,1960,1
90,Intel Xeon Processor (Icelake),1,1928,1928,1
91,Intel Xeon Processor (Icelake),1,1923,1923,1
92,Intel Xeon Processor (Icelake),1,1922,1922,1
93,Intel Xeon Processor (Icelake),1,1911,1911,1
94,Intel Xeon Processor (Icelake),1,1909,1909,1
95,Intel Xeon Processor (Icelake),1,1896,1896,1
96,Intel Xeon Processor (Icelake),1,1866,1866,1
97,Intel Xeon Processor (Icelake),4,1786,6884,4
98,Intel Xeon Processor (Icelake),1,840,840,1
99,Intel Xeon Processor (Icelake),1,410,410,1
100,Intel Xeon Processor (Icelake),1,404,404,1
101,Intel Xeon Processor (Icelake),1,402,402,1
102,Intel Xeon Processor (Icelake),1,393,393,1
103,Intel Xeon Processor (Icelake),1,341,341,1
