排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel Xeon Processor (SierraForest),2,1138,2226,2
2,Intel Xeon Processor (SierraForest),2,1086,2107,2
3,Intel Xeon Processor (SierraForest),2,1051,2048,2
4,Intel Xeon Processor (SierraForest),2,1028,1948,2
5,Intel Xeon Processor (SierraForest),6,1028,6185,6
6,Intel Xeon Processor (SierraForest),4,1023,3807,4
7,Intel Xeon Processor (SierraForest),2,1017,2015,2
8,Intel Xeon Processor (SierraForest),4,985,3705,4
9,Intel Xeon Processor (SierraForest),4,979,3713,4
10,Intel Xeon Processor (SierraForest),2,966,1956,2
11,Intel Xeon Processor (SierraForest),6,964,5541,6
12,Intel Xeon Processor (SierraForest),2,962,1866,2
13,Intel Xeon Processor (SierraForest),2,961,1828,2
14,Intel Xeon Processor (SierraForest),2,960,1858,2
15,Intel Xeon Processor (SierraForest),2,955,1682,2
16,Intel Xeon Processor (SierraForest),4,953,3683,4
17,Intel Xeon Processor (SierraForest),6,953,5023,6
18,Intel Xeon Processor (SierraForest),2,950,1880,2
19,Intel Xeon Processor (SierraForest),2,948,1830,2
20,Intel Xeon Processor (SierraForest),3,947,2771,3
21,Intel Xeon Processor (SierraForest),2,943,1851,2
22,Intel Xeon Processor (SierraForest),4,940,3565,4
23,Intel Xeon Processor (SierraForest),4,929,3713,4
24,Intel Xeon Processor (SierraForest),2,928,1774,2
25,Intel Xeon Processor (SierraForest),2,928,1800,2
26,Intel Xeon Processor (SierraForest),2,928,1781,2
27,Intel Xeon Processor (SierraForest),2,926,1826,2
28,Intel Xeon Processor (SierraForest),2,925,1837,2
29,Intel Xeon Processor (SierraForest),2,921,1808,2
30,Intel Xeon Processor (SierraForest),2,918,1781,2
31,Intel Xeon Processor (SierraForest),6,918,5535,6
32,Intel Xeon Processor (SierraForest),4,917,3402,4
33,Intel Xeon Processor (SierraForest),2,916,1821,2
34,Intel Xeon Processor (SierraForest),2,913,1770,2
35,Intel Xeon Processor (SierraForest),2,907,1778,2
36,Intel Xeon Processor (SierraForest),4,904,3338,4
37,Intel Xeon Processor (SierraForest),2,903,1741,2
38,Intel Xeon Processor (SierraForest),2,900,1722,2
39,Intel Xeon Processor (SierraForest),2,897,1749,2
40,Intel Xeon Processor (SierraForest),6,896,5317,6
41,Intel Xeon Processor (SierraForest),2,895,1780,2
42,Intel Xeon Processor (SierraForest),2,894,1793,2
43,Intel Xeon Processor (SierraForest),2,892,1772,2
44,Intel Xeon Processor (SierraForest),2,891,1680,2
45,Intel Xeon Processor (SierraForest),2,891,1756,2
46,Intel Xeon Processor (SierraForest),2,890,1776,2
47,Intel Xeon Processor (SierraForest),4,890,3297,4
48,Intel Xeon Processor (SierraForest),2,889,1780,2
49,Intel Xeon Processor (SierraForest),2,887,1772,2
50,Intel Xeon Processor (SierraForest),6,887,5471,6
51,Intel Xeon Processor (SierraForest),2,886,1790,2
52,Intel Xeon Processor (SierraForest),2,885,1700,2
53,Intel Xeon Processor (SierraForest),2,885,1762,2
54,Intel Xeon Processor (SierraForest),2,883,1767,2
55,Intel Xeon Processor (SierraForest),2,882,1724,2
56,Intel Xeon Processor (SierraForest),2,881,1771,2
57,Intel Xeon Processor (SierraForest),2,881,1736,2
58,Intel Xeon Processor (SierraForest),2,880,1736,2
59,Intel Xeon Processor (SierraForest),2,879,1783,2
60,Intel Xeon Processor (SierraForest),2,878,1724,2
61,Intel Xeon Processor (SierraForest),2,875,1736,2
62,Intel Xeon Processor (SierraForest),2,874,1732,2
63,Intel Xeon Processor (SierraForest),4,873,3285,4
64,Intel Xeon Processor (SierraForest),2,872,1715,2
65,Intel Xeon Processor (SierraForest),2,872,1699,2
66,Intel Xeon Processor (SierraForest),2,869,1722,2
67,Intel Xeon Processor (SierraForest),4,868,3209,4
68,Intel Xeon Processor (SierraForest),2,867,1747,2
69,Intel Xeon Processor (SierraForest),2,866,1646,2
70,Intel Xeon Processor (SierraForest),2,865,1673,2
71,Intel Xeon Processor (SierraForest),2,864,1751,2
72,Intel Xeon Processor (SierraForest),6,863,5017,6
73,Intel Xeon Processor (SierraForest),2,862,1756,2
74,Intel Xeon Processor (SierraForest),2,861,1644,2
75,Intel Xeon Processor (SierraForest),2,860,1692,2
76,Intel Xeon Processor (SierraForest),2,859,1610,2
77,Intel Xeon Processor (SierraForest),2,852,1676,2
78,Intel Xeon Processor (SierraForest),2,852,1664,2
79,Intel Xeon Processor (SierraForest),2,847,1676,2
80,Intel Xeon Processor (SierraForest),2,846,1663,2
81,Intel Xeon Processor (SierraForest),2,845,1655,2
82,Intel Xeon Processor (SierraForest),2,843,1649,2
83,Intel Xeon Processor (SierraForest),2,841,1686,2
84,Intel Xeon Processor (SierraForest),2,840,1583,2
85,Intel Xeon Processor (SierraForest),2,840,1653,2
86,Intel Xeon Processor (SierraForest),2,840,1678,2
87,Intel Xeon Processor (SierraForest),2,839,1632,2
88,Intel Xeon Processor (SierraForest),2,839,1634,2
89,Intel Xeon Processor (SierraForest),2,838,1664,2
90,Intel Xeon Processor (SierraForest),2,838,1639,2
91,Intel Xeon Processor (SierraForest),2,837,1670,2
92,Intel Xeon Processor (SierraForest),2,837,1652,2
93,Intel Xeon Processor (SierraForest),2,836,1614,2
94,Intel Xeon Processor (SierraForest),2,836,1636,2
95,Intel Xeon Processor (SierraForest),2,836,1610,2
96,Intel Xeon Processor (SierraForest),2,835,1443,2
97,Intel Xeon Processor (SierraForest),2,834,1631,2
98,Intel Xeon Processor (SierraForest),2,834,1681,2
99,Intel Xeon Processor (SierraForest),2,832,1566,2
100,Intel Xeon Processor (SierraForest),2,825,1622,2
101,Intel Xeon Processor (SierraForest),2,825,1637,2
102,Intel Xeon Processor (SierraForest),2,825,1608,2
103,Intel Xeon Processor (SierraForest),2,824,1624,2
104,Intel Xeon Processor (SierraForest),2,822,1639,2
105,Intel Xeon Processor (SierraForest),2,821,1001,2
106,Intel Xeon Processor (SierraForest),6,821,4987,6
107,Intel Xeon Processor (SierraForest),4,819,3226,4
108,Intel Xeon Processor (SierraForest),2,819,1594,2
109,Intel Xeon Processor (SierraForest),2,815,1583,2
110,Intel Xeon Processor (SierraForest),2,814,1561,2
111,Intel Xeon Processor (SierraForest),2,812,1623,2
112,Intel Xeon Processor (SierraForest),2,812,1559,2
113,Intel Xeon Processor (SierraForest),2,811,1610,2
114,Intel Xeon Processor (SierraForest),2,811,1619,2
115,Intel Xeon Processor (SierraForest),2,810,1622,2
116,Intel Xeon Processor (SierraForest),2,809,1525,2
117,Intel Xeon Processor (SierraForest),2,808,1641,2
118,Intel Xeon Processor (SierraForest),2,808,1606,2
119,Intel Xeon Processor (SierraForest),2,807,1591,2
120,Intel Xeon Processor (SierraForest),2,806,1537,2
121,Intel Xeon Processor (SierraForest),2,806,1563,2
122,Intel Xeon Processor (SierraForest),2,806,1574,2
123,Intel Xeon Processor (SierraForest),2,804,820,2
124,Intel Xeon Processor (SierraForest),2,804,1587,2
125,Intel Xeon Processor (SierraForest),2,804,1618,2
126,Intel Xeon Processor (SierraForest),2,804,1578,2
127,Intel Xeon Processor (SierraForest),2,803,1604,2
128,Intel Xeon Processor (SierraForest),2,803,1605,2
129,Intel Xeon Processor (SierraForest),2,803,1554,2
130,Intel Xeon Processor (SierraForest),2,803,1603,2
131,Intel Xeon Processor (SierraForest),2,803,1571,2
132,Intel Xeon Processor (SierraForest),2,803,1574,2
133,Intel Xeon Processor (SierraForest),2,802,1577,2
134,Intel Xeon Processor (SierraForest),2,801,1602,2
135,Intel Xeon Processor (SierraForest),2,801,1567,2
136,Intel Xeon Processor (SierraForest),2,799,1574,2
137,Intel Xeon Processor (SierraForest),2,798,1564,2
138,Intel Xeon Processor (SierraForest),6,798,4857,6
139,Intel Xeon Processor (SierraForest),6,798,4783,6
140,Intel Xeon Processor (SierraForest),2,795,1555,2
141,Intel Xeon Processor (SierraForest),6,794,4643,6
142,Intel Xeon Processor (SierraForest),2,793,1569,2
143,Intel Xeon Processor (SierraForest),2,793,1589,2
144,Intel Xeon Processor (SierraForest),2,793,1595,2
145,Intel Xeon Processor (SierraForest),2,793,1538,2
146,Intel Xeon Processor (SierraForest),6,792,4760,6
147,Intel Xeon Processor (SierraForest),2,792,1520,2
148,Intel Xeon Processor (SierraForest),2,791,1534,2
149,Intel Xeon Processor (SierraForest),2,790,1575,2
150,Intel Xeon Processor (SierraForest),2,790,1594,2
