排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel Xeon Processor (Skylake),4,1244,4759,4
2,Intel Xeon Processor (Skylake),4,1133,4515,4
3,Intel Xeon Processor (Skylake),2,1209,2414,2
4,Intel Xeon Processor (Skylake),2,1121,2191,2
5,Intel Xeon Processor (Skylake),2,1047,2149,2
6,Intel Xeon Processor (Skylake),2,1064,2144,2
7,Intel Xeon Processor (Skylake),2,1066,2137,2
8,Intel Xeon Processor (Skylake),2,1078,2105,2
9,Intel Xeon Processor (Skylake),2,1010,2049,2
10,Intel Xeon Processor (Skylake),2,1017,2021,2
11,Intel Xeon Processor (Skylake),2,994,1966,2
12,Intel Xeon Processor (Skylake),2,1008,1955,2
13,Intel Xeon Processor (Skylake),2,948,1873,2
14,Intel Xeon Processor (Skylake),2,997,1197,2
