排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel Xeon Processor (Skylake),1,1256,1256,1
2,Intel Xeon Processor (Skylake),4,1244,4759,4
3,Intel Xeon Processor (Skylake),2,1209,2414,2
4,Intel Xeon Processor (Skylake),4,1133,4515,4
5,Intel Xeon Processor (Skylake),2,1121,2191,2
6,Intel Xeon Processor (Skylake),1,1118,1118,1
7,Intel Xeon Processor (Skylake) @ 2593.906 MHz,8,1113,8609,8
8,Intel Xeon Processor (Skylake),1,1111,1111,1
9,Intel Xeon Processor (Skylake),1,1097,1097,1
10,Intel Xeon Processor (Skylake),1,1086,1086,1
11,Intel Xeon Processor (Skylake) @ 2599.998 MHz,2,1080,2111,2
12,Intel Xeon Processor (Skylake),2,1078,2105,2
13,Intel Xeon Processor (Skylake),1,1069,1069,1
14,Intel Xeon Processor (Skylake),1,1067,1067,1
15,Intel Xeon Processor (Skylake),2,1066,2137,2
16,Intel Xeon Processor (Skylake),2,1064,2144,2
17,Intel Xeon Processor (Skylake),1,1063,1063,1
18,Intel Xeon Processor (Skylake),2,1047,2149,2
19,Intel Xeon Processor (Skylake),1,1022,1022,1
20,Intel Xeon Processor (Skylake),2,1017,2021,2
21,Intel Xeon Processor (Skylake),1,1010,1010,1
22,Intel Xeon Processor (Skylake),2,1010,2049,2
23,Intel Xeon Processor (Skylake),2,1008,1955,2
24,Intel Xeon Processor (Skylake),1,998,998,1
25,Intel Xeon Processor (Skylake),2,997,1197,2
26,Intel Xeon Processor (Skylake),2,994,1966,2
27,Intel Xeon Processor (Skylake),1,980,980,1
28,Intel Xeon Processor (Skylake),1,972,972,1
29,Intel Xeon Processor (Skylake),2,948,1873,2
30,Intel Xeon Processor (Skylake),1,924,924,1
31,Intel Xeon Processor (Skylake),1,914,914,1
32,Intel Xeon Processor (Skylake) @ 2394.454 MHz,1,906,906,1
33,Intel Xeon Processor (Skylake),1,898,898,1
34,Intel Xeon Processor (Skylake),1,897,897,1
35,Intel Xeon Processor (Skylake),1,891,891,1
36,Intel Xeon Processor (Skylake),1,889,889,1
37,Intel Xeon Processor (Skylake),1,887,887,1
38,Intel Xeon Processor (Skylake),1,884,884,1
39,Intel Xeon Processor (Skylake),1,883,883,1
40,Intel Xeon Processor (Skylake),1,871,871,1
41,Intel Xeon Processor (Skylake),1,868,868,1
42,Intel Xeon Processor (Skylake),1,739,739,1
