排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,"Intel Xeon Processor (Skylake, IBRS)",16,2856,45384,16
2,"Intel Xeon Processor (Skylake, IBRS)",16,2857,45242,16
3,"Intel Xeon Processor (Skylake, IBRS)",16,2867,45196,16
4,"Intel Xeon Processor (Skylake, IBRS)",16,2816,44521,16
5,"Intel Xeon Processor (Skylake, IBRS)",16,2861,44169,16
6,"Intel Xeon Processor (Skylake, IBRS)",16,2880,43001,16
7,"Intel Xeon Processor (Skylake, IBRS)",32,1120,34817,32
8,"Intel Xeon Processor (Skylake, IBRS)",24,823,18239,24
9,"Intel Xeon Processor (Skylake, IBRS)",16,1131,16678,16
10,"Intel Xeon Processor (Skylake, IBRS)",16,1223,16303,16
11,"Intel Xeon Processor (Skylake, IBRS)",16,951,14850,16
12,"Intel Xeon Processor (Skylake, IBRS)",16,912,14383,16
13,"Intel Xeon Processor (Skylake, IBRS)",16,858,13747,16
14,"Intel Xeon Processor (Skylake, IBRS)",16,953,12933,16
15,"Intel Xeon Processor (Skylake, IBRS)",16,864,12460,16
16,"Intel Xeon Processor (Skylake, IBRS)",16,910,11731,16
17,"Intel Xeon Processor (Skylake, IBRS)",8,1185,9434,8
18,"Intel Xeon Processor (Skylake, IBRS)",8,1164,9259,8
19,"Intel Xeon Processor (Skylake, IBRS)",8,1159,9232,8
20,"Intel Xeon Processor (Skylake, IBRS)",80,1132,8738,80
21,"Intel Xeon Processor (Skylake, IBRS)",8,1025,8119,8
22,"Intel Xeon Processor (Skylake, IBRS)",8,1024,8079,8
23,"Intel Xeon Processor (Skylake, IBRS)",8,1013,8019,8
24,"Intel Xeon Processor (Skylake, IBRS)",8,1024,7913,8
25,"Intel Xeon Processor (Skylake, IBRS)",8,992,7877,8
26,"Intel Xeon Processor (Skylake, IBRS)",8,989,7851,8
27,"Intel Xeon Processor (Skylake, IBRS)",8,974,7749,8
28,"Intel Xeon Processor (Skylake, IBRS)",8,975,7721,8
29,"Intel Xeon Processor (Skylake, IBRS)",8,1034,7718,8
30,"Intel Xeon Processor (Skylake, IBRS)",8,977,7515,8
31,"Intel Xeon Processor (Skylake, IBRS)",8,918,7145,8
32,"Intel Xeon Processor (Skylake, IBRS)",8,883,7008,8
33,"Intel Xeon Processor (Skylake, IBRS)",8,877,6926,8
34,"Intel Xeon Processor (Skylake, IBRS)",8,853,6836,8
35,"Intel Xeon Processor (Skylake, IBRS)",8,861,6826,8
36,"Intel Xeon Processor (Skylake, IBRS)",8,946,6685,8
37,"Intel Xeon Processor (Skylake, IBRS)",8,1046,6579,8
38,"Intel Xeon Processor (Skylake, IBRS)",8,843,6554,8
39,"Intel Xeon Processor (Skylake, IBRS)",8,830,6552,8
40,"Intel Xeon Processor (Skylake, IBRS)",8,850,6448,8
41,"Intel Xeon Processor (Skylake, IBRS)",8,945,6447,8
42,"Intel Xeon Processor (Skylake, IBRS)",7,899,6258,7
43,"Intel Xeon Processor (Skylake, IBRS)",8,963,6031,8
44,"Intel Xeon Processor (Skylake, IBRS)",2,2849,5594,2
45,"Intel Xeon Processor (Skylake, IBRS)",6,1089,5550,6
46,"Intel Xeon Processor (Skylake, IBRS)",8,711,5538,8
47,"Intel Xeon Processor (Skylake, IBRS)",4,1251,4966,4
48,"Intel Xeon Processor (Skylake, IBRS)",4,1218,4815,4
49,"Intel Xeon Processor (Skylake, IBRS)",2,2395,4772,2
50,"Intel Xeon Processor (Skylake, IBRS)",4,1180,4717,4
51,"Intel Xeon Processor (Skylake, IBRS)",4,1193,4710,4
52,"Intel Xeon Processor (Skylake, IBRS)",5,944,4698,5
53,"Intel Xeon Processor (Skylake, IBRS)",4,1172,4676,4
54,"Intel Xeon Processor (Skylake, IBRS)",5,932,4641,5
55,"Intel Xeon Processor (Skylake, IBRS)",5,929,4621,5
56,"Intel Xeon Processor (Skylake, IBRS)",5,925,4618,5
57,"Intel Xeon Processor (Skylake, IBRS)",5,932,4617,5
58,"Intel Xeon Processor (Skylake, IBRS)",5,924,4613,5
59,"Intel Xeon Processor (Skylake, IBRS)",5,905,4610,5
60,"Intel Xeon Processor (Skylake, IBRS)",5,938,4608,5
61,"Intel Xeon Processor (Skylake, IBRS)",4,1162,4593,4
62,"Intel Xeon Processor (Skylake, IBRS)",5,928,4589,5
63,"Intel Xeon Processor (Skylake, IBRS)",5,910,4586,5
64,"Intel Xeon Processor (Skylake, IBRS)",5,913,4574,5
65,"Intel Xeon Processor (Skylake, IBRS)",5,935,4568,5
66,"Intel Xeon Processor (Skylake, IBRS)",5,912,4566,5
67,"Intel Xeon Processor (Skylake, IBRS)",5,905,4552,5
68,"Intel Xeon Processor (Skylake, IBRS)",5,918,4546,5
69,"Intel Xeon Processor (Skylake, IBRS)",5,905,4541,5
70,"Intel Xeon Processor (Skylake, IBRS)",5,912,4541,5
71,"Intel Xeon Processor (Skylake, IBRS)",5,899,4540,5
72,"Intel Xeon Processor (Skylake, IBRS)",5,888,4534,5
73,"Intel Xeon Processor (Skylake, IBRS)",5,907,4533,5
74,"Intel Xeon Processor (Skylake, IBRS)",5,902,4527,5
75,"Intel Xeon Processor (Skylake, IBRS)",5,903,4524,5
76,"Intel Xeon Processor (Skylake, IBRS)",5,905,4519,5
77,"Intel Xeon Processor (Skylake, IBRS)",5,926,4511,5
78,"Intel Xeon Processor (Skylake, IBRS)",5,903,4502,5
79,"Intel Xeon Processor (Skylake, IBRS)",5,914,4497,5
80,"Intel Xeon Processor (Skylake, IBRS)",5,915,4489,5
81,"Intel Xeon Processor (Skylake, IBRS)",5,918,4476,5
82,"Intel Xeon Processor (Skylake, IBRS)",5,908,4459,5
83,"Intel Xeon Processor (Skylake, IBRS)",5,923,4397,5
84,"Intel Xeon Processor (Skylake, IBRS)",5,868,4345,5
85,"Intel Xeon Processor (Skylake, IBRS)",4,1081,4213,4
86,"Intel Xeon Processor (Skylake, IBRS)",4,1036,4051,4
87,"Intel Xeon Processor (Skylake, IBRS)",4,1027,4048,4
88,"Intel Xeon Processor (Skylake, IBRS)",4,971,3871,4
89,"Intel Xeon Processor (Skylake, IBRS)",4,973,3856,4
90,"Intel Xeon Processor (Skylake, IBRS)",4,972,3824,4
91,"Intel Xeon Processor (Skylake, IBRS)",4,955,3816,4
92,"Intel Xeon Processor (Skylake, IBRS)",4,940,3811,4
93,"Intel Xeon Processor (Skylake, IBRS)",4,954,3807,4
94,"Intel Xeon Processor (Skylake, IBRS)",4,952,3796,4
95,"Intel Xeon Processor (Skylake, IBRS)",4,944,3778,4
96,"Intel Xeon Processor (Skylake, IBRS)",4,946,3777,4
97,"Intel Xeon Processor (Skylake, IBRS)",4,946,3775,4
98,"Intel Xeon Processor (Skylake, IBRS)",4,949,3775,4
99,"Intel Xeon Processor (Skylake, IBRS)",4,939,3773,4
100,"Intel Xeon Processor (Skylake, IBRS)",4,944,3753,4
101,"Intel Xeon Processor (Skylake, IBRS)",4,940,3753,4
102,"Intel Xeon Processor (Skylake, IBRS)",4,932,3751,4
103,"Intel Xeon Processor (Skylake, IBRS)",4,930,3748,4
104,"Intel Xeon Processor (Skylake, IBRS)",4,934,3747,4
105,"Intel Xeon Processor (Skylake, IBRS)",4,945,3746,4
106,"Intel Xeon Processor (Skylake, IBRS)",4,936,3732,4
107,"Intel Xeon Processor (Skylake, IBRS)",4,935,3729,4
108,"Intel Xeon Processor (Skylake, IBRS)",4,938,3727,4
109,"Intel Xeon Processor (Skylake, IBRS)",4,897,3708,4
110,"Intel Xeon Processor (Skylake, IBRS)",4,923,3705,4
111,"Intel Xeon Processor (Skylake, IBRS)",4,925,3704,4
112,"Intel Xeon Processor (Skylake, IBRS)",4,926,3703,4
113,"Intel Xeon Processor (Skylake, IBRS)",4,930,3703,4
114,"Intel Xeon Processor (Skylake, IBRS)",4,926,3702,4
115,"Intel Xeon Processor (Skylake, IBRS)",4,908,3702,4
116,"Intel Xeon Processor (Skylake, IBRS)",4,923,3696,4
117,"Intel Xeon Processor (Skylake, IBRS)",4,913,3695,4
118,"Intel Xeon Processor (Skylake, IBRS)",4,931,3695,4
119,"Intel Xeon Processor (Skylake, IBRS)",4,922,3694,4
120,"Intel Xeon Processor (Skylake, IBRS)",4,923,3694,4
121,"Intel Xeon Processor (Skylake, IBRS)",4,932,3693,4
122,"Intel Xeon Processor (Skylake, IBRS)",4,915,3690,4
123,"Intel Xeon Processor (Skylake, IBRS)",4,938,3688,4
124,"Intel Xeon Processor (Skylake, IBRS)",4,944,3688,4
125,"Intel Xeon Processor (Skylake, IBRS)",4,912,3687,4
126,"Intel Xeon Processor (Skylake, IBRS)",4,921,3687,4
127,"Intel Xeon Processor (Skylake, IBRS)",4,916,3687,4
128,"Intel Xeon Processor (Skylake, IBRS)",4,921,3687,4
129,"Intel Xeon Processor (Skylake, IBRS)",4,922,3686,4
130,"Intel Xeon Processor (Skylake, IBRS)",4,925,3684,4
131,"Intel Xeon Processor (Skylake, IBRS)",4,921,3680,4
132,"Intel Xeon Processor (Skylake, IBRS)",4,922,3677,4
133,"Intel Xeon Processor (Skylake, IBRS)",4,918,3675,4
134,"Intel Xeon Processor (Skylake, IBRS)",4,921,3674,4
