排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,"Intel Xeon Processor (Skylake, IBRS)",4,3063,12086,4
2,"Intel Xeon Processor (Skylake, IBRS)",16,2880,43001,16
3,"Intel Xeon Processor (Skylake, IBRS)",16,2867,45196,16
4,"Intel Xeon Processor (Skylake, IBRS)",16,2861,44169,16
5,"Intel Xeon Processor (Skylake, IBRS)",16,2857,45242,16
6,"Intel Xeon Processor (Skylake, IBRS)",16,2856,45384,16
7,"Intel Xeon Processor (Skylake, IBRS)",2,2849,5594,2
8,"Intel Xeon Processor (Skylake, IBRS)",16,2816,44521,16
9,"Intel Xeon Processor (Skylake, IBRS)",2,2395,4772,2
10,"Intel Xeon Processor (Skylake, IBRS)",2,1462,2831,2
11,"Intel Xeon Processor (Skylake, IBRS)",2,1452,2738,2
12,"Intel Xeon Processor (Skylake, IBRS)",1,1435,1435,1
13,"Intel Xeon Processor (Skylake, IBRS)",1,1412,1412,1
14,"Intel Xeon Processor (Skylake, IBRS)",1,1372,1372,1
15,"Intel Xeon Processor (Skylake, IBRS)",1,1369,1369,1
16,"Intel Xeon Processor (Skylake, IBRS)",1,1267,1267,1
17,"Intel Xeon Processor (Skylake, IBRS)",1,1260,1260,1
18,"Intel Xeon Processor (Skylake, IBRS)",4,1251,4966,4
19,"Intel Xeon Processor (Skylake, IBRS)",2,1249,2522,2
20,"Intel Xeon Processor (Skylake, IBRS)",1,1240,1240,1
21,"Intel Xeon Processor (Skylake, IBRS) @ 3192.498 MHz",1,1238,1238,1
22,"Intel Xeon Processor (Skylake, IBRS) @ 2999.896 MHz",16,1237,17688,16
23,"Intel Xeon Processor (Skylake, IBRS) @ 2999.718 MHz",8,1227,9651,8
24,"Intel Xeon Processor (Skylake, IBRS)",16,1223,16303,16
25,"Intel Xeon Processor (Skylake, IBRS)",4,1218,4815,4
26,"Intel Xeon Processor (Skylake, IBRS)",1,1213,1213,1
27,"Intel Xeon Processor (Skylake, IBRS)",1,1209,1209,1
28,"Intel Xeon Processor (Skylake, IBRS)",1,1205,1205,1
29,"Intel Xeon Processor (Skylake, IBRS)",2,1202,2326,2
30,"Intel Xeon Processor (Skylake, IBRS)",1,1200,1200,1
31,"Intel Xeon Processor (Skylake, IBRS)",4,1193,4710,4
32,"Intel Xeon Processor (Skylake, IBRS)",2,1192,2322,2
