排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,"Intel Xeon Processor (Skylake, IBRS, no TSX)",16,852,12205,16
2,"Intel Xeon Processor (Skylake, IBRS, no TSX)",8,915,7309,8
3,"Intel Xeon Processor (Skylake, IBRS, no TSX)",4,906,3632,4
4,"Intel Xeon Processor (Skylake, IBRS, no TSX)",4,898,3626,4
5,"Intel Xeon Processor (Skylake, IBRS, no TSX)",4,898,3626,4
6,"Intel Xeon Processor (Skylake, IBRS, no TSX)",4,895,3558,4
7,"Intel Xeon Processor (Skylake, IBRS, no TSX)",4,896,3542,4
8,"Intel Xeon Processor (Skylake, IBRS, no TSX)",4,900,3523,4
9,"Intel Xeon Processor (Skylake, IBRS, no TSX)",4,863,3461,4
10,"Intel Xeon Processor (Skylake, IBRS, no TSX)",4,856,3458,4
11,"Intel Xeon Processor (Skylake, IBRS, no TSX)",4,826,3426,4
12,"Intel Xeon Processor (Skylake, IBRS, no TSX)",4,857,3423,4
13,"Intel Xeon Processor (Skylake, IBRS, no TSX)",4,860,3420,4
14,"Intel Xeon Processor (Skylake, IBRS, no TSX)",4,878,3388,4
15,"Intel Xeon Processor (Skylake, IBRS, no TSX)",4,851,3384,4
16,"Intel Xeon Processor (Skylake, IBRS, no TSX)",4,851,3226,4
17,"Intel Xeon Processor (Skylake, IBRS, no TSX)",4,859,3181,4
18,"Intel Xeon Processor (Skylake, IBRS, no TSX)",4,771,3052,4
19,"Intel Xeon Processor (Skylake, IBRS, no TSX)",4,797,3023,4
20,"Intel Xeon Processor (Skylake, IBRS, no TSX)",4,880,2895,4
21,"Intel Xeon Processor (Skylake, IBRS, no TSX)",4,699,2825,4
22,"Intel Xeon Processor (Skylake, IBRS, no TSX)",4,766,2517,4
23,"Intel Xeon Processor (Skylake, IBRS, no TSX)",16,824,2270,16
24,"Intel Xeon Processor (Skylake, IBRS, no TSX)",2,1168,2256,2
25,"Intel Xeon Processor (Skylake, IBRS, no TSX)",2,1150,2222,2
26,"Intel Xeon Processor (Skylake, IBRS, no TSX)",16,810,2186,16
27,"Intel Xeon Processor (Skylake, IBRS, no TSX)",2,1130,2179,2
28,"Intel Xeon Processor (Skylake, IBRS, no TSX)",2,1058,2024,2
29,"Intel Xeon Processor (Skylake, IBRS, no TSX)",2,909,1864,2
30,"Intel Xeon Processor (Skylake, IBRS, no TSX)",2,925,1852,2
31,"Intel Xeon Processor (Skylake, IBRS, no TSX)",2,924,1831,2
32,"Intel Xeon Processor (Skylake, IBRS, no TSX)",2,912,1807,2
33,"Intel Xeon Processor (Skylake, IBRS, no TSX)",2,906,1804,2
34,"Intel Xeon Processor (Skylake, IBRS, no TSX)",2,892,1787,2
35,"Intel Xeon Processor (Skylake, IBRS, no TSX)",2,887,1784,2
36,"Intel Xeon Processor (Skylake, IBRS, no TSX)",2,889,1777,2
37,"Intel Xeon Processor (Skylake, IBRS, no TSX)",2,931,1775,2
