排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Kunpeng-920 BIOS 1.0 CPU @ 2.0GHz,4,2945,11781,4
2,Kunpeng-920 BIOS 1.0 CPU @ 2.0GHz,4,2944,11773,4
3,Kunpeng-920 BIOS 1.0 CPU @ 2.0GHz,4,2945,11768,4
4,Kunpeng-920 BIOS 1.0 CPU @ 2.0GHz,4,2944,11763,4
5,Kunpeng-920 BIOS 1.0 CPU @ 2.0GHz,4,2943,11760,4
6,Kunpeng-920 BIOS 1.0 CPU @ 2.0GHz,4,2943,11759,4
7,Kunpeng-920 BIOS 1.0 CPU @ 2.0GHz,4,2944,11757,4
8,Kunpeng-920 BIOS 1.0 CPU @ 2.0GHz,4,2945,11756,4
9,Kunpeng-920 BIOS 1.0 CPU @ 2.0GHz,4,2941,11754,4
10,Kunpeng-920 BIOS 1.0 CPU @ 2.0GHz,4,2946,11753,4
11,Kunpeng-920 BIOS 1.0 CPU @ 2.0GHz,4,2939,11744,4
12,Kunpeng-920 BIOS 1.0 CPU @ 2.0GHz,4,2945,11740,4
13,Kunpeng-920 BIOS 1.0 CPU @ 2.0GHz,4,2928,11696,4
14,Kunpeng-920 BIOS 1.0 CPU @ 2.0GHz,4,2939,11687,4
15,Kunpeng-920 BIOS 1.0 CPU @ 2.0GHz,4,2944,11684,4
16,Kunpeng-920 BIOS 1.0 CPU @ 2.0GHz,4,2944,11669,4
17,Kunpeng-920 BIOS 1.0 CPU @ 2.0GHz,4,2942,11587,4
18,Kunpeng-920 BIOS 1.0 CPU @ 2.0GHz,4,2940,11526,4
19,Kunpeng-920 BIOS 1.0 CPU @ 2.0GHz,4,2944,11460,4
20,Kunpeng-920 BIOS 1.0 CPU @ 2.0GHz,4,2945,11442,4
21,Kunpeng-920 BIOS 1.0 CPU @ 2.0GHz,4,2944,11365,4
22,Kunpeng-920 BIOS 1.0 CPU @ 2.0GHz,4,2942,11344,4
23,Kunpeng-920 BIOS 1.0 CPU @ 2.0GHz,4,2927,11323,4
24,Kunpeng-920 BIOS 1.0 CPU @ 2.0GHz,4,2942,11114,4
25,Kunpeng-920 BIOS 1.0 CPU @ 2.0GHz,4,2942,8982,4
26,Kunpeng-920 BIOS 1.0 CPU @ 2.0GHz,4,2931,8700,4
