排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Kunpeng-920,192,2955,558972,192
2,Kunpeng-920,192,2954,61993,192
3,Kunpeng-920,8,3348,26694,8
4,Kunpeng-920,8,2942,23506,8
5,Kunpeng-920,8,2947,20074,8
6,Kunpeng-920,128,3325,12694,128
7,Kunpeng-920,8,3134,12567,8
8,Kunpeng-920,4,3140,12542,4
9,Kunpeng-920,8,3138,12518,8
10,Kunpeng-920,8,3134,12267,8
11,Kunpeng-920,4,2952,11800,4
12,Kunpeng-920,4,3137,11788,4
13,Kunpeng-920,4,2944,11733,4
14,Kunpeng-920,4,2937,11496,4
15,Kunpeng-920,8,2864,11486,8
16,Kunpeng-920,8,3138,11383,8
17,Kunpeng-920,8,3127,11104,8
18,Kunpeng-920,8,3139,11044,8
19,Kunpeng-920,8,3134,11020,8
20,Kunpeng-920,8,3135,11014,8
21,Kunpeng-920,8,3129,11001,8
22,Kunpeng-920,8,3127,10972,8
23,Kunpeng-920,8,3134,10963,8
24,Kunpeng-920,8,3138,10954,8
25,Kunpeng-920,8,3135,10952,8
26,Kunpeng-920,8,3136,10774,8
27,Kunpeng-920,8,2955,10580,8
28,Kunpeng-920,8,2935,10521,8
29,Kunpeng-920,8,2936,10308,8
30,Kunpeng-920,8,2176,10264,8
31,Kunpeng-920,8,2944,10252,8
32,Kunpeng-920,8,2934,10193,8
33,Kunpeng-920,8,2941,10164,8
34,Kunpeng-920,8,2836,10026,8
35,Kunpeng-920,8,2924,9892,8
36,Kunpeng-920,8,2946,9867,8
37,Kunpeng-920,8,2944,9860,8
38,Kunpeng-920,8,2945,9678,8
39,Kunpeng-920,8,3130,9606,8
40,Kunpeng-920,8,2606,9528,8
41,Kunpeng-920,8,3133,9510,8
42,Kunpeng-920,8,2946,9509,8
43,Kunpeng-920,8,3046,9488,8
44,Kunpeng-920,8,2946,9486,8
45,Kunpeng-920,8,2947,9478,8
46,Kunpeng-920,8,2914,9475,8
47,Kunpeng-920,8,2905,9339,8
48,Kunpeng-920,8,3020,9236,8
49,Kunpeng-920,8,2545,9228,8
50,Kunpeng-920,8,2729,9004,8
51,Kunpeng-920,8,2620,8898,8
52,Kunpeng-920,8,2120,8829,8
53,Kunpeng-920,8,2940,8768,8
54,Kunpeng-920,8,3029,8554,8
55,Kunpeng-920,8,2900,8352,8
56,Kunpeng-920,8,2973,8110,8
57,Kunpeng-920,8,2647,8059,8
58,Kunpeng-920,8,3109,7987,8
59,Kunpeng-920,8,2400,7801,8
60,Kunpeng-920,8,2908,7325,8
61,Kunpeng-920,8,2845,7280,8
62,Kunpeng-920,8,2060,6861,8
63,Kunpeng-920,8,3136,6783,8
64,Kunpeng-920,8,3084,6724,8
65,Kunpeng-920,8,2068,6323,8
66,Kunpeng-920,8,1945,6171,8
67,Kunpeng-920,8,1773,5526,8
68,Kunpeng-920,8,1961,5401,8
69,Kunpeng-920,8,1475,5122,8
70,Kunpeng-920,8,2395,4920,8
71,Kunpeng-920,8,2368,4702,8
72,Kunpeng-920,8,306,1902,8
73,Kunpeng-920,192,1330,1412,192
74,Kunpeng-920,8,176,1054,8
75,Kunpeng-920,8,182,840,8
76,Kunpeng-920,8,105,748,8
